"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","Ein Platz zum Übernachten","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","Der durstige Wachmann","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Scavengerjagd","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Finde Jorik","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Trainingseinheit","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","Diegos Begrüßung hat mir kaum geholfen. Ein Steinschlag blockiert den Zugang zum Tal und ein Schattenläufer treibt hier sein Unwesen. Ich muss einen sicheren Schlafplatz finden.","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","Ein Schattenläufer durchstreift die Austauschzone. Ich muss einen sicheren Unterschlupf finden, bevor die Nacht hereinbricht.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Ratford schlug vor, dass ich seinem Freund Drax bei der Jagd nach Scavengern in der Nähe des Talpfads helfen sollte. Es könnte meine Chance sein, mir für die Nacht einen Platz an ihrem Lagerfeuer zu sichern.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Drax braucht Hilfe bei der Jagd auf Scavenger. Wenn ich mich als nützlich erweist, verdiene ich mir vielleicht einen Platz an ihrem Lagerfeuer, sicher vor dem Schattenläufer.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Jorik, einer der Jäger, wird im Canyon vermisst. Wenn ich ihn finde, könnte mir das heute Nacht einen sicheren Schlafplatz verschaffen.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","Ich habe mir einen Platz am Lagerfeuer der Jäger im alten Buddlerlager gegenüber der verlassenen Mine erarbeitet. Zeit, meinen Platz am Feuer einzunehmen und mich auszuruhen.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","Ich muss Drax‘ Freund Ratford finden und nach Jorik fragen, ihrem vermissten Kollegen. Dies könnte mein letzter Schritt sein, um mir einen sicheren Schlafplatz zu verschaffen.","","False","CH0_APlaceToSleep_6","",""
