"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","Ja","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","Nein","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","nein|ja","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","aus|An","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","DEL - Löschen, ENTER - Zuweisen einer Taste.","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","Drücken Sie die gewünschte Taste.","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","Neues Spiel","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","Ein neues Abenteuer starten.","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","Spiel laden","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","Lade ein gespeichertes Spiel.","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","Spiel speichern","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","Speichere das aktuelle Spiel.","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","Weiterspielen","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","Aktuelles Spiel fortführen.","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","Einstellungen","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","Sound-, Grafik- und Tastatureinstellungen.","","False","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","Hauptmenü","","False","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","Zurück zum Hauptmenü","","False","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","Spiel verlassen","","False","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","Zurück in den Abgrund von Windows.","","False","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","Die Welt von Gothic verlassen.","","False","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","Spielneustart erforderlich!","","False","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","DIE WELT DER VERURTEILTEN","","False","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","Kapitel:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
"System/MENU/Menu_Defines.d:175","Nyras","Gilde:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_VALUE_TEXT","",""
