"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_818_Ratford.d:27","A kim ty niby jesteś, na Beliara?","Und wer bei Beliar bist du?","","","Ratford-CH0-None-Ratford-64245-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:30","Jestem Nyr...","Ich bin Nyr...","","","Ratford-CH0-None-Hero-87298","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:31","Nie o imię pytam. Nie wyglądasz mi na członka któregoś obozu. To co, jesteś kopaczem? A może dopiero co cię wrzucili?","Nicht wie du heißt, zu wem du gehörst. Du siehst nicht aus wie einer von den anderen Lagern - bist du Buddler? Oder frisch reingeworfen?","","","Ratford-CH0-None-Ratford-66784","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:35","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Ich bin neu, ja. Dein Kumpel, Drax, schickt mich um dir zu helfen - im Gegenzug für einen Schlafplatz in eurem Lager.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Help","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:40","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","Ich bin neu hier, ja. Ich suche einen sicheren Schlafplatz.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Sleep_Place","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:48","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Ich bin neu, ja. Dein Kumpel, Drax, schickt mich um dir zu helfen - im Gegenzug für einen Schlafplatz in eurem Lager.","","","Ratford-CH0-None-Hero-42595","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:49","Czyżby? Nie potrzebuję pomocy, zwłaszcza od takiej pizdy jak ty, a już na pewno nie pozwolę obcemu spać przy naszym ognisku. Zabieraj się stąd. W podskokach.","Ist das so? Ich brauche keine Hilfe, schon gar nicht von dir. Und ich werde ganz sicher nicht irgendeinen Fremden bei unseren verdammten Feuer schlafen lassen. Jetzt verpiss dich.","","","Ratford-CH0-None-Ratford-50882","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:51","Jak chcesz.","Na gut.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_If_You_Think_So","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:52","Zamknij już kurwa ten ryj.","Gleich setzt es was!","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Fuck_You","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:53","Mogę cię jakoś przekonać?","Kann ich dich irgendwie überzeugen?","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Can_I_Convince_You_Somehow","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:54","Ale przecież się z nim dogadałem.","Ich hab eine Abmachung mit deinem Freund.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_But_I_Talked_To_Drax","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:62","Ale przecież się z nim dogadałem.","Ich hab eine Abmachung mit deinem Freund.","","","Ratford-CH0-None-Hero-30527","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:63","Taa, ale ze mną nie. Drax to łatwowierny idiota, który poczęstowałby orków piwem, bo pewnie im gorąco od tego słońca.","Kann sein, aber nicht mit mir. Drax ist ein naiver Trottel, der einem Ork ein Bier anbieten würde, weil die Sonne scheint.","","","Ratford-CH0-None-Ratford-72328","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:64","Przykro mi, ale nic z tego.","Vergiss es, das wird nix. ","","","Ratford-CH0-None-Ratford-4113-0","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:75","Mogę cię jakoś przekonać?","Kann ich dich irgendwie überzeugen?","","","Ratford-CH0-None-Hero-34959","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:76","Słuchaj, nie chcę wychodzić na dupka. Naprawdę. Ale cię nie znam, a okazywanie zaufania ludziom, których się nie zna, to prosty sposób na szybki zgon.","Pass auf, ich will kein Arschloch sein, ehrlich nicht. Aber ich kenne dich nicht und jemandem zu vertrauen den man nicht kennt, ist hier der sichere Weg in den Tod.","","","Ratford-CH0-None-Ratford-35655","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:87","Zamknij już kurwa ten ryj.","Gleich setzt es was!","","","Ratford-CH0-None-Hero-26237","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:88","No i sobie nagrabiłeś.","Großer Fehler.","","","Ratford-CH0-None-Ratford-60669","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:101","Jak chcesz.","Na gut. ","","","Ratford-CH0-None-Hero-69849","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:101","Przykro mi, chłopie. Znajdziesz sobie coś innego.","Tut mir Leid. Du findest schon was. ","","","Ratford-CH0-None-Ratford-45016","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:102","Powodzenia życzę.","Viel Glück, da draußen.","","","Ratford-CH0-None-Ratford-99079-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:112","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","Ich bin neu hier, ja. Ich suche einen sicheren Schlafplatz.","","","Ratford-CH0-None-Hero-81996","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:113","To idź do Starego Obozu.","Dann geh ins alte Lager. ","","","Ratford-CH0-None-Ratford-13684","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:114","Tamten Varantczyk powiedział, że muszę poczekać, aż Kopacze oczyszczą szlak.","Wollte ich, aber der Weg ist versperrt... Ich muss warten.","","","Ratford-CH0-None-Hero-15424","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:115","No to zaczekaj. Słuchaj, nic ode mnie nie dostaniesz, więc nie zawracaj mi dupy.","Na dann warte mal schön. Bei mir gibts nichts für dich zu holen. Jetzt verpiss dich. ","","","Ratford-CH0-None-Ratford-99940","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:145","Co?!","Was?","","","Ratford-CH0-None-Ratford-14986","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:145","Pójdę już.","Ich gehe dann mal.","","False","DIA_ORG_818_Ratford_Hello_Again_Info.DIA_ORG_818_Ratford_Hello_Again.DIA_ORG_818_Ratford_Hello_Again_I_Will_Go_Now","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:146","Ty też jesteś z tego Nowego Obozu?","Bist du auch aus dem ""Neuen Lager""?","","False","DIA_ORG_818_Ratford_Hello_Again_Info.DIA_ORG_818_Ratford_Hello_Again.DIA_ORG_818_Ratford_Hello_Again_Are_You_From_New_Camp","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:147","Co cię ugryzło?","Was ist dein Problem?","","False","DIA_ORG_818_Ratford_Hello_Again_Info.DIA_ORG_818_Ratford_Hello_Again.DIA_ORG_818_Ratford_Hello_Again_What_Do_You_Mean","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:154","Co cię ugryzło?","Was ist dein Problem?","","","Ratford-CH0-None-Hero-74210","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:154","Parę wkurwiających robali. Na przykład taki jeden kretyn, który nie wie, kiedy odpuścić.","Der Trottel vor mir der einfach nicht weiß wann er die Klappe halten soll, ist eines davon.","","","Ratford-CH0-None-Ratford-1706","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:161","Ty też jesteś z tego Nowego Obozu?","Bist du auch aus dem ""Neuen Lager""?","","","Ratford-CH0-None-Hero-28264","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:165","Jakim cudem zgadłeś?","Wie kommst du nur darauf.","","","Ratford-CH0-None-Ratford-73615","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:170","Pójdę już.","Ich gehe dann mal.","","","Ratford-CH0-None-Hero-91268","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:175","Mmm.","Mhm.","","","Ratford-CH0-None-Ratford-40335","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:179","Tak po prostu?","Einfach so?","","False","Ratford_CH0_G1RDemo_DraxHunt_Caption_9934_0","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:180","Świetnie. Dziękuję.","Alles klar, danke.","","False","Ratford_CH0_G1RDemo_DraxHunt_Caption_25858_0","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:201","No tak. Nie żyje. Kurwa. To pewnie robota cieniostwora.","Er ist also tot... Scheiße! War wohl dieser Schattenläufer.","","","TEXT_HECTO_20230817_110702_41","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:202","Znałeś go?","Kanntest du ihn?","","","Ratford-CH0-G1RDemo_DraxHunt-Hero-46542","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:202","Był z naszego gangu, więc tak. Właśnie dlatego jesteśmy tutaj z kumplem.","Er war ein Bandit, wie wir, also ja. Er ist der Grund warum Drax und ich hier sind.","","","Ratford-CH0-G1RDemo_DraxHunt-Ratford-56356","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:203","Głupek uzależnił się od tego zielska, które sprzedają kultyści i zaczęło mu odwalać.","Der Idiot hat zuviel von dem Kraut der Sektenspinner geraucht und hat den Verstand verloren.","","","Ratford-CH0-G1RDemo_DraxHunt-Ratford-72197","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:204","Jak go widziałem po raz ostatni, to bredził coś o tym, jak to ich bóg gadał do niego we śnie. Kołowaty, jak nic.","Als ich ihn das letzte Mal gesehen habe, hat er rumgefaselt, dass ihr ""Gott"" mit ihm im Schlaf geredet hat. Kompletter Schwachsinn, aber er hat's geglaubt.","","","Ratford-CH0-G1RDemo_DraxHunt-Ratford-41347","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:205","A potem, tydzień temu, po prostu wyszedł z obozu w samym środku nocy i już nie wrócił.","Und dann, vor einer Woche, hat er Nachts einfach das Lager verlassen und war auf und davon.","","","Ratford-CH0-G1RDemo_DraxHunt-Ratford-76574","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:214","Słuchaj, znalazłem to przy nieboszczyku.","Schau mal - das hatte er bei sich.","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_About_Mysterious_Note","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:219","Co teraz?","Was nun?","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_What_Now","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:220","Ten bóg... istnieje naprawdę?","Gibt's diesen Gott wirklich?","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_About_God","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:221","Co to za sekta?","Was ist das für eine Sekte?","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_About_Sect_Camp","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:222","Mówisz o bagiennym zielu?","Redest du von Sumpfkraut?","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_About_Swamp_Herb","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:224","Bóg mówił do niego we śnie?","Ein Gott hat zu ihm gesprochen?","","False","DIA_ORG_818_Ratford_Who_Are_You_Common_No_Offence.DIA_ORG_818_Ratford_Who_Are_You.DIA_ORG_818_Ratford_Who_Are_You_About_Sleep","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:236","Kim jesteś?","Wer bist du?","","","Ratford-CH0-None-Ratford-40635","",""
