"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/SVM.d:324","Hej, ty!","Hey du!","","","Hero-CH0-None-Hero-17013","",""
"Content/Story/SVM.d:325","Cóż... pora rozpocząć nowe życie...","Das ist also mein neues Leben...","","","Hero-CH0-None-Hero-12036","",""
"Content/Story/SVM.d:326","To kiepski pomysł. Jeśli znajdą mnie tu śpiącego, to już po mnie.","Schlechte Idee. Die würden mich kaltmachen wenn sie mich hier schlafend finden.","","","Hero-CH0-None-Hero-20445","",""
"Content/Story/SVM.d:328","Hmm... to miejsce się nada. Ale ktoś już z niego korzysta. Może jeśli go znajdę...","Hmm... das hier könnte passen. Aber hier ist schon jemand. Wenn ich sie finden würde...","","","Hero-CH0-None-Hero-62833","",""
"Content/Story/SVM.d:333","Miał przy sobie ten rysunek. Spójrz.","Er hatte diese Zeichnung. Warte, ich hab sie hier...","","","Drax-CH0-None-Hero-68340","",""
"Content/Story/SVM.d:342","Schowaj tę cholerną broń!","Steck die scheiß Waffe weg!","","","Diego-CH0-None-Diego-23432","",""
"Content/Story/SVM.d:343","Prosisz się o lanie? Schowaj to!","Soll ich dir aufs Maul hauen? Steck das Ding weg!","","","Diego-CH0-None-Diego-85171","",""
"Content/Story/SVM.d:346","Sam się o to prosiłeś!","Jetzt gibt's aufs Maul!","","","Diego-CH0-None-Diego-84477","",""
"Content/Story/SVM.d:346","No i bardzo dobrze.","Na also. Geht doch.","","","Diego-CH0-None-Diego-77772","",""
"Content/Story/SVM.d:347","Wybacz, że cię zatrzymałem, jak sytuacja?","Hab' dich warten lassen. Was haben wir?","","","Diego-CH0-None-Diego-67078","",""
"Content/Story/SVM.d:348","Tylko trzy? Myślałem, że będzie gorzej.","Drei, sagst du? Ich hätte mehr erwartet. ","","","Diego-CH0-None-Diego-78525","",""
"Content/Story/SVM.d:349","Zgadza się. Dokładnie tak jak my dymamy ich.","Ganz genau. So wie wir sie.","","","Diego-CH0-None-Diego-82774","",""
"Content/Story/SVM.d:350","Zauważyłeś, że beczki z rudą z tego miesiąca miały wyjątkowo grube dno?","Ist dir aufgefallen dass unsere Erzfässer diesen Monat einen ganz besonders dicken Boden hatten?","","","Diego-CH0-None-Diego-71218","",""
"Content/Story/SVM.d:352","...że beczki miały wyjątkowo grube dno.","... Dass die Fässer einen sehr dicken Boden hatten.","","","Diego-CH0-None-Diego-18638","",""
"Content/Story/SVM.d:352","Tylko tyle wiem.","Mehr weiss ich nicht.","","","Diego-CH0-None-Diego-23669","",""
"Content/Story/SVM.d:353","To wszystko gierki, Świstak. Oni dymają nas, a my ich – i tak to się toczy, dopóki bogowie nie odwalą kity.","Es ist ein Spiel, Whistler - sie legen uns rein und wir sie, und so wird's weitergehen bis die Götter ins Gras beissen.","","","Diego-CH0-None-Diego-5000","",""
"Content/Story/SVM.d:360","Dobra. Dzięki, Świstak!","Alles klar. Danke, Whistler.","","","Diego-CH0-None-Diego-38791","",""
"Content/Story/SVM.d:366","Odłoż broń, kretynie!","Waffe runter, Idiot!","","","Whistler-CH0-None-Whistler-17469","",""
"Content/Story/SVM.d:368","Odłóż broń albo cię załatwię!","Steck das Ding weg, oder du bist dran!","","","Whistler-CH0-None-Whistler-31444","",""
"Content/Story/SVM.d:374","No. Masz szczęście.","Da hast du nochmal Glück gehabt!","","","Whistler-CH0-None-Whistler-7791","",""
"Content/Story/SVM.d:375","Spieprzaj!","Verzieh dich.","","","Whistler-CH0-None-Whistler-53621-0","",""
"Content/Story/SVM.d:375","Znowu próbowali nas okantować na zbożu, suczesyny.","Die Penner haben uns schlechtes Korn angedreht.","","","Diego-CH0-None-Whistler-93885","",""
"Content/Story/SVM.d:376","Na dnie są trzy zarobaczone worki... Założę się o dziesięć bryłek rudy, że będą udawali zdziwionych.","Drei Säcke sind unten voller Würmer... Ich wette zehn Erz, dass sie so tun werden als wüssten sie von nix.  ","","","Diego-CH0-None-Whistler-25347","",""
"Content/Story/SVM.d:378","Więc pozwolimy im dalej dymać nas bez mydła?","Also lassen wir uns weiter verarschen?","","","Diego-CH0-None-Whistler-46374","",""
"Content/Story/SVM.d:379","Więc chcesz mi powiedzieć, że...","Meinst du etwa...","","","Diego-CH0-None-Whistler-58295","",""
"Content/Story/SVM.d:380","Ale z ciebie poeta. Dobra, jebać to.","An dir ist ja ein echter Dichter verlorengegangen. Naja, scheiss drauf. ","","","Diego-CH0-None-Whistler-36003","",""
"Content/Story/SVM.d:384","Sprawdzę tę partię i przygotuję ją do transportu.","Ich sehe mir die Lieferung nochmal an und mach alles fertig für den Abtransport morgen.","","","Diego-CH0-None-Whistler-46247","",""
"Content/Story/SVM.d:389","Jasne.","Klar.","","","Diego-CH0-None-Whistler-2972","",""
"Content/Story/SVM.d:393","Co ty, kurwa, wyprawiasz?","He, was soll das werden?","","","Orry-CH0-None-Orry-1075","",""
"Content/Story/SVM.d:395","Odłóż to. Natychmiast.","Nimm. Die Waffe. Runter.","","","Orry-CH0-None-Orry-37151","",""
"Content/Story/SVM.d:395","No dobra!","Na warte!","","","Orry-CH0-None-Orry-22114","",""
"Content/Story/SVM.d:399","I nie waż się znowu tym machać.","Zieh nie wieder die Waffe in meiner Nähe.","","","Orry-CH0-None-Orry-24165","",""
"Content/Story/SVM.d:404","Zabieraj się. Miałeś już okazję się wykazać.","Hau ab, du hattest deine Chance. ","","","Orry-CH0-None-Orry-21502","",""
"Content/Story/SVM.d:407","Nie celuj we mnie tym gównem.","Was hast du mit der Waffe vor, Mann!","","","Ratford-CH0-None-Ratford-42075","",""
"Content/Story/SVM.d:408","Głuchy czy głupi? Odłóż to!","Bist du taub oder dumm?","","","Ratford-CH0-None-Ratford-48468","",""
"Content/Story/SVM.d:410","Sam się o to prosiłeś!","Du hast es nicht anders gewollt!","","","Ratford-CH0-None-Ratford-71391","",""
"Content/Story/SVM.d:411","Nie jesteś tak głupi, na jakiego wyglądasz.","Du bist ja gar nicht so dumm, wie du aussiehst.","","","Ratford-CH0-None-Ratford-97616","",""
"Content/Story/SVM.d:412","Odwal się.","Verpiss dich!","","","TEXT_WIP_JNJMDGE_20240715_153503","",""
"Content/Story/SVM.d:415","Nie teraz.","Nicht jetzt.","","","Ratford-CH0-None-Ratford-44688","",""
"Content/Story/SVM.d:417","Odwal się. Masz coś na obiad?","Halts Maul. Hast du unser Essen?","","","Drax-CH0-None-Ratford-71939","",""
"Content/Story/SVM.d:417","To prawdopodobnie ten cieniostwór. Musimy być uważniejsi w nocy.","Vermutlich der Schattenläufer. Wir sollten vorsichtig sein...","","","Drax-CH0-None-Ratford-33049","",""
"Content/Story/SVM.d:418","Nie pokazuj tego gówna ludziom i przestań pleść bzdury. Jorik za dużo jarał i mu odwaliło – koniec tematu.","Behalt den Wisch für dich und red' nicht drüber. Jorik hat zu viel geraucht und ist abgedreht. Ende der Geschichte.","","","Drax-CH0-None-Ratford-90529","",""
