"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Kiste","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Kiste","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Bett","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Tür","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Amboss","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Wasser-Eimer","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Schmiede-Feuer","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Schleifstein","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Winde","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Kessel","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Pfanne","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Wasserpfeife","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Leiter","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Schalter","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Erzbrocken","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Blasebalg","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Mumie","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Säule","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Krautstampfer","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Statuette","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Zielscheibe","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Orkischer Herzschrein","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Sonderbarer Stein","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(keine)","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Erzbaron","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Miliz","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Schatten","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Feuermagier","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Buddler","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Wassermagier","","False","TXT_GUILDS[6]","",""
"Content/Story/Text.d:66","Najemnik","Söldner","","False","TXT_GUILDS[7]","",""
"Content/Story/Text.d:67","Szkodnik","Bandit","","False","TXT_GUILDS[8]","",""
"Content/Story/Text.d:68","Zbieracz","Bauer","","False","TXT_GUILDS[9]","",""
"Content/Story/Text.d:68","Kret","Schürfer","","False","TXT_GUILDS[10]","",""
"Content/Story/Text.d:70","Guru","Guru","","False","TXT_GUILDS[11]","",""
"Content/Story/Text.d:71","Nowicjusz","Novize","","False","TXT_GUILDS[12]","",""
"Content/Story/Text.d:71","Strażnik Świątynny","Templer","","False","TXT_GUILDS[13]","",""
"Content/Story/Text.d:73","Nekromanta","Dämonenbeschw.","","False","TXT_GUILDS[14]","",""
"Content/Story/Text.d:75","Babka","Babe","","False","TXT_GUILDS[15]","",""
"Content/Story/Text.d:75","Jaszczur","Waran","","False","TXT_GUILDS[17]","",""
"Content/Story/Text.d:77","Śniący","Sleeper","","False","TXT_GUILDS[18]","",""
"Content/Story/Text.d:79","Goblin","Goblin","","False","TXT_GUILDS[19]","",""
"Content/Story/Text.d:80","Troll","Troll","","False","TXT_GUILDS[20]","",""
