"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","Wait a second. You're the guy they just tossed in, aren't you? No, don't say anything, I know it.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","You just got that ""what the fuck did I get myself into"" look on your face.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","I'm guessing you already know we're stuck up here?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","I am new, yes - but actually, your friend Ratford, sent me.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","He said I can sleep in your camp, and told me to help you hunt. ","","","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","Rats? Did he find Jorik, then?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","He's dead.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","... I see. Shame, but not that surprising.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","So, you're here to help me hunt ... how nice of you. Well, why not. Let's do it.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","Yeah. I'm looking for a place to camp - apparently there's a shadowbeast out here.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
