"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Light Digger's Trousers","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Digger's Trousers","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Shadow's Dress","","False","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Shadow's Armor","","False","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Light Guard's Armor","","False","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Guard's Armor","","False","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Heavy Guard's Armor","","False","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Robe of State","","False","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Gomez' Armor","","False","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Heavy Ore Baron's Armor","","False","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Digger's Dress","","False","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Light Rogue's Dress","","False","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Rogue's Dress","","False","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Heavy Rogue's Dress","","False","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Light Mercenary's Armor","","False","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Mercenary's Armor","","False","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Heavy Mercenary's Armor","","False","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Novice's Loincloth","","False","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Light Novice's Armor","","False","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Novice's Armor","","False","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Light Templar's Armor","","False","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Templar's Armor","","False","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Heavy Templar's Armor","","False","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","Guru's Robe","","False","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","High Robe of the Gurus","","False","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","Fire Robe","","False","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","High Robe of Fire","","False","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","Water Robe","","False","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","High Robe of Water","","False","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","Robe of the Dark Arts","","False","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","Crawler Plate Armor","","False","CRW_ARMOR_H.name","",""
"Content/Items/Armor.d:1096","Starożytna zbroja magiczna","Ancient Ore Armor","","False","ORE_ARMOR_M.name","",""
"Content/Items/Armor.d:1117","Tę starożytną zbroję wykonano z magicznej rudy.","","","","ORE_ARMOR_M.TEXT[0]","",""
"Content/Items/Armor.d:1129","Wzmocniona zbroja magiczna","Improved Ore Armor","","False","ORE_ARMOR_H.name","",""
"Content/Items/Armor.d:1148","Kowal Stone jeszcze ją ulepszył!","","","","ORE_ARMOR_H.TEXT[0]","",""
"Content/Items/Armor.d:1166","Szata sędziego","Judge's Robe","","False","LAW_ARMOR.name","",""
"Content/Items/Armor.d:1206","Pancerz Straży Królewskiej","Royal Guard Armor","","False","GRD_ARMOR_I.name","",""
"Content/Items/Armor.d:1242","Goła babka","Nude Babe","","False","BAB_ARMOR_NUDE.name","",""
"Content/Items/Armor.d:1264","Babka w bikini","Bikini Babe","","False","BAB_ARMOR_BIKINI.name","",""
"Content/Items/Food.d:58","Mięso chrząszczy. Smaczne po ugotowaniu, na surowo już nie bardzo.","Meat from meatbugs. Tasty when cooked, not so much raw.","","","ItAt_Meatbug_01_description","",""
"Content/Items/Food.d:61","Mięso chrząszcza","Bugmeat","","False","ItAt_Meatbug_01.name","",""
"Content/Items/Food.d:85","Te jabłka symbolizują monopol handlowy Starego Obozu.","These apples symbolize the Old Camp's trade monopoly.","","","ItFo_Apple_description","",""
"Content/Items/Food.d:88","Jabłko","Apple","","False","ItFoApple.name","",""
"Content/Items/Food.d:113","Winogrona","Grapes","","False","ItFo_wineberrys_01.name","",""
