"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:27","Proszę, proszę. Nowa twarz. Dopiero co cię wrzucili?","Look at that, a fresh face. They just threw you in?","","","Kirgo-CH0-None-Kirgo-13159","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:29","Nie twój interes.","None of your business.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Not_Your_Business","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:30","Tak.","They did.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Yes","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:37","Tak.","They did.","","","Kirgo-CH0-None-Hero-61590","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:38","No to witaj w Kolonii. Jak ci na imię? Mnie nazywają Kirgo.","Well, then welcome to the Colony, I guess. What's your name? I'm Kirgo.","","","Kirgo-CH0-None-Kirgo-72322","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:39","Nyras.","Nyras.","","","Kirgo-CH0-None-Hero-54970","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:40","Miło poznać. Może chwilę porozmawiamy? Powiedz mi, jak się sprawy mają na zewnątrz, a ja zdradzę ci parę rzeczy, które ułatwią ci przeżycie w tej dziurze.","Good to meet you. Hey, listen, why don't we chat for a bit? You could tell me the latest from the outside, and I give you some advice that'll help you stay alive here. ","","","Kirgo-CH0-None-Kirgo-53995","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:41","Cały dzień przerzucam ten cholerny gruz. Chciałbym się na chwilę od tego oderwać... To jak, pogadamy?","It's just that I've been shoveling that bloody rubble all day, and I'd kill for a distraction. What do you say?","","","Kirgo-CH0-None-Kirgo-48505","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:47","Nie mam na to czasu.","I don't have the time for this.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:48","No trudno.","All right.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Too_Bad","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:49","A może opowiem ci w zamian za bezpieczny nocleg?","How about I tell you in return for a safe place to sleep?","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Story_For_A_Place_To_Sleep","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:50","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz?","Why do you care what happens on the outside, anyway? We're never getting out of here, are we?","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Why_Are_You_Interested_In_This","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:56","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz? Przecież i tak się stąd nie wydostaniemy.","Why do you care what happens on the outside, anyway? We're never getting out of here, are we?","","","Kirgo-CH0-None-Hero-5576","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:57","Ludzie z Nowego Obozu i typy żyjące na bagnie twierdzą inaczej. Ale masz rację, pewnie spędzimy tu resztę życia.","Well, the New Campers and the guys from the swamp would beg to differ. But yeah, you're right, we probably won't. ","","","Kirgo-CH0-None-Kirgo-48595","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:58","Ja tam uważam, że warto sobie czasem przypomnieć, że świat nie kończy się na tej zasranej, niebieskiej kopule. Inaczej bym zwariował.","Still, I think it helps to remind yourself from time to time that the world doesn't start and end at that stupid blue dome. I'd go crazy if I didn't.","","","Kirgo-CH0-None-Kirgo-58994","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:64","A może ci opowiem w zamian za bezpieczny nocleg?","How about I tell you in return for a safe place to sleep? ","","","Kirgo-CH0-None-Hero-57845","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:65","Może jedna z tych waszych chatek?","Like one of your huts?","","","Kirgo-CH0-None-Hero-75065","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:66","Boisz się cieniostwora, co? Pozwoliłbym ci, gdyby to zależało ode mnie, ale tak nie jest. Przykro mi.","Because of that shadowbeast, huh? I'd let you sleep in there if it were up to me, but it's not. Sorry, friend.","","","Kirgo-CH0-None-Kirgo-5289","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:73","No trudno.","All right.","","","Kirgo-CH0-None-Hero-75802-0","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:73","Szczerze, to nawet nie ma co tu dużo opowiadać. Każdy sra w gacie z powodu wojny, a wszystkie chore historie o orkach też nie pomagają.","Honestly, though, there isn't that much tell. Everyone's on edge because of the war, and all the horror stories that are going around about the orcs don't help. ","","","Kirgo-CH0-None-Hero-49599-0","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:74","Krąży jednak plotka, że Nordmarczycy odnieśli kilka małych zwycięstw. I tyle.","There's word that the Nordmarians made some small victories, though, so there's that. ","","","Kirgo-CH0-None-Hero-7847","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:75","Chwała Innosowi. Miejmy nadzieję, że uda im się odzyskać część kopalń. Nie ma znaczenia, ilu więźniów wyśle tu król – na dłuższą metę nie ma szans, żebyśmy nadążyli za popytem.","Thank Innos. Let's hope they can reclaim some of the mining areas - there's no way we in here can keep up with the demand long-term, no matter how many prisoners the king sends here.","","","Kirgo-CH0-None-Kirgo-86946","",""
