"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","A Place to Sleep","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","The Thirsty Guard","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Scavenger Hunt","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Finding Jorik","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Sparring Session","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","Diego's welcome offered little comfort. A rockslide blocks access to the valley and a Shadowbeast prowls nearby. I must find shelter for the night","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","A Shadowbeast roams the exchange zone. I must find safe shelter before night falls.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Ratford suggested I help his friend Drax hunt scavengers near the valley path. It could be my chance to earn a spot at their campfire for the night.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Drax needs help hunting scavengers. If I prove useful, I might earn a spot at their campfire safe from the Shadowbeast.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Jorik, a member of the hunters' crew, is missing in the canyon. Finding him might secure me a safe place to sleep tonight.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","I've earned a spot at the hunters' campfire at the old diggers' camp across from the Abandoned Mine. Time to claim my spot by the fire and get some rest.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","I need to find Drax's friend Ratford and ask about Jorik, their missing crew member. This might be my last step to securing a safe place for the night.","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","Orry, a gate guard, might share info for a beer. In this harsh place, even alcohol is precious. Finding some could help me learn about surviving here.","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","There must be beer somewhere in this exchange zone... maybe where they store deliveries from the outside world?","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","I've found some beer. Time to bring it to Orry at the exchange gate, let's see what information he'll share for this beer.","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","A New Camp member named Jorik is missing in the canyon. His crew is searching for him. Finding Jorik could earn me a safe place for the night.","","False","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","Jorik vanished in the canyon. Finding him or his fate could secure my good graces with the hunters and a safe place to sleep.","","False","CH0_FindJorik_1","",""
"Content/Story/Log_Constants.d:37","Pewien łowca z tak zwanego Nowego Obozu zaoferował pożywienie i schronienie w zamian za pomoc przy polowaniu na ścierwojady. Polowanie wydaje się mało skomplikowane, ale lepiej zachować ostrożność.","A hunter from a so-called New Camp offered food and shelter in exchange for help hunting scavengers. The hunt seems simple, but I should stay wary of any tricks.","","False","CH0_DraxHunt_0","",""
"Content/Story/Log_Constants.d:39","Powinienem powiedzieć Draxowi, że jestem gotów na polowanie. Czeka na mnie w pobliżu wejścia do doliny.","I should tell Drax I'm ready to start the scavenger hunt. He's waiting near the valley entrance.","","False","CH0_DraxHunt_1","",""
"Content/Story/Log_Constants.d:41","Zanim wyruszę na polowanie z Draxem, muszę znaleźć jakąś broń. Na pewno znajdę coś w okolicy.","I need a weapon before hunting with Drax. There must be something I can use around here.","","False","CH0_DraxHunt_2","",""
"Content/Story/Log_Constants.d:41","Drax twierdzi, że ścierwojady nie są groźne, ale nie jestem do końca przekonany. Powinienem uważać podczas polowania.","Drax says scavengers aren't that dangerous, but I'm not so sure. I'll need to stay alert during the hunt.","","False","CH0_DraxHunt_3","",""
"Content/Story/Log_Constants.d:45","Kirgo, strażnik ze Starego Obozu i wojownik walczący na arenie, zaproponował mi sparing. To dla mnie szansa, by dowieść swojej wartości i nauczyć się cennych umiejętności walki. Jeśli się wykażę, zyskam szacunek.","Kirgo, an Old Camp guard and arena fighter, offered to spar. It's a chance to prove myself and learn valuable fighting skills. A good showing might earn some respect here.","","False","CH0_KirgoFight_0","",""
"Content/Story/Log_Constants.d:47","Powinienem powiedzieć Kirgo, że jestem gotowy na sparing. Czeka na mnie w pobliżu zawalonych skał i jest gotów, by sprawdzić moje zdolności.","I should tell Kirgo I'm ready to spar. He's waiting by the rockslide eager to test my skills.","","False","CH0_KirgoFight_1","",""
"Content/Story/Log_Constants.d:49","Potrzebuję broni do sparingu z Kirgo. W okolicy z pewnością znajdę jakiś oręż.","I need a weapon to spar with Kirgo. There must be something I can use around here.","","False","CH0_KirgoFight_2","",""
