"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","Yes","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","No","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","no|yes","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","off|on","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","Press DEL to remove and ENTER to define a key.","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","Press desired key.","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","New Game","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","Start a new adventure.","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","Load Game","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","Load a saved game.","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","Save Game","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","Save current game.","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","Continue","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","Continue current game.","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","Settings","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","Adjust game, graphics, sound and keyboard","","False","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","Main Menu","","False","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","Back to main menu","","False","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","Quit","","False","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","Leave the world of Gothic.","","False","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","Really quit Gothic?","","False","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","Restart of the game required!","","False","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","WELCOME TO THE COLONY!","","False","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","Chapter:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
"System/MENU/Menu_Defines.d:175","Nyras","Nyras","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_VALUE_TEXT","",""
"System/MENU/Menu_Defines.d:176","Zapisz czas","Save Time","","True","MENUITEM_LOADSAVE_DATETIME_TEXT","",""
