"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_254_Orry.d:12","To ja już pójdę.","I'll be on my way.","","False","DIA_GRD_254_Orry_Exit.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:22","To ja już pójdę.","I'll be on my way.","","","Orry-CH0-None-Hero-73692","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:23","Jasne. Powodzenia, żółtodziobie!","Sure. Good luck, green-blood.","","","Orry-CH0-None-Orry-52966","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:51","Świeżak, co? Nie wiedziałem, że kogoś wrzucają. Miałeś szczęście.","Freshie, eh? Didn't know one was comin' in. You got lucky.","","","Orry-CH0-None-Orry-35350","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:52","Dlaczego?","Why?","","","Orry-CH0-None-Hero-62484","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:53","Gdyby nie lawina skalna, kilku z naszych z pewnością wyszłoby ci na powitanie.","Well, if it wasn't for the rockslide, 'couple of our lads would've been right there to welcome you.","","","Orry-CH0-None-Orry-81876","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:54","Obiliby ci ryj zawodowo.","With a proper stompin'. ","","","Orry-CH0-None-Orry-50913","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:55","W każdym razie, jeśli zmierzasz do doliny, musisz poczekać, aż oczyszczą drogę. Wspinaczka po urwisku...","Anyway. If you're headed for the valley, you gotta wait 'til our men clear the path. The precipice-","","","Orry-CH0-None-Orry-3202","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:56","Jest zbyt niebezpieczna. Wiem. Diego mi powiedział.","- is too dangerous to climb. I know, Diego told me. ","","","Orry-CH0-None-Hero-17889","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:57","To dobrze. Teraz jeszcze znajdź sobie jeszcze miejsce do spania.","Good. Best find yourself somewhere to sleep, then.","","","Orry-CH0-None-Orry-90220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:70","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","What's your story? Why'd they throw you in?","","False","DIA_GRD_254_Orry_What_Did_You_Do.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:84","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","What's your story? Why'd they throw you in?","","","Orry-CH0-None-Hero-93802","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:85","Mnie? Nie zrobiłem nic szczególnego.","What, me? Ain't nothin' to write home about.","","","Orry-CH0-None-Orry-34664","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:86","Skończyły mi się fundusze, wpadłem w złe towarzystwo, a potem napatoczyłem się na straże, kiedy akurat kogoś obrobiłem.","I ran outta dough, then fell in with the wrong crowd, and then right into a group o' guards after I mugged someone.","","","Orry-CH0-None-Orry-1321","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:87","Szast-prast i jestem tutaj. A ty?","Bingo, here I am. Yourself?","","","Orry-CH0-None-Orry-45461","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:89","Nie chcę o tym gadać.","I don't want to talk about it.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_No_More_About_It","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:93","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","I was at the wrong place, at the wrong time.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_Wrong_Place_And_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:96","Zabiłem człowieka.","I killed someone.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_I_Killed_Someone","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:104","Zabiłem człowieka.","I killed someone.","","","Orry-CH0-None-Caption-85953-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:105","Ty? A nie wyglądasz.","You? Didn't peg you for the type.","","","Orry-CH0-None-Orry-24602","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:106","Tylko nie mów o tym komu popadnie. Ogranicz się do tych, których to może zaciekawić.","Don't tell everyone, though - or at least only the ones that you think wanna hear it.","","","Orry-CH0-None-Orry-37552","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:110","Jasne.","I won't.","","","Orry-CH0-None-Hero-17139","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:115","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","I was at the wrong place, at the wrong time.","","","Orry-CH0-None-Caption-7105-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:117","Gdzieś to już słyszałem.","Heard that one before.","","","Orry-CH0-None-Orry-97807","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie chcę o tym gadać.","I don't want to talk about it.","","","Orry-CH0-None-Caption-16021-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie będziemy się sobie zwierzać? W porządku.","What, no heart to heart? Fine by me.","","","Orry-CH0-None-Orry-84803","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:128","I tak wszyscy zawsze mówią to samo.","It's always the same story, anyway.","","","Orry-CH0-None-Orry-50138","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:143","Chciałbym o coś zapytać.","I have some questions.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Chciałbym o coś zapytać.","I have some questions.","","","Orry-CH0-G1RDemo_OrryBeer-Hero-57035","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Czyżby? A mnie strasznie zaschło w gardle.","That so? Well, what I have is a parched throat. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-74214","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:155","Zróbmy tak: znajdź mi coś mocniejszego, a jak zwilżę gardełko to możesz pytać, jakby jutra miało nie być.","How's this, you find me a bevvy, then you can ask like there's no tomorrow. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-3732","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:158","Rączka rączkę myje.","One hand washes the other.","","","Orry-CH0-G1RDemo_OrryBeer-Orry-31914","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:158","Nie mam czasu na bzdury.","I don't have time for this.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:159","Niech będzie.","Sounds like a deal.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Agree","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:160","O jakim napitku mówimy?","What sort of drink do you want?","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_About_Beer","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:167","O jakim napitku mówimy?","What sort of drink do you want?","","","Orry-CH0-G1RDemo_OrryBeer-Hero-67257","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:167","Oo napiłbym się varanckiego czerwonego, rocznik ’82. I przydałaby się cycata, ruda dziewka, która będzie mi polewać.","What I want is a Varantian Red, Vintage 82 and a foxy redhead to pour it for me. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-96594","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:168","Ale niestety to Kolonia, więc wystarczy mi butelczyna tej berbeluchy, która uchodzi tu za piwo.","Sadly, this is the Colony, so a bottle of the swill the king sells us as ""beer"" has got to do.","","","Orry-CH0-G1RDemo_OrryBeer-Orry-2862","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:179","Niech będzie.","Sounds like a deal. ","","","Orry-CH0-G1RDemo_OrryBeer-Hero-28969","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:181","Dzięki niech będą Innosowi. Wiesz, gdzie mnie szukać.","Innos's praise. You know where to find me. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-103","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:192","Nie mam czasu na bzdury.","I don't have time for this.","","","Orry-CH0-G1RDemo_OrryBeer-Hero-42210","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:193","Co, jesteś ponad to?","That would be beneath you, eh?","","","Orry-CH0-G1RDemo_OrryBeer-Orry-28733","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:195","Oj, chłopcze, czeka cię nie lada niespodzianka.","Oh, my lad, you're in for a rude awakenin'.  ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-31985-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:214","Muszę ci coś powiedzieć. Kirgo nie żyje.","I have to tell you something. Kirgo is dead.","","False","DIA_GRD_254_Orry_About_Kirgo_Death.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:223","Muszę ci coś powiedzieć. Kirgo nie żyje.","I have to tell you something. Kirgo is dead.","","","Orry-CH0-None-Hero-88403","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:225","...Co?! Jak? Dlaczego?","... What? Why? How?","","","Orry-CH0-None-Orry-44358","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:225","To był wypadek. Trenowaliśmy walkę i... nadział mi się na miecz.","It was an accident. We had a practice fight, and my sword slipped.","","False","DIA_GRD_254_Orry_About_Kirgo_Death_Info.DIA_GRD_254_Orry_About_Kirgo_Death.DIA_GRD_254_Orry_About_Kirgo_Death_Truth","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:229","To chyba sprawka cieniostwora.","I think it was the shadowbeast.","","False","DIA_GRD_254_Orry_About_Kirgo_Death_Info.DIA_GRD_254_Orry_About_Kirgo_Death.DIA_GRD_254_Orry_About_Kirgo_Death_Lie","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:233","To chyba sprawka cieniostwora.","I think it was the shadowbeast.","","","Orry-CH0-None-Caption-88176-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:234","Przecież widziałem go dziś rano... Kurwa... KURWA MAĆ!","The - but I saw him this mornin'! Fuck ... FUCK!","","","Orry-CH0-None-Orry-51220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:235","Nie mogę teraz opuścić posterunku, ale poszukam go jutro z samego rana.","I can't leave me post right now, but I'll look for him first thing tomorrow.","","","Orry-CH0-None-Orry-45442","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:240","Przekonamy się, kto to zrobił. W każdym razie... dzięki za informację.","Then we'll see who did this. Anyway ... thanks for tellin' me. ","","","Orry-CH0-None-Orry-22759","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:244","To był wypadek. Trenowaliśmy walkę i... nadział mi się na miecz.","It was an accident. We had a practice fight, and my sword slipped.","","","Orry-CH0-None-Caption-12927-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:245","...Wypadek?","An ... accident?","","","Orry-CH0-None-Orry-36012","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:246","Nie, nie, nie kupuję tego. Kirgo był jednym z najlepszych zabijaków na arenie.","No. No, I ain't buyin' it, Kirgo was one of the best fighters in the arena. ","","","Orry-CH0-None-Orry-21384","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:250","Ty to zrobiłeś. I to celowo. Powalony gnój... Zapierdolę cię!","You did this, and you did it on purpose. Crazy bastard ... I'll fuckin' end you!","","","Orry-CH0-None-Orry-10752","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:274","Masz. Twoje piwo.","Here's your beer.","","False","DIA_GRD_254_Orry_Your_Beer.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:287","Masz. Twoje piwo.","Here's your beer.","","","Orry-CH0-G1RDemo_OrryBeer-Hero-22970","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:291","Zbawco!","My savior!","","","Orry-CH0-G1RDemo_OrryBeer-Orry-69058","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:292","Uech. Smakuje jak fermentowany szczoch.","Ugh ... tastes like ballsweat. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-30075","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:294","No, ale chciałeś przecież o coś zapytać. Wal śmiało.","Anyway. You had questions, right? Fire away. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-62196","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:295","To wszystko. Dzięki.","That's all. Thanks.","","False","DIA_GRD_254_Orry_Your_Beer_Info.DIA_GRD_254_Orry_Your_Beer.DIA_GRD_254_Orry_Your_Beer_Thats_All","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:297","A może jakieś inne rady? Jak przeżyć w Kolonii?","How about some general advice? About life in the Colony?","","False","DIA_GRD_254_Orry_Your_Beer_Info.DIA_GRD_254_Orry_Your_Beer.DIA_GRD_254_Orry_Your_Beer_How_To_Survive_In_The_Colony","AI_AddChoice",""
