"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_PC_Thief.d:12","To ja już pójdę.","I'll be going.","","False","DIA_PC_Thief_Exit.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:22","To ja już pójdę.","I'll be going.","","","Diego-CH0-None-Hero-91268-1","",""
"Content/Story/Missions/DIA_PC_Thief.d:23","Pewnie.","Sure.","","","Diego-CH0-None-Diego-2972","",""
"Content/Story/Missions/DIA_PC_Thief.d:52","Wciąż żyjesz? Dobrze. Jestem Diego.","Still alive? Good. I'm Diego.","","","Diego-CH0-None-Diego-35455","",""
"Content/Story/Missions/DIA_PC_Thief.d:53","Jestem Ny...","I'm Ny- ","","","Diego-CH0-None-Hero-33246","",""
"Content/Story/Missions/DIA_PC_Thief.d:54","Nikogo tu nie obchodzi twoje imię, chłopcze – chyba że dasz im ku temu powód.","No one in here cares about your name, lad - unless you give them a reason to. ","","","Diego-CH0-None-Diego-43084","",""
"Content/Story/Missions/DIA_PC_Thief.d:55","Słuchaj, zwykle to ja pokazuję świeżakom, co jest co, ale lawina odcięła nas od doliny, więc mam teraz ważniejsze sprawy na głowie.","Look, usually I'm the guy who gives the ""green bloods"" the rundown, but a rockslide cut us off from the valley, so I have other things on my mind right now.","","","Diego-CH0-None-Diego-67833","",""
"Content/Story/Missions/DIA_PC_Thief.d:56","Nasi ludzie mają oczyścić ścieżkę, ale znając ich, zajmie im to parę dni. Znajdź sobie miejsce na obóz, bo spędzisz tu trochę czasu.","Our men are coming to clear the path, but knowing them, it's gonna take a few days, so you should find yourself a place to camp until then. ","","","Diego-CH0-None-Diego-98606","",""
"Content/Story/Missions/DIA_PC_Thief.d:57","Wszystko jasne?","All clear?","","","Diego-CH0-None-Diego-91856","",""
"Content/Story/Missions/DIA_PC_Thief.d:59","Mógłbym rozbić obóz gdzieś tutaj?","Where can I camp? Somewhere in here?","","False","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Camp","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:60","Mogę jakoś pomóc?","Can I help you somehow?","","False","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:74","Mogę jakoś pomóc?","Can I help you somehow?","","","Diego-CH0-None-Hero-76137","",""
"Content/Story/Missions/DIA_PC_Thief.d:75","Dzięki, ale nie.","Thanks, but no. ","","","Diego-CH0-None-Diego-12922","",""
"Content/Story/Missions/DIA_PC_Thief.d:81","Mógłbym rozbić obóz gdzieś tutaj?","Where can I camp? Somewhere in here?","","","Diego-CH0-None-Hero-91834","",""
"Content/Story/Missions/DIA_PC_Thief.d:82","Nie. Ten Plac Wymian należy do Starego Obozu i dopóki nie staniesz się jednym z nas, nie możesz się tutaj włóczyć po zmroku.","No. This Exchange Zone belongs to the Old Camp, and until you're one of us, we can't let you wander around here after dark. ","","","Diego-CH0-None-Diego-20055","",""
"Content/Story/Missions/DIA_PC_Thief.d:83","Znajdź sobie jakieś dobrze osłonięte miejsce. Nasi chłopcy widzieli w pobliżu kanionu cieniostwora. Uważaj na nie. Polują w nocy.","Just try and find somewhere well sheltered. Our boys sighted a shadowbeast near the canyon, and they come out at night.  ","","","Diego-CH0-None-Diego-35601-0","",""
"Content/Story/Missions/DIA_PC_Thief.d:86","Rozumiem. Dzięki.","Okay. Thanks.","","False","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_I_Understand_Thanks","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:87","Czekaj. Prawdziwego cieniostwora?","Wait. A real shadowbeast?","","False","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Shadowbeast","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:91","Mogę jakoś pomóc?","Can I help you somehow?","","False","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:103","Czekaj. Prawdziwego cieniostwora?","Wait. A real shadowbeast?","","","Diego-CH0-None-Hero-11753","",""
"Content/Story/Missions/DIA_PC_Thief.d:104","Najprawdziwszego. To tylko jeden z wielu tutejszych stworów, które z radością by cię rozszarpały.","In the flesh. One of the many things in this place just waiting to rip you to pieces.","","","Diego-CH0-None-Diego-26027","",""
"Content/Story/Missions/DIA_PC_Thief.d:117","Rozumiem. Dzięki.","Okay. Thanks. ","","","Diego-CH0-None-Hero-25858","",""
"Content/Story/Missions/DIA_PC_Thief.d:118","Jasne.","Sure. ","","","Diego-CH0-None-Diego-3476","",""
"Content/Story/Missions/DIA_PC_Thief.d:121","Witamy w Kolonii.","Welcome to the Colony.","","","Diego-CH0-None-Diego-73935","",""
"Content/Story/Missions/DIA_PC_Thief.d:160","O co chodzi?","What is it?","","","Diego-CH0-None-Diego-24707","",""
"Content/Story/Missions/DIA_PC_Thief.d:170","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","About this ... barrier. Is it really true that you can't go back out once you're in?","","False","DIA_PC_Thief_About_Barrier.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:183","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","About this ... barrier. Is it really true that you can't go back out once you're in?","","","Diego-CH0-None-Hero-91769","",""
"Content/Story/Missions/DIA_PC_Thief.d:185","Da się. Kiedy tylko zechcesz.","You can. Anytime.","","","Diego-CH0-None-Diego-51663","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale...?","But?","","","Diego-CH0-None-Hero-43033","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale oberwiesz w dupsko błyskawicą tak paskudną, że nawet sępy nie będą chciały zeżreć tego, co z ciebie zostanie.","But that thing will hit your arse with a lightning bolt so nasty even the vultures won't wanna touch what's left of you.","","","Diego-CH0-None-Diego-5080","",""
"Content/Story/Missions/DIA_PC_Thief.d:202","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","What exactly do you do? Are you with the guys who run the Colony?","","False","DIA_PC_Thief_Whats_Is_Your_Business.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:213","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","What exactly do you do? Are you with the guys who run the Colony?","","","Diego-CH0-None-Hero-90410","",""
"Content/Story/Missions/DIA_PC_Thief.d:214","Jeśli masz na myśli Stary Obóz, to tak – choć jestem tylko Cieniem.","If you mean the Old Camp, then yes, I am - though I'm only a Shadow. ","","","Diego-CH0-None-Diego-94012","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","„Cieniem”?","""Shadow?""","","","Diego-CH0-None-Hero-55986","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","Tak. Można powiedzieć, że jesteśmy w obozie specami od wszystkiego. Niedługo załapiesz.","Yes. I guess you could call us the all-rounders of the camp. But you'll pick it up. ","","","Diego-CH0-None-Diego-3860","",""
"Content/Story/Missions/DIA_PC_Thief.d:233","Czyli ten cały Stary Obóz to główna osada w Kolonii?","I guess this ""Old Camp"" is the main settlement in the Colony?","","False","DIA_PC_Thief_About_Old_Camp.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:242","Czyli ten cały Stary Obóz to główna osada w Kolonii?","I guess this ""Old Camp"" is the main settlement in the Colony?","","","Diego-CH0-None-Hero-29785","",""
"Content/Story/Missions/DIA_PC_Thief.d:242","Na pewno jest najstarsza. Nasz przywódca, Gomez, i jego ludzie założyli ją zaraz po buncie. Zbudowano ją wokół zamku, w którym kiedyś mieszkali strażnicy więzienni.","Well, it's the oldest one. Our leader, Gomez, and his men founded it right after the revolt. It's built around the castle where the old prison guards used to live. ","","","Diego-CH0-None-Diego-38850","",""
"Content/Story/Missions/DIA_PC_Thief.d:245","Ale są jeszcze inne?","But there are others?","","","Diego-CH0-None-Hero-10718","",""
"Content/Story/Missions/DIA_PC_Thief.d:246","Czemu pytasz?","Why do you ask?","","","Diego-CH0-None-Diego-48329","",""
"Content/Story/Missions/DIA_PC_Thief.d:247","Z ciekawości.","I'm just curious.","","","Diego-CH0-None-Hero-26492","",""
"Content/Story/Missions/DIA_PC_Thief.d:250","Będziesz się musiał sam przekonać.","You'll have to find out yourself. ","","","Diego-CH0-None-Diego-90638","",""
"Content/Story/Missions/DIA_PC_Thief.d:268","A ty jak tu trafiłeś?","How did you end up in here?","","False","DIA_PC_Thief_How_Did_You_Get_Here.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:273","A ty jak tu trafiłeś?","How did you end up in here? ","","","Diego-CH0-None-Hero-58079","",""
"Content/Story/Missions/DIA_PC_Thief.d:274","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","I was at the wrong place, at the wrong time.","","","Diego-CH0-None-Diego-7105","",""
"Content/Story/Missions/DIA_PC_Thief.d:275","To znaczy...?","Meaning ...?","","","Diego-CH0-None-Hero-81111","",""
"Content/Story/Missions/DIA_PC_Thief.d:279","Że znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","That I was at the wrong place, at the wrong time.","","","Diego-CH0-None-Diego-45278","",""
"Content/Story/Missions/DIA_PC_Thief.d:299","Gdzie znajdę jakąś broń?","Where can I get a weapon?","","False","DIA_PC_Thief_About_Weapon.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:302","Gdzie znajdę jakąś broń?","Where can I get a weapon?","","","Diego-CH0-None-Hero-36443","",""
