"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_818_Ratford.d:27","A kim ty niby jesteś, na Beliara?","Now who by Beliar are you?","","","Ratford-CH0-None-Ratford-64245-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:30","Jestem Nyr...","I'm Nyr-","","","Ratford-CH0-None-Hero-87298","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:31","Nie o imię pytam. Nie wyglądasz mi na członka któregoś obozu. To co, jesteś kopaczem? A może dopiero co cię wrzucili?","Not your name. You don't look like you're from any of the camps - you a digger? Or did they just throw you in? ","","","Ratford-CH0-None-Ratford-66784","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:35","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","I'm new, yes. Your friend Drax sent me to help you, in return for a place to sleep at your camp.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Help","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:40","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","They just threw me in. I'm looking for a safe place to sleep.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Sleep_Place","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:48","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","I'm new, yes. Your friend Drax sent me to help you, in return for a place to sleep at your camp.","","","Ratford-CH0-None-Hero-42595","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:49","Czyżby? Nie potrzebuję pomocy, zwłaszcza od takiej pizdy jak ty, a już na pewno nie pozwolę obcemu spać przy naszym ognisku. Zabieraj się stąd. W podskokach.","Did he, now? Well, I don't need any help, especially not from a wet lettuce like you, and I sure as fuck ain't gonna have a stranger sleep by our fire.  Now get lost.","","","Ratford-CH0-None-Ratford-50882","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:51","Jak chcesz.","Fine.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_If_You_Think_So","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:52","Zamknij już kurwa ten ryj.","Watch your fucking mouth.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Fuck_You","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:53","Mogę cię jakoś przekonać?","What can I do to convince you?","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Can_I_Convince_You_Somehow","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:54","Ale przecież się z nim dogadałem.","But your friend and I made a deal.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_But_I_Talked_To_Drax","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:62","Ale przecież się z nim dogadałem.","But your friend and I made a deal.","","","Ratford-CH0-None-Hero-30527","",""
