"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Box","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Chest","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Bed","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Door","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Anvil","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Water Bucket","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Smith's Fire","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Grindstone","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Winch","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Kettle","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Pan","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Water Pipe","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Ladder","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Switch","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Ore Nugget","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Bellows","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Mummy","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Column","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Weed Masher","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Figurine","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Target","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Heart Shrine of the Orcs","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Strange Shrine","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(none)","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Ore Baron","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Guard","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Shadow","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Magician of Fire","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Digger","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Magician of Water","","False","TXT_GUILDS[6]","",""
