"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","Sí","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","No","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","no|sí","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","desact.|activar","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","SUPR eliminar, INTRO definir tecla.","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","Pulsa la tecla deseada.","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","Nueva partida","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","Empezar una nueva aventura.","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","Cargar partida","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","Cargar una partida guardada.","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","Guardar partida","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","Guardar la partida actual.","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","Continuar","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","Continuar la partida actual.","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","Ajustes","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","Ajustar juego, gráficos, sonido, teclado","","False","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","Menú general","","False","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","Volver al menú general","","False","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","Salir","","False","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","Salir del mundo de Gothic.","","False","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","¿Deseas salir?","","False","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","Reiniciar Gothic para activar config.","","False","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","BIENVENIDO A LA COLONIA!","","False","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","Capítulo:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
"System/MENU/Menu_Defines.d:175","Nyras","Nyras","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_VALUE_TEXT","",""
"System/MENU/Menu_Defines.d:176","Zapisz czas","Hora de guardado","","True","MENUITEM_LOADSAVE_DATETIME_TEXT","",""
"System/MENU/Menu_Defines.d:177","Czas gry:","Tiempo jugado:","","False","MENUITEM_LOADSAVE_PLAYTIME_TEXT","",""
