"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Caja","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Cofre","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Cama","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Puerta","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Yunque","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Cubo de agua","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Fuego de herrero","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Piedra de afilar","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Torno","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Tetera","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Sartén","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Pipa de agua","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Escalera de mano","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Interruptor","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Pepita de mineral","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Fuelle","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Momia","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Columna","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Trituradora de hierba","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Estatuilla","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Objetivo","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Capilla del Corazón de los orcos","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Extraña capilla","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(Ninguna)","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Magnate del mineral","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Guardia","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Sombra","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Mago del Fuego","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Cavador","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Mago del Agua","","False","TXT_GUILDS[6]","",""
"Content/Story/Text.d:66","Najemnik","Mercenario","","False","TXT_GUILDS[7]","",""
"Content/Story/Text.d:67","Szkodnik","Bandido","","False","TXT_GUILDS[8]","",""
"Content/Story/Text.d:68","Zbieracz","Campesino","","False","TXT_GUILDS[9]","",""
"Content/Story/Text.d:68","Kret","Raspador","","False","TXT_GUILDS[10]","",""
"Content/Story/Text.d:70","Guru","Gurú","","False","TXT_GUILDS[11]","",""
"Content/Story/Text.d:71","Nowicjusz","Novicio","","False","TXT_GUILDS[12]","",""
"Content/Story/Text.d:71","Strażnik Świątynny","Templario","","False","TXT_GUILDS[13]","",""
