"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","Aspetta un secondo. Sei quel tipo che hanno appena buttato dentro, vero? No, non dire nulla, ho già capito.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","Hai quell'espressione da ""in che cazzo di guaio mi sono cacciato"".","","","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","Suppongo che tu sappia già che siamo bloccati qui?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","Sono nuovo, già - a dirla tutta, mi manda il tuo amico Ratford.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","Ha detto che posso dormire nel tuo accampamento, e che potevo darti una mano a cacciare. ","","","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","Ratford? Ha trovato Jorik, quindi?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","È morto.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","... Capisco. Un peccato, anche se non mi sorprende.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","Allora, sei qui per darmi una mano a cacciare... gentile da parte tua. Beh, perché no. Diamoci da fare.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","Sì. Sto cercando un posto in cui accamparmi - a quanto pare da queste parti si aggira una Bestia d'Ombra.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:54","To prawda. Też go widzieliśmy. Wielki skurwysyn.","È così! L'abbiamo vista anche noi... è una bastarda bella grossa.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-70619","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:55","Co powiesz na układ? Pomożesz mi upolować to stado ścierwojadów, a my podzielimy się z tobą jadłem i będziesz mógł się przespać przy naszym ognisku.","Hmm... ehi, perché non ci veniamo incontro? Tu mi aiuti a cacciare quei saprofagi, e in cambio noi ti daremo del cibo e potrai dormire vicino al nostro falò.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-49351","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:56","Jest w starym obozie górniczym naprzeciwko zalanej kopalni. Nieźle osłonięte miejsce. Co ty na to?","È nel vecchio accampamento dei minatori dalla parte opposta rispetto alla miniera allagata, ed è ben riparato. Che ne dici?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-43533","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:58","Nie jestem zainteresowany.","Non sono interessato.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_No","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:59","A ty co z tego masz? Spokojnie dałbyś radę tym ścierwojadom w pojedynkę.","Tu che ci guadagni? Mi sembri in grado di far fuori quei saprofagi da solo.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_You_Could_Do_It_Yourself","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:60","Skąd mam wiedzieć, że to nie pułapka?","Come faccio a sapere che non è una trappola?","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_Maybe_Its_A_Trap","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:61","Nie brzmisz, jakbyś był z Khorinis.","Dal tuo accento non mi sembri di Khorinis.","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_You_Are_Not_From_Khorinis","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:62","„Naszym” ognisku?","Il ""nostro"" falò?","","False","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_About_Fire","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:72","„Naszym” ognisku?","Il ""nostro"" falò?","","","Drax-CH0-G1RDemo_DraxHunt-Hero-47782","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:73","Taa, jest moje i moich ziomków.","Sì, mio e del mio amico. Lo conoscerai.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-87244","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:83","Nie brzmisz, jakbyś był z Khorinis.","Dal tuo accento non mi sembri di Khorinis.  ","","","Drax-CH0-None-Hero-72487","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:85","Ty też nie.","Nemmeno tu.","","","Drax-CH0-None-Drax-86382","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:85","To skąd jesteś? Krainy Centralne?","Da dove vieni? Continente?","","","Drax-CH0-None-Hero-57725","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:89","Może tak, może nie.","Forse sì, forse no. ","","","Drax-CH0-None-Drax-47752","",""
