"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Calzoni leggeri da minatore","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Calzoni da minatore","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Veste da Ombra","","False","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Armatura da Ombra","","False","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Armatura leggera da guardia","","False","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Armatura da guardia","","False","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Armatura pesante da guardia","","False","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Veste da palazzo","","False","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Armatura di Gomez","","False","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Armatura pesante da barone","","False","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Veste da minatore","","False","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Veste leggera da ladro","","False","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Veste da ladro","","False","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Veste pesante da ladro","","False","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Armatura leggera da mercenario","","False","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Armatura da mercenario","","False","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Armatura pesante da mercenario","","False","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Fascia da novizio","","False","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Armatura leggera da novizio","","False","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Armatura da novizio","","False","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Armatura leggera da templare","","False","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Armatura da templare","","False","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Armatura pesante da templare","","False","TPL_ARMOR_H.name","",""
