"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","Sì","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","No","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","no|sì","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","no|sì","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","CANC-Annulla, INVIO-Assegna un tasto.","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","Premi il tasto desiderato.","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","Nuova partita","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","Inizia una nuova avventura.","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","Carica","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","Carica una partita salvata.","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","Salva","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","Salva la partita in corso.","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","Continua","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","Riprendi la partita in corso.","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","Impostazioni","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","Opzioni di gioco, video, audio e tastiera.","","False","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","Menu principale","","False","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","Ritorno al menu principale","","False","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","Esci","","False","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","Esci dal gioco","","False","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","Sei sicuro di voler uscire dal gioco?","","False","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","Devi riavviare perché alcuni cambiamenti abbiano effetto!","","False","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","BENVENUTO ALLA COLONIA!","","False","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","Capitolo:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
"System/MENU/Menu_Defines.d:175","Nyras","Nyras","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_VALUE_TEXT","",""
"System/MENU/Menu_Defines.d:176","Zapisz czas","Orario di salvataggio:","","False","MENUITEM_LOADSAVE_DATETIME_TEXT","",""
"System/MENU/Menu_Defines.d:177","Czas gry:","Tempo di gioco:","","False","MENUITEM_LOADSAVE_PLAYTIME_TEXT","",""
"System/MENU/Menu_Defines.d:178","Wstecz","Indietro","","False","MENU_COMMON_BACK_TEXT","",""
"System/MENU/Menu_Defines.d:181","Gra","Gioco","","False","MENUITEM_OPT_GAME_TEXT_0","",""
"System/MENU/Menu_Defines.d:182","Grafika","Grafica","","False","MENUITEM_OPT_GRAPHICS_TEXT_0","",""
"System/MENU/Menu_Defines.d:183","Obraz","Video","","False","MENUITEM_OPT_VIDEO_TEXT_0","",""
"System/MENU/Menu_Defines.d:184","Dźwięk","Audio","","False","MENUITEM_OPT_AUDIO_TEXT_0","",""
"System/MENU/Menu_Defines.d:185","Klawiatura","Controlli","","False","MENUITEM_OPT_CONTROLS_TEXT_0","",""
"System/MENU/Menu_Defines.d:186","Wydajność/Jakość","Prestazioni/Qualità","","False","MENUITEM_PERF_TEXT_0","",""
"System/MENU/Menu_Defines.d:187","opcje użytkownika#Orthodox Overdose|średnia jakość|wysoka jakość","predefinite#Orthodox Overdose|media qualità|alta qualità","","False","MENUITEM_PERF_CHOICE_TEXT_0","",""
"System/MENU/menu_opt.d:19","USTAWIENIA","IMPOSTAZIONI","","False","MENUITEM_OPT_HEADING.text[0]","",""
"System/MENU/menu_opt.d:30","Różne ustawienia dotyczące gry.","Modifica alcune opzioni della partita.","","False","MENUITEM_OPT_GAME.text[1]","",""
"System/MENU/menu_opt.d:41","Szczegółowość obrazu i efekty specjalne.","Campo visivo, dettaglio ed effetti.","","False","MENUITEM_OPT_GRAPHICS.text[1]","",""
"System/MENU/menu_opt.d:52","Karta graficzna, rozdzielczość i jasność.","Scheda video, risoluzione e luminosità.","","False","MENUITEM_OPT_VIDEO.text[1]","",""
