"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/AI/Monster/Mst_Gobbo.d:7","Zielony Goblin","","","False","Mst_Default_GreenGobbo.name","",""
"Content/AI/Monster/Mst_Meatbug.d:7","Chrząszcz","","","False","Mst_Default_Meatbug.name","",""
"Content/AI/Monster/Mst_Molerat.d:7","Kretoszczur","","","False","Mst_Default_Molerat.name","",""
"Content/AI/Monster/Mst_Scavenger.d:7","Ścierwojad","","","False","MST_Default_Scavenger.name","",""
"Content/AI/Monster/Mst_Shadowbeast.d:7","Cieniostwór","","","False","Mst_Default_Shadowbeast.name","",""
"Content/Story/NPC/Grd_251_Kirgo.d:4","Kirgo","","","False","GRD_251_Kirgo.name","",""
"Content/Story/NPC/Grd_254_Orry.d:4","Orry","","","False","GRD_254_Orry.name","",""
"Content/Story/NPC/ORG_818_Ratford.d:1","Ratford","","","False","G1R_DEMO_0030_NC_RATFORD_0030","",""
"Content/Story/NPC/ORG_819_Drax.d:1","Drax","","","False","G1R_DEMO_0040_NC_DRAX_0040","",""
"Content/Story/NPC/PC_Hero.d:4","Nyras","","","False","PC_Hero.name","",""
"Content/Story/NPC/PC_Rockefeller.d:5","Rockefeller","","","False","PC_Rockefeller.name","",""
"Content/Story/NPC/PC_Thief.d:4","Diego","","","False","PC_Thief.name","",""
"Content/Story/NPC/Stt_309_Whistler.d:4","Świstak","","","False","STT_309_Whistler.name","",""
