"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","","","False","TXT_GUILDS[4]","",""
