"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","寝る場所","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","喉を乾かせた護衛","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","スカベンジャーハント","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","ジョリックを探す","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","スパーリング・セッション","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","ディエゴの歓迎を受けても、心が落ち着くことはなかった。崖崩れのせいで谷への道がふさがれ、近くにはシャドービーストがうろついてる。夜になる前に安全な場所を探さなければ","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","シャドービーストがエクスチェンジ・ゾーンをうろついている。夜になる前に安全な場所を探さなければ。","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","ラットフォードから、仲間のドラックスと一緒にスカベンジャーを捕まえるように言われた。うまくいけばキャンプの焚火で寝れるかもしれない。","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","ドラックスはスカベンジャーを捕まえる手助けがいるみたいだ。もし力を証明できたら、シャドービーストに食われないで済むかもしれない。","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","狩人の一人、ジョリックが峡谷で行方不明になった。彼を見つければ、寝場所を確保できるかもしれない。","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","鉱山の廃墟の向かい側にある、古いディガーのキャンプで休んでいいと言われた。焚火で休むとしよう。","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","ドラックスの仲間ラットフォードを探して、ジョリックについて聞きださなければならない。安全な寝場所を確保する最後のチャンスかもしれない。","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","門番のオリーにビールを持っていけば情報を提供してくれるかもしれない。この場所ではアルコールは貴重だ。見つけたらここで生き残る方法を教えてくれるだろう。","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","エクスチェンジ・ゾーンのどこかにビールがあるはずだ…外の世界から届けられた物資をどこかに保管してるんじゃないか？","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","ビールが見つかった。エクスチェンジ・ゲートのオリーに持って行って情報を聞き出そう。","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","新しいキャンプメンバー、ジョリックが峡谷で行方不明になった。彼の仲間が彼を探しているようだ。俺がジョリックを見つけ出せば、寝場所を確保できるかもしれない。","","False","CH0_FindJorik_0","",""
