"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_818_Ratford.d:27","A kim ty niby jesteś, na Beliara?","お前は誰だ？","","","Ratford-CH0-None-Ratford-64245-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:30","Jestem Nyr...","私はナイ…","","","Ratford-CH0-None-Hero-87298","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:31","Nie o imię pytam. Nie wyglądasz mi na członka któregoś obozu. To co, jesteś kopaczem? A może dopiero co cię wrzucili?","名前じゃない。どこのキャンプから来た？ディガーか？それとも放り込まれただけか？ ","","","Ratford-CH0-None-Ratford-66784","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:35","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","新しく入ったんだ。あんたの仲間、ドラックスからあんたを手伝えば、寝場所をもらえると聞いた。","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Help","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:40","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","さっき放り込まれたんだ。安全な寝場所を探してる。","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Sleep_Place","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:48","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","新しく入ったんだ。あんたの仲間、ドラックスからあんたを手伝えば、寝場所をもらえると聞いた。","","","Ratford-CH0-None-Hero-42595","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:49","Czyżby? Nie potrzebuję pomocy, zwłaszcza od takiej pizdy jak ty, a już na pewno nie pozwolę obcemu spać przy naszym ognisku. Zabieraj się stąd. W podskokach.","そうなのか？お前みたいな新米に手伝ってもらう必要はないし、誰かもわからないやつと共に寝ることはできない。 うせるんだな。","","","Ratford-CH0-None-Ratford-50882","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:51","Jak chcesz.","わかった。","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_If_You_Think_So","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:52","Zamknij już kurwa ten ryj.","言葉遣いに気をつけろ。","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Fuck_You","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:53","Mogę cię jakoś przekonać?","なにをしたらいい？","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Can_I_Convince_You_Somehow","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:54","Ale przecież się z nim dogadałem.","あんたの仲間と約束したんだぞ。","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_But_I_Talked_To_Drax","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:62","Ale przecież się z nim dogadałem.","あんたの仲間と約束したんだぞ。","","","Ratford-CH0-None-Hero-30527","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:63","Taa, ale ze mną nie. Drax to łatwowierny idiota, który poczęstowałby orków piwem, bo pewnie im gorąco od tego słońca.","お前と奴の約束だろ。ドラックスは機嫌が良けりゃオークにだってビールをおごるからな。 ","","","Ratford-CH0-None-Ratford-72328","",""
