"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Lekkie spodnie Kopacza","","","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Spodnie Kopacza","","","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Strój Cienia","","","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Zbroja Cienia","","","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Lekka zbroja Strażnika","","","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Zbroja Strażnika","","","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Ciężka zbroja Strażnika","","","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Ozdobna szata","","","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Pancerz Gomeza","","","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Ciężki pancerz Magnata","","","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Strój Kopacza","","","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Lekki strój Szkodnika","","","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Strój Szkodnika","","","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Ciężki strój Szkodnika","","","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Lekka zbroja Najemnika","","","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Zbroja Najemnika","","","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Ciężka zbroja Najemnika","","","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Przepaska Nowicjusza","","","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Lekka zbroja Nowicjusza","","","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Zbroja Nowicjusza","","","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Lekka zbroja Świątynna","","","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Zbroja Świątynna","","","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Ciężka zbroja Świątynna","","","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","Szata Guru","","","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","Zdobiona szata Guru","","","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","Szata Ognia","","","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","Zdobiona szata Ognia","","","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","Szata Wody","","","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","Zdobiona szata Wody","","","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","Szata Mrocznych Sztuk","","","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","Zbroja z pancerzy pełzaczy","","","CRW_ARMOR_H.name","",""
"Content/Items/Armor.d:1096","Starożytna zbroja magiczna","Starożytna zbroja magiczna","","","ORE_ARMOR_M.name","",""
"Content/Items/Armor.d:1117","Tę starożytną zbroję wykonano z magicznej rudy.","Tę starożytną zbroję wykonano z magicznej rudy.","","","ORE_ARMOR_M.TEXT[0]","",""
"Content/Items/Armor.d:1129","Wzmocniona zbroja magiczna","Wzmocniona zbroja magiczna","","","ORE_ARMOR_H.name","",""
"Content/Items/Armor.d:1148","Kowal Stone jeszcze ją ulepszył!","Kowal Stone jeszcze ją ulepszył!","","","ORE_ARMOR_H.TEXT[0]","",""
"Content/Items/Armor.d:1166","Szata sędziego","Szata sędziego","","","LAW_ARMOR.name","",""
"Content/Items/Armor.d:1206","Pancerz Straży Królewskiej","Pancerz Straży Królewskiej","","","GRD_ARMOR_I.name","",""
"Content/Items/Armor.d:1242","Goła babka","Goła babka","","","BAB_ARMOR_NUDE.name","",""
"Content/Items/Armor.d:1264","Babka w bikini","Babka w bikini","","","BAB_ARMOR_BIKINI.name","",""
"Content/Items/Food.d:58","Mięso chrząszczy. Smaczne po ugotowaniu, na surowo już nie bardzo.","Mięso chrząszczy. Smaczne po ugotowaniu, na surowo już nie bardzo.","","","ItAt_Meatbug_01_description","",""
"Content/Items/Food.d:61","Mięso chrząszcza","Mięso chrząszcza","","","ItAt_Meatbug_01.name","",""
"Content/Items/Food.d:85","Te jabłka symbolizują monopol handlowy Starego Obozu.","Te jabłka symbolizują monopol handlowy Starego Obozu.","","","ItFo_Apple_description","",""
"Content/Items/Food.d:88","Jabłko","Jabłko","","","ItFoApple.name","",""
