"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Skrzynia","","","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Skrzynia","","","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Łóżko","","","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Drzwi","","","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Kowadło","","","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Wiadro wody","","","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Palenisko","","","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Kamień szlifierski","","","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Kołowrót","","","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Kocioł","","","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Patelnia","","","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Fajka wodna","","","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Drabina","","","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Przełącznik","","","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Bryłka rudy","","","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Miech","","","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Mumia","","","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Kolumna","","","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Rozdrabniacz","","","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Figurka","","","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Cel","","","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Kaplica Serc","","","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Tajemnicza kapliczka","","","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(brak)","","","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Magnat","","","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Strażnik","","","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Cień","","","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Mag Ognia","","","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Kopacz","","","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Mag Wody","","","TXT_GUILDS[6]","",""
"Content/Story/Text.d:66","Najemnik","Najemnik","","","TXT_GUILDS[7]","",""
"Content/Story/Text.d:67","Szkodnik","Szkodnik","","","TXT_GUILDS[8]","",""
"Content/Story/Text.d:68","Zbieracz","Zbieracz","","","TXT_GUILDS[9]","",""
"Content/Story/Text.d:68","Kret","Kret","","","TXT_GUILDS[10]","",""
"Content/Story/Text.d:70","Guru","Guru","","","TXT_GUILDS[11]","",""
"Content/Story/Text.d:71","Nowicjusz","Nowicjusz","","","TXT_GUILDS[12]","",""
"Content/Story/Text.d:71","Strażnik Świątynny","Strażnik Świątynny","","","TXT_GUILDS[13]","",""
"Content/Story/Text.d:73","Nekromanta","Nekromanta","","","TXT_GUILDS[14]","",""
"Content/Story/Text.d:75","Babka","Babka","","","TXT_GUILDS[15]","",""
"Content/Story/Text.d:75","Jaszczur","Jaszczur","","","TXT_GUILDS[17]","",""
"Content/Story/Text.d:77","Śniący","Śniący","","","TXT_GUILDS[18]","",""
"Content/Story/Text.d:79","Goblin","Goblin","","","TXT_GUILDS[19]","",""
"Content/Story/Text.d:80","Troll","Troll","","","TXT_GUILDS[20]","",""
"Content/Story/Text.d:80","Zębacz","Zębacz","","","TXT_GUILDS[21]","",""
"Content/Story/Text.d:81","Pełzacz","Pełzacz","","","TXT_GUILDS[22]","",""
"Content/Story/Text.d:82","Chrząszcz","Chrząszcz","","","TXT_GUILDS[23]","",""
"Content/Story/Text.d:83","Ścierwojad","Ścierwojad","","","TXT_GUILDS[24]","",""
"Content/Story/Text.d:85","Demon","Demon","","","TXT_GUILDS[25]","",""
"Content/Story/Text.d:86","Wilk","Wilk","","","TXT_GUILDS[26]","",""
"Content/Story/Text.d:86","Cieniostwór","Cieniostwór","","","TXT_GUILDS[27]","",""
"Content/Story/Text.d:87","Krwiopijca","Krwiopijca","","","TXT_GUILDS[28]","",""
"Content/Story/Text.d:88","Wąż błotny","Wąż błotny","","","TXT_GUILDS[29]","",""
"Content/Story/Text.d:90","Zombi","Zombi","","","TXT_GUILDS[30]","",""
"Content/Story/Text.d:91","Ork-Zombi","Ork-Zombi","","","TXT_GUILDS[31]","",""
"Content/Story/Text.d:92","Szkielet","Szkielet","","","TXT_GUILDS[32]","",""
"Content/Story/Text.d:92","Orkowy pies","Orkowy pies","","","TXT_GUILDS[33]","",""
"Content/Story/Text.d:94","Kretoszczur","Kretoszczur","","","TXT_GUILDS[34]","",""
"Content/Story/Text.d:95","Golem","Golem","","","TXT_GUILDS[35]","",""
"Content/Story/Text.d:96","Topielec","Topielec","","","TXT_GUILDS[36]","",""
"Content/Story/Text.d:97","Ork-Szaman","Ork-Szaman","","","TXT_GUILDS[38]","",""
"Content/Story/Text.d:98","Ork-Wojownik","Ork-Wojownik","","","TXT_GUILDS[39]","",""
"Content/Story/Text.d:99","Ork-Zwiadowca","Ork-Zwiadowca","","","TXT_GUILDS[40]","",""
"Content/Story/Text.d:103","Ork-Niewolnik","Ork-Niewolnik","","","TXT_GUILDS[41]","",""
"Content/Story/Text.d:137","Światło","Światło","","","TXT_SPELLS[0]","",""
"Content/Story/Text.d:137","Kula ognia","Kula ognia","","","TXT_SPELLS[1]","",""
"Content/Story/Text.d:140","Strach","Strach","","","TXT_SPELLS[3]","",""
"Content/Story/Text.d:140","Uzdrowienie","Uzdrowienie","","","TXT_SPELLS[4]","",""
"Content/Story/Text.d:142","Przyzwanie demona","Przyzwanie demona","","","TXT_SPELLS[6]","",""
"Content/Story/Text.d:143","Przyzwanie szkieletów","Przyzwanie szkieletów","","","TXT_SPELLS[7]","",""
"Content/Story/Text.d:145","Uderzenie wiatru","Uderzenie wiatru","","","TXT_SPELLS[9]","",""
"Content/Story/Text.d:146","Telekineza","Telekineza","","","TXT_SPELLS[10]","",""
"Content/Story/Text.d:148","Urok","Urok","","","TXT_SPELLS[11]","",""
"Content/Story/Text.d:149","Sen","Sen","","","TXT_SPELLS[12]","",""
"Content/Story/Text.d:149","Pirokineza","Pirokineza","","","TXT_SPELLS[13]","",""
"Content/Story/Text.d:150","Pierścień śmierci","Pierścień śmierci","","","TXT_SPELLS[14]","",""
"Content/Story/Text.d:152","Kontrola","Kontrola","","","TXT_SPELLS[15]","",""
"Content/Story/Text.d:152","Śmierć ożywieńcom","Śmierć ożywieńcom","","","TXT_SPELLS[16]","",""
"Content/Story/Text.d:154","Ognisty pocisk","Ognisty pocisk","","","TXT_SPELLS[17]","",""
"Content/Story/Text.d:155","Ognista burza","Ognista burza","","","TXT_SPELLS[18]","",""
"Content/Story/Text.d:156","Deszcz ognia","Deszcz ognia","","","TXT_SPELLS[19]","",""
"Content/Story/Text.d:157","Teleport, Magowie Ognia","Teleport, Magowie Ognia","","","TXT_SPELLS[21]","",""
"Content/Story/Text.d:158","Teleport, Magowie Wody","Teleport, Magowie Wody","","","TXT_SPELLS[22]","",""
"Content/Story/Text.d:159","Teleport, Nekromanta","Teleport, Nekromanta","","","TXT_SPELLS[23]","",""
"Content/Story/Text.d:161","Teleport, Orkowie","Teleport, Orkowie","","","TXT_SPELLS[24]","",""
"Content/Story/Text.d:162","Teleport, Bractwo","Teleport, Bractwo","","","TXT_SPELLS[25]","",""
"Content/Story/Text.d:162","Przemiana w krwiopijcę","Przemiana w krwiopijcę","","","TXT_SPELLS[26]","",""
"Content/Story/Text.d:164","Przemiana w pełzacza","Przemiana w pełzacza","","","TXT_SPELLS[28]","",""
"Content/Story/Text.d:165","Przemiana w topielca","Przemiana w topielca","","","TXT_SPELLS[29]","",""
"Content/Story/Text.d:166","Przemiana w chrząszcza","Przemiana w chrząszcza","","","TXT_SPELLS[30]","",""
"Content/Story/Text.d:167","Przemiana w kretoszczura","Przemiana w kretoszczura","","","TXT_SPELLS[31]","",""
"Content/Story/Text.d:168","Przemiana w orkowego psa","Przemiana w orkowego psa","","","TXT_SPELLS[32]","",""
"Content/Story/Text.d:170","Przemiana w ścierwojada","Przemiana w ścierwojada","","","TXT_SPELLS[34]","",""
"Content/Story/Text.d:172","Przemiana w cieniostwora","Przemiana w cieniostwora","","","TXT_SPELLS[36]","",""
"Content/Story/Text.d:174","Przemiana w zębacza","Przemiana w zębacza","","","TXT_SPELLS[37]","",""
"Content/Story/Text.d:175","Przemiana w jaszczura","Przemiana w jaszczura","","","TXT_SPELLS[38]","",""
"Content/Story/Text.d:176","Przemiana w wilka","Przemiana w wilka","","","TXT_SPELLS[39]","",""
"Content/Story/Text.d:177","Grom","Grom","","","TXT_SPELLS[40]","",""
"Content/Story/Text.d:178","Sopel lodu","Sopel lodu","","","TXT_SPELLS[41]","",""
"Content/Story/Text.d:179","Piorun kulisty","Piorun kulisty","","","TXT_SPELLS[42]","",""
"Content/Story/Text.d:180","Bryła lodu","Bryła lodu","","","TXT_SPELLS[43]","",""
"Content/Story/Text.d:181","Lodowa fala","Lodowa fala","","","TXT_SPELLS[44]","",""
"Content/Story/Text.d:182","Przyzwanie golema","Przyzwanie golema","","","TXT_SPELLS[45]","",""
"Content/Story/Text.d:183","Armia Ciemności","Armia Ciemności","","","TXT_SPELLS[46]","",""
"Content/Story/Text.d:184","Uderzenie burzy","Uderzenie burzy","","","TXT_SPELLS[47]","",""
"Content/Story/Text.d:186","Tchnienie Śmierci","Tchnienie Śmierci","","","TXT_SPELLS[49]","",""
"Content/Story/Text.d:187","Zmniejszenie potwora","Zmniejszenie potwora","","","TXT_SPELLS[50]","",""
"Content/Story/Text.d:190","Szał","Szał","","","TXT_SPELLS[53]","",""
"Content/Story/Text.d:191","Gniew Uriziela","Gniew Uriziela","","","TXT_SPELLS[54]","",""
"Content/Story/Text.d:192","New2","New2","","","TXT_SPELLS[55]","",""
"Content/Story/Text.d:193","New3","New3","","","TXT_SPELLS[56]","",""
"Content/Story/Text.d:194","New4","New4","","","TXT_SPELLS[57]","",""
"Content/Story/Text.d:197","New5","New5","","","TXT_SPELLS[58]","",""
"Content/Story/Text.d:273","Broń jednoręczna","Broń jednoręczna","","","TXT_TALENTS[1]","",""
"Content/Story/Text.d:275","Broń dwuręczna","Broń dwuręczna","","","TXT_TALENTS[2]","",""
"Content/Story/Text.d:276","Łuk","Łuk","","","TXT_TALENTS[3]","",""
"Content/Story/Text.d:277","Kusza","Kusza","","","TXT_TALENTS[4]","",""
"Content/Story/Text.d:277","Otwieranie zamków","Otwieranie zamków","","","TXT_TALENTS[5]","",""
"Content/Story/Text.d:279","Kradzież","Kradzież","","","TXT_TALENTS[6]","",""
"Content/Story/Text.d:280","Magia","Magia","","","TXT_TALENTS[7]","",""
"Content/Story/Text.d:280","Skradanie się","Skradanie się","","","TXT_TALENTS[8]","",""
"Content/Story/Text.d:283","Regeneracja","Regeneracja","","","TXT_TALENTS[9]","",""
"Content/Story/Text.d:283","Mistrz ognia","Mistrz ognia","","","TXT_TALENTS[10]","",""
"Content/Story/Text.d:283","Akrobatyka","Akrobatyka","","","TXT_TALENTS[11]","",""
"Content/Story/Text.d:306","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[1]","",""
"Content/Story/Text.d:306","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[2]","",""
"Content/Story/Text.d:307","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[3]","",""
"Content/Story/Text.d:308","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[4]","",""
"Content/Story/Text.d:309","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[5]","",""
"Content/Story/Text.d:310","brak|adept|mistrz","brak|adept|mistrz","","","TXT_TALENTS_SKILLS[6]","",""
