"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Pantaloni Usori ai Minerului","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Pantaloni de Miner","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Pantaloni de Umbra","","False","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Armura de Umbra","","False","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Armura Usoara de Garda","","False","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Armura de Garda","","False","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Armura Grea de Garda","","False","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Roba Statului","","False","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Armura lui Gomez","","False","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Armura Grea a Baronilor de Cristal","","False","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Costumul Minerului","","False","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Costumul Usor al Banditilor","","False","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Costumul Banditilor","","False","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Costumul Greu al Banditilor","","False","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Armura Usoara a Mercenarilor","","False","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Armura Mercenarilor","","False","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Armura Grea a Mercenarilor","","False","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Pantalonii Novicilor","","False","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Armura Usoara a Novicilor","","False","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Armura de Novice","","False","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Armura Usoara de Templier","","False","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Armura de Templier","","False","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Armura Grea de Templier","","False","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","Roba de Guru","","False","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","Roba Grea de Guru","","False","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","Roba Magicienilor de Foc","","False","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","Roba Inalta a Magicienilor de Foc","","False","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","Roba Magicienilor Apei","","False","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","Roba Inalta a Magicienilor Apei","","False","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","Roba Artelor Negre","","False","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","Armura din Placi de Crawler","","False","CRW_ARMOR_H.name","",""
"Content/Items/Armor.d:1096","Starożytna zbroja magiczna","Armura de Straveche de Cristal","","False","ORE_ARMOR_M.name","",""
"Content/Items/Armor.d:1117","Tę starożytną zbroję wykonano z magicznej rudy.","","","","ORE_ARMOR_M.TEXT[0]","",""
"Content/Items/Armor.d:1129","Wzmocniona zbroja magiczna","Armura Straveche de Cristal Imbunatatita","","False","ORE_ARMOR_H.name","",""
"Content/Items/Armor.d:1148","Kowal Stone jeszcze ją ulepszył!","","","","ORE_ARMOR_H.TEXT[0]","",""
"Content/Items/Armor.d:1166","Szata sędziego","Roba Judecatorului","","False","LAW_ARMOR.name","",""
"Content/Items/Armor.d:1206","Pancerz Straży Królewskiej","Armura Regala de Garda","","False","GRD_ARMOR_I.name","",""
"Content/Items/Armor.d:1242","Goła babka","Femeie Nud","","False","BAB_ARMOR_NUDE.name","",""
"Content/Items/Armor.d:1264","Babka w bikini","Bikini de Femeie","","False","BAB_ARMOR_BIKINI.name","",""
"Content/Items/Food.d:58","Mięso chrząszczy. Smaczne po ugotowaniu, na surowo już nie bardzo.","Carne de gândac. Gustoasă când e gătită, nu atât de bună crudă.","","","ItAt_Meatbug_01_description","",""
"Content/Items/Food.d:61","Mięso chrząszcza","Carne de Gandac","","False","ItAt_Meatbug_01.name","",""
"Content/Items/Food.d:85","Te jabłka symbolizują monopol handlowy Starego Obozu.","Aceste mere simbolizează monopolul comercial al Taberei Vechi.","","","ItFo_Apple_description","",""
"Content/Items/Food.d:88","Jabłko","Mar","","False","ItFoApple.name","",""
"Content/Items/Food.d:113","Winogrona","Struguri","","False","ItFo_wineberrys_01.name","",""
"Content/Items/Food.d:135","Podstawa żywienia w Kolonii – stała podaż sprawia, że brzuchy są pełne, co oddala ryzyko buntu.","Elementul de bază al coloniei, aprovizionarea sa constantă ține burta plină și scandalul la distanță.","","","ItFo_Loaf_description","",""
"Content/Items/Food.d:136","Podstawa żywienia w Kolonii – stała podaż sprawia,","Elementul de bază al coloniei, aprovizionarea sa","","False","ItFo_Loaf_description_1","",""
"Content/Items/Food.d:137","że brzuchy są pełne, co oddala ryzyko buntu.","constantă ține burta plină și scandalul la distanță.","","False","ItFo_Loaf_description_2","",""
"Content/Items/Food.d:142","Chleb","Paine","","False","ItFoLoaf.name","",""
"Content/Items/Food.d:165","Smażone mięso","Carne prăjită","","False","ItFo_Mutton_01_name","",""
"Content/Items/Food.d:166","Mięso liźnięte ogniem napełnia brzuch i ogrzewa duszę.","Sărutată de foc, umple stomacul și încălzește sufletul.","","","ItFo_Mutton_01_description","",""
"Content/Items/Food.d:192","Surowe mięso","Carne crudă","","","ItFo_Muttonraw","",""
"Content/Items/Food.d:192","Świeża zdobycz czekająca na objęcia płomieni.","Vânat proaspăt, așteaptă îmbrățișarea focului.","","","ItFo_Muttonraw_description","",""
"Content/Items/Food.d:216","Peklowany i pyszny mięsny przysmak.","Deliciu curat, un răsfăț de carne.","","","ItFo_Mutton_02_description","",""
"Content/Items/Food.d:221","Szynka","Sunca","","False","ItFo_mutton_01.name","",""
"Content/Items/Food.d:242","Myrtański ser, zarezerwowany dla elit Starego Obozu. Jego ostry aromat unosi się w całym zamku.","Brânza Myrtaniană, rezervată elitelor din Tabăra Veche. Aroma sa înțepătoare se simte în tot castelul.","","","ItFo_Cheese_description","",""
"Content/Items/Food.d:243","Myrtański ser, zarezerwowany dla elit Starego Obozu.","Brânza Myrtaniană, rezervată elitelor din Tabăra Veche.","","False","ItFo_Cheese_description_1","",""
"Content/Items/Food.d:244","Jego ostry aromat unosi się w całym zamku.","Aroma sa înțepătoare se simte în tot castelul.","","False","ItFo_Cheese_description_2","",""
"Content/Items/Food.d:250","Ser","Branza","","False","ItFoCheese.name","",""
"Content/Items/Food.d:270","Podstawa niezależności Nowego Obozu, starannie uprawiana na strzeżonych polach. Nadwyżki napędzają handel i kształtują relacje z innymi obozami.","Piatra de temelie a independenței Taberei Noi, cultivat cu grijă în orezăriile păzite cu strictețe. Surplusul acestuia susține comerțul și modelează relațiile cu celelalte tabere.","","","ItFo_Rice_description","",""
"Content/Items/Food.d:271","Podstawa niezależności Nowego Obozu, starannie uprawiana na strzeżonych","Piatra de temelie a independenței Taberei Noi, cultivat cu grijă în orezăriile păzite cu","","False","ItFo_Rice_description_1","",""
"Content/Items/Food.d:272","polach. Nadwyżki napędzają handel i kształtują relacje z innymi obozami.","strictețe. Surplusul acestuia susține comerțul și modelează relațiile cu celelalte tabere.","","False","ItFo_Rice_description_2","",""
"Content/Items/Food.d:279","Ryż","Orez","","False","ItFoRice.name","",""
"Content/Items/Food.d:303","Zupa korzenna","Supa de Radacini","","False","ItFoSoup.name","",""
"Content/Items/Food.d:327","Potrawka z chrząszcza","Supa de Gandac","","False","ItFoMeatbugragout.name","",""
"Content/Items/Food.d:350","Zupa z pełzacza","Supa de Minecrawleri","","False","ItFoCrawlersoup.name","",""
"Content/Items/Food.d:377","Choć czysta woda jest powszechnie dostępna, kontrola nad jej źródłami jest kluczowa do zachowania władzy w Kolonii.","Deși este disponibilă pe scară largă, controlul asupra surselor de apă curată este cheia puterii în colonie.","","","ItFo_Potion_Water_01_description","",""
"Content/Items/Food.d:378","Choć czysta woda jest powszechnie dostępna, kontrola nad jej","Deși este disponibilă pe scară largă, controlul asupra","","False","ItFo_Potion_Water_01_description_1","",""
"Content/Items/Food.d:379","źródłami jest kluczowa do zachowania władzy w Kolonii.","surselor de apă curată este cheia puterii în colonie.","","False","ItFo_Potion_Water_01_description_2","",""
"Content/Items/Food.d:387","Woda","Apa","","False","ItFo_Potion_Water_01.name","",""
"Content/Items/Food.d:407","Importowane myrtańskie piwo to luksus Starego Obozu napędzający negocjacje i handel w kolonii karnej.","Bere artizanală Myrtaniană importată, un lux al Taberei Vechi care unge roțile negocierilor și comerțului în colonia ocnașilor.","","","ItFo_Potion_Beer_description","",""
"Content/Items/Food.d:409","Importowane myrtańskie piwo to luksus Starego Obozu","Bere artizanală Myrtaniană importată, un lux al Taberei Vechi","","False","ItFo_Potion_Beer_description_1","",""
"Content/Items/Food.d:410","napędzający negocjacje i handel w kolonii karnej.","care unge roțile negocierilor și comerțului în colonia ocnașilor.","","False","ItFo_Potion_Beer_description_2","",""
"Content/Items/Food.d:417","Piwo","Bere","","False","ItFoBeer.name","",""
"Content/Items/Food.d:436","Symbol powiązań Starego Obozu ze światem zewnętrznym – rzadki luksus spotykany przy stołach baronów rudy.","Un simbol al legăturilor exterioare ale Taberei Vechi, un lux rar găsit la mesele Baronilor de Minereu.","","","ItFo_Potion_Wine_description","",""
"Content/Items/Food.d:438","Symbol powiązań Starego Obozu ze światem zewnętrznym –","Un simbol al legăturilor exterioare ale Taberei Vechi,","","False","ItFo_Potion_Wine_description_1","",""
"Content/Items/Food.d:439","rzadki luksus spotykany przy stołach baronów rudy.","un lux rar găsit la mesele Baronilor de Minereu.","","False","ItFo_Potion_Wine_description_2","",""
"Content/Items/Food.d:448","Wino","Vin","","False","ItFoWine.name","",""
"Content/Items/Food.d:465","Duma Nowego Obozu, destylowana z poletek ryżowych. Ten mocny alkohol służy za walutę i zacieśnia społeczne więzi, symbolizując zaradność obozu.","Mândria Taberei Noi, distilat din orez. Acest spirt puternic servește ca monedă și lubrifiant social, întruchipând ingeniozitatea în utilizarea resurselor taberei","","","ItFo_Potion_Booze_description","",""
"Content/Items/Food.d:467","Duma Nowego Obozu, destylowana z poletek ryżowych. Ten mocny alkohol","Mândria Taberei Noi, distilat din orez. Acest spirt puternic servește ca monedă și","","False","ItFo_Potion_Booze_description_1","",""
"Content/Items/Food.d:468","służy za walutę i zacieśnia społeczne więzi, symbolizując zaradność obozu.","lubrifiant social, întruchipând ingeniozitatea în utilizarea resurselor taberei","","False","ItFo_Potion_Booze_description_2","",""
"Content/Items/Food.d:477","Ryżówka","Schnapps de Orez","","False","ItFoBooze.name","",""
"Content/Items/Food.d:498","Dzikie jagody występujące w mniej ujarzmionych regionach Kolonii. Ich zbieranie często wiąże się z ryzykiem dla życia i zdrowia.","Fructe sălbatice găsite în zonele mai puțin îmblânzite ale coloniei. A le aduna adesea înseamnă a-ți risca viața și mâinile.","","","ItFo_Plants_Berrys_01_description","",""
"Content/Items/Food.d:500","Dzikie jagody występujące w mniej ujarzmionych regionach Kolonii.","Fructe sălbatice găsite în zonele mai puțin îmblânzite ale","","False","ItFo_Plants_Berrys_01_description_1","",""
"Content/Items/Food.d:502","Ich zbieranie często wiąże się z ryzykiem dla życia i zdrowia.","coloniei. A le aduna adesea înseamnă a-ți risca viața și mâinile.","","False","ItFo_Plants_Berrys_01_description_2","",""
"Content/Items/Food.d:510","Jagody","Mure","","False","ItFo_Plants_Berrys_01.name","",""
"Content/Items/Food.d:537","Ogniocierń","Spinul focului","","False","ItFo_Plants_Flameberry_01.name","",""
"Content/Items/Food.d:554","Roślina powszechnie występująca w dolinie, kluczowa dla produktywności Kolonii. Jej regenerujące działanie napędza więzienną siłę roboczą.","Deși este o apariție frecventă în vale, este crucială pentru productivitatea coloniei. Efectele sale de recuperare rapidă mențin forța de muncă a prizonierilor.","","","ItFo_Plants_Seraphis_01_description","",""
"Content/Items/Food.d:556","Roślina powszechnie występująca w dolinie, kluczowa dla produktywności","Deși este o apariție frecventă în vale, este crucială pentru productivitate","","False","ItFo_Plants_Seraphis_01_description_1","",""
"Content/Items/Food.d:559","Kolonii. Jej regenerujące działanie napędza więzienną siłę roboczą.","coloniei. Efectele sale de recuperare rapidă mențin forța de muncă a prizonierilor.","","False","ItFo_Plants_Seraphis_01_description_2","",""
"Content/Items/Food.d:567","Serafis","Seraphis","","False","ItFo_Plants_Seraphis_01.name","",""
"Content/Items/Food.d:596","Velais","Velayis","","False","ItFo_Plants_Velayis_01.name","",""
"Content/Items/Food.d:622","Górski mech","Muschi de Munte","","False","ItFo_Plants_mountainmoos_01.name","",""
"Content/Items/Food.d:648","Mech nagrobny","Muschi de Mormant","","False","ItFo_Plants_mountainmoos_02.name","",""
"Content/Items/Food.d:674","Psianka","Solanaceae","","False","ItFo_Plants_Nightshadow_01.name","",""
"Content/Items/Food.d:700","Kocianka","Lunanaceae","","False","ItFo_Plants_Nightshadow_02.name","",""
"Content/Items/Food.d:726","Orkowe ziele","Frunza Orcului","","False","ItFo_Plants_OrcHerb_01.name","",""
"Content/Items/Food.d:752","Liść dębu","Frunza de Stejar","","False","ItFo_Plants_OrcHerb_02.name","",""
"Content/Items/Food.d:780","Piekielnik","Ciuperca","","False","ItFo_Plants_mushroom_01.name","",""
"Content/Items/Food.d:806","Gorzki chleb","Painea Sclavului","","False","ItFo_Plants_mushroom_02.name","",""
"Content/Items/Food.d:835","Zioła uzdrawiające","Ierburi Vindecatoare","","False","ItFo_Plants_Herb_01.name","",""
"Content/Items/Food.d:862","Zioła uzdrawiające","Ierburi Vindecatoare","","False","ItFo_Plants_Herb_02.name","",""
"Content/Items/Food.d:888","Zioła uzdrawiające","Ierburi Vindecatoare","","False","ItFo_Plants_Herb_03.name","",""
"Content/Items/Food.d:915","Nasienie czerwonego buka","Samanta de Fag","","False","ItFo_Plants_Bloodwood_01.name","",""
"Content/Items/Food.d:941","Nasienie wysokiego dębu","Samanta de Stejar","","False","ItFo_Plants_Towerwood_01.name","",""
"Content/Items/Food.d:968","Krucze ziele","Iarba Corbului","","False","ItFo_Plants_RavenHerb_01.name","",""
"Content/Items/Food.d:994","Czarne ziele","Ierburi Intunecate","","False","ItFo_Plants_RavenHerb_02.name","",""
"Content/Items/Food.d:1020","Twardzień","Radacina Stancii","","False","ItFo_Plants_Stoneroot_01.name","",""
"Content/Items/Food.d:1046","Dragrot","Radacina Dragonului","","False","ItFo_Plants_Stoneroot_02.name","",""
"Content/Items/Food.d:1074","Trolest","Umbra Troll-ului","","False","ItFo_Plants_Trollberrys_01.name","",""
"Content/Items/Melee_weapons.d:10","Towarzysz Kopacza. Ta prymitywna, lecz skuteczna broń jest odzwierciedleniem brutalnej prostoty życia w Kolonii.","Companionul minerului. Eficacitatea sa brută întruchipează simplitatea brutală a vieții din colonie","","","ItMw_1H_Mace_Club_01_description","",""
"Content/Items/Melee_weapons.d:11","Towarzysz Kopacza. Ta prymitywna, lecz skuteczna broń","Companionul minerului. Eficacitatea sa brută","","False","ItMw_1H_Mace_Club_01_description_1","",""
"Content/Items/Melee_weapons.d:12","jest odzwierciedleniem brutalnej prostoty życia w Kolonii.","întruchipează simplitatea brutală a vieții din colonie","","False","ItMw_1H_Mace_Club_01_description_2","",""
"Content/Items/Melee_weapons.d:15","Pałka","Bata","","False","ItMw_1H_Club_01.name","",""
"Content/Items/Melee_weapons.d:44","Pogrzebacz","Poker","","False","ItMw_1H_Poker_01.name","",""
"Content/Items/Melee_weapons.d:71","Sierp","Secera","","False","ItMw_1H_Sickle_01.name","",""
"Content/Items/Melee_weapons.d:97","Kilof","Târnăcop","","","ItMw_2H_Axe_Pickaxe","",""
"Content/Items/Melee_weapons.d:98","Kilof to podstawowe narzędzie w Kolonii. Można nim wydobywać magiczną rudę, która jest główną walutą wykorzystywaną przez obozy. W doświadczonych rękach kilof może również posłużyć jako broń.","Cel mai important instrument al coloniei, acest târnăcop extrage minereul magic care dictează politica taberelor. În mâini pricepute, este și o armă decentă.","","","ItMw_2H_Axe_Pickaxe_description","",""
"Content/Items/Melee_weapons.d:99","Kilof to podstawowe narzędzie w Kolonii. Można nim wydobywać","Cel mai important instrument al coloniei, acest târnăcop","","False","ItMw_2H_Axe_Pickaxe_description_1","",""
"Content/Items/Melee_weapons.d:100","magiczną rudę, która jest główną walutą wykorzystywaną przez obozy.","extrage minereul magic care dictează politica taberelor.","","False","ItMw_2H_Axe_Pickaxe_description_2","",""
"Content/Items/Melee_weapons.d:101","W doświadczonych rękach kilof może również posłużyć jako broń.","În mâini pricepute, este și o armă decentă.","","False","ItMw_2H_Axe_Pickaxe_description_3","",""
"Content/Items/Melee_weapons.d:135","Młot kowalski","Ciocanul Fierarurlui","","False","ItMw_1H_Sledgehammer_01.name","",""
"Content/Items/Melee_weapons.d:163","Pałka","Bata","","False","ItMw_1H_Mace_Light_01.name","",""
"Content/Items/Melee_weapons.d:189","Siekiera","Secure","","False","ItMw_1H_Hatchet_01.name","",""
"Content/Items/Melee_weapons.d:216","Zardzewiały miecz","Sabie Ruginita","","False","ItMw_1H_Sword_Old_01.name","",""
"Content/Items/Melee_weapons.d:243","Kij z gwoździem","Bata cu Cuie","","False","ItMw_1H_Nailmace_01.name","",""
"Content/Items/Melee_weapons.d:272","Krótki miecz","Sabie Scurta","","False","ItMw_1H_Sword_Short_01.name","",""
"Content/Items/Melee_weapons.d:295","Prosty krótki miecz ze srebrną głowicą. Jego niewielki rozmiar sprawia, że świetnie sprawdza się w szybkiej walce na krótki dystans.","O simplă sabie scurtă cu un burduşi argintiu. Fiind compactă , este ideală pentru lupte rapide corp la corp.","","","ItMw_1H_Sword_Short_02_description","",""
"Content/Items/Melee_weapons.d:296","Prosty krótki miecz ze srebrną głowicą. Jego niewielki rozmiar sprawia,","O simplă sabie scurtă cu un burduşi argintiu. Fiind","","False","ItMw_1H_Sword_Short_02_description_1","",""
"Content/Items/Melee_weapons.d:297","że świetnie sprawdza się w szybkiej walce na krótki dystans.","compactă, este ideală pentru lupte rapide corp la corp.","","False","ItMw_1H_Sword_Short_02_description_2","",""
"Content/Items/Melee_weapons.d:303","Chłopski miecz","Apararea Fermierului","","False","ItMw_1H_Sword_Short_02.name","",""
"Content/Items/Melee_weapons.d:333","Język topielca","Muscatura Lurkerului","","False","ItMw_1H_Sword_Short_03.name","",""
"Content/Items/Melee_weapons.d:360","Kłujący cierń","Ghimpele Ranilor","","False","ItMw_1H_Sword_Short_04.name","",""
"Content/Items/Melee_weapons.d:387","Ząb Kopacza","Disciplina Minerului","","False","ItMw_1H_Sword_Short_05.name","",""
"Content/Items/Melee_weapons.d:416","Wyszczerbiony topór","Topor Vechi","","False","ItMw_1H_Axe_Old_01.name","",""
"Content/Items/Melee_weapons.d:445","Siekacz","Taietorul","","False","ItMw_1H_Scythe_01.name","",""
"Content/Items/Melee_weapons.d:471","Kostur","Sulita de Lupta","","False","ItMw_2H_Staff_01.name","",""
"Content/Items/Melee_weapons.d:498","Laska sędziowska","Sulita Judecatii","","False","ItMw_2H_Staff_02.name","",""
"Content/Items/Melee_weapons.d:524","Laska kapłańska","Toiagul Preotului","","False","ItMw_2H_Staff_03.name","",""
"Content/Items/Melee_weapons.d:553","Lekki miecz Strażnika","Sabia Usoara a Garzii","","False","ItMw_1H_LightGuardsSword_03.name","",""
"Content/Items/Melee_weapons.d:583","Maczuga","Toiag","","False","ItMw_1H_Mace_01.name","",""
"Content/Items/Melee_weapons.d:609","Ćwiekowana maczuga","Maciuca cu Ace","","False","ItMw_1H_Mace_02.name","",""
"Content/Items/Melee_weapons.d:631","Przerażająca maczuga z metalową głowicą obitą kolcami. Stworzona tak, by imitować śmiercionośne użądlenie krwiopijców żyjących na terenie Kolonii. Uwielbiana przez Szkodników. Jej charakterystyczny wygląd wzbudza strach.","Un buzdugan brutal cu un cap de metal țepos, creat pentru a imita înțepătura mortală a muștelor de sânge din colonie. Preferat de bandiți, designul său distinctiv provoacă frică.","","","ItMw_1H_Mace_03_description","",""
"Content/Items/Melee_weapons.d:632","Przerażająca maczuga z metalową głowicą obitą kolcami. Stworzona tak,","Un buzdugan brutal cu un cap de metal țepos, creat pentru a","","False","ItMw_1H_Mace_03_description_1","",""
"Content/Items/Melee_weapons.d:633","by imitować śmiercionośne użądlenie krwiopijców żyjących na terenie Kolonii.","imita înțepătura mortală a muștelor de sânge din colonie.","","False","ItMw_1H_Mace_03_description_2","",""
"Content/Items/Melee_weapons.d:635","Uwielbiana przez Szkodników. Jej charakterystyczny wygląd wzbudza strach.","Preferat de bandiți, designul său distinctiv provoacă frică.","","False","ItMw_1H_Mace_03_description_3","",""
"Content/Items/Melee_weapons.d:643","Żądło krwiopijcy","Acul Viespei de Sange","","False","ItMw_1H_Mace_03.name","",""
"Content/Items/Melee_weapons.d:672","Stalowy język","Limba de Otel","","False","ItMw_1H_Mace_04.name","",""
"Content/Items/Melee_weapons.d:693","Zwykły stalowy miecz z nieco zakrzywioną rękojeścią. Standardowe wyposażenie niższych rangą Strażników ze Starego Obozu.","O sabie de oțel simplă cu mâner ușor curbat. Echipament standard pentru gardienii de rang inferior din Tabăra Veche.","","","ItMw_1H_Sword_01_description","",""
"Content/Items/Melee_weapons.d:695","Zwykły stalowy miecz z nieco zakrzywioną rękojeścią.","O sabie de oțel simplă cu mâner ușor curbat. Echipament","","False","ItMw_1H_Sword_01_description_1","",""
"Content/Items/Melee_weapons.d:696","Standardowe wyposażenie niższych rangą Strażników ze Starego Obozu.","standard pentru gardienii de rang inferior din Tabăra Veche.","","False","ItMw_1H_Sword_01_description_2","",""
"Content/Items/Melee_weapons.d:704","Niewykończony miecz","Sabie Bruta","","False","ItMw_1H_Sword_01.name","",""
"Content/Items/Melee_weapons.d:735","Miecz sędziego","Sabia Judecatii","","False","ItMw_1H_Sword_02.name","",""
"Content/Items/Melee_weapons.d:762","Miecz Strażnika","Sabia Garzilor","","False","ItMw_1H_Sword_03.name","",""
"Content/Items/Melee_weapons.d:779","Dobrej jakości miecz z ozdobnym wzorem i ząbkowanym jelcem. Ze względu na swoją wszechstronność jest preferowany przez doświadczonych wojowników.","O sabie de calitate, cu o lamă modelată și o protecție încrucișată. Preferată de luptători experimentați pentru versatilitatea sa.","","","ItMw_1H_Sword_04_description","",""
"Content/Items/Melee_weapons.d:781","Dobrej jakości miecz z ozdobnym wzorem i ząbkowanym jelcem. Ze względu na","O sabie de calitate, cu o lamă modelată și o protecție încrucișată.","","False","ItMw_1H_Sword_04_description_1","",""
"Content/Items/Melee_weapons.d:784","swoją wszechstronność jest preferowany przez doświadczonych wojowników.","Preferată de luptători experimentați pentru versatilitatea sa.","","False","ItMw_1H_Sword_04_description_2","",""
"Content/Items/Melee_weapons.d:793","Miecz bojowy","Sabia Luptei","","False","ItMw_1H_Sword_04.name","",""
"Content/Items/Melee_weapons.d:821","Miecz wojenny","Sabie de Razboi","","False","ItMw_1H_Sword_05.name","",""
"Content/Items/Melee_weapons.d:852","Morgensztern","Steaua Diminetii","","False","ItMw_1H_Mace_War_01.name","",""
"Content/Items/Melee_weapons.d:879","Żelazna maczuga","Sceptru de Otel","","False","ItMw_1H_Mace_War_02.name","",""
"Content/Items/Melee_weapons.d:906","Łomotacz","Sfaramatorul Pietrelor","","False","ItMw_1H_Mace_War_03.name","",""
"Content/Items/Melee_weapons.d:933","Łamacz serc","Taietorul Inimilor","","False","ItMw_1H_Mace_War_04.name","",""
"Content/Items/Melee_weapons.d:962","Długi miecz","Sabie Lunga","","False","ItMw_1H_Sword_Long_01.name","",""
"Content/Items/Melee_weapons.d:989","Miecz Strachu","Sabia Fricii","","False","ItMw_1H_Sword_Long_02.name","",""
"Content/Items/Melee_weapons.d:1015","Miecz Nienawiści","Sabia Urii","","False","ItMw_1H_Sword_Long_03.name","",""
"Content/Items/Melee_weapons.d:1042","Miecz Zwycięstwa","Sabia Victoriei","","False","ItMw_1H_Sword_Long_04.name","",""
"Content/Items/Melee_weapons.d:1070","Miecz Śmierci","Sabia Mortii","","False","ItMw_1H_Sword_Long_05.name","",""
"Content/Items/Melee_weapons.d:1097","Młot Orków","Ciocan Orcesc","","False","ItMw_1H_Warhammer_01.name","",""
"Content/Items/Melee_weapons.d:1124","Młot wojenny","Ciocan de Razboi","","False","ItMw_1H_Warhammer_02.name","",""
"Content/Items/Melee_weapons.d:1151","Boski młot","Ciocanul Zeului","","False","ItMw_1H_Warhammer_03.name","",""
"Content/Items/Melee_weapons.d:1181","Topór","Topor","","False","ItMw_1H_Axe_01.name","",""
"Content/Items/Melee_weapons.d:1208","Gruchotacz","Taietorul Craniilor","","False","ItMw_1H_Axe_02.name","",""
"Content/Items/Melee_weapons.d:1235","Łamacz kości","Spargatorul de Oase","","False","ItMw_1H_Axe_03.name","",""
"Content/Items/Melee_weapons.d:1264","Miecz szeroki","Sabie Larga","","False","ItMw_1H_Sword_Broad_01.name","",""
