"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:27","Proszę, proszę. Nowa twarz. Dopiero co cię wrzucili?","Ia te uită, o față nouă. Tocmai te-o aruncat înăuntru?","","","Kirgo-CH0-None-Kirgo-13159","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:29","Nie twój interes.","Nu-i treaba ta.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Not_Your_Business","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:30","Tak.","Da.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Yes","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:37","Tak.","Da.","","","Kirgo-CH0-None-Hero-61590","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:38","No to witaj w Kolonii. Jak ci na imię? Mnie nazywają Kirgo.","Păi, atunci bine ai venit în Colonie, cred. Cum te cheamă? Eu îs Kirgo.","","","Kirgo-CH0-None-Kirgo-72322","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:39","Nyras.","Nyras.","","","Kirgo-CH0-None-Hero-54970","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:40","Miło poznać. Może chwilę porozmawiamy? Powiedz mi, jak się sprawy mają na zewnątrz, a ja zdradzę ci parę rzeczy, które ułatwią ci przeżycie w tej dziurze.","Îmi pare bine de cunoștintă. Hei, ascultă, ce zici să povestim puțin? Poți să îmi zici noutăți de afară, iar eu pot să-ți dau sfaturi despre cum să te descurci pe aici. ","","","Kirgo-CH0-None-Kirgo-53995","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:41","Cały dzień przerzucam ten cholerny gruz. Chciałbym się na chwilę od tego oderwać... To jak, pogadamy?","Faza e că am tot săpat pe afurisita asta de movilă toată ziua, și mi-ar prinde bine puțină distracție. Ce zici?","","","Kirgo-CH0-None-Kirgo-48505","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:47","Nie mam na to czasu.","N-am timp pentru așa ceva.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:48","No trudno.","Am înțeles.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Too_Bad","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:49","A może opowiem ci w zamian za bezpieczny nocleg?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Story_For_A_Place_To_Sleep","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:50","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Why_Are_You_Interested_In_This","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:56","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz? Przecież i tak się stąd nie wydostaniemy.","Totuși, ce îți pasă ție de ce se întâmplă pe afară? N-o să ieșim veci de aici, așa-i?","","","Kirgo-CH0-None-Hero-5576","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:57","Ludzie z Nowego Obozu i typy żyjące na bagnie twierdzą inaczej. Ale masz rację, pewnie spędzimy tu resztę życia.","Păi, cei din Tabăra Nouă și baieții din mlaștină au altă opinie. Dar da, cred că ai dreptate, n-o să ieșim. ","","","Kirgo-CH0-None-Kirgo-48595","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:58","Ja tam uważam, że warto sobie czasem przypomnieć, że świat nie kończy się na tej zasranej, niebieskiej kopule. Inaczej bym zwariował.","Totuși, eu cred ca ajută să îți reamintești din când în când că viața nu începe și se termină în domul ăsta albastru stupid. Aș lua-o razna dacă nu aș face asta.","","","Kirgo-CH0-None-Kirgo-58994","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:64","A może ci opowiem w zamian za bezpieczny nocleg?","Cum ar fi dacă ți-aș povesti despre asta în schimbul unui loc ferit unde să înnoptez? ","","","Kirgo-CH0-None-Hero-57845","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:65","Może jedna z tych waszych chatek?","Cum ar fi una din colibele voastre?","","","Kirgo-CH0-None-Hero-75065","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:66","Boisz się cieniostwora, co? Pozwoliłbym ci, gdyby to zależało ode mnie, ale tak nie jest. Przykro mi.","Din cauza bestiei-umbră, eh? Te-aș fi lăsat să dormi acolo dacă era după mine, dar nu e. Îmi pare rău, amice.","","","Kirgo-CH0-None-Kirgo-5289","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:73","No trudno.","Am înțeles.","","","Kirgo-CH0-None-Hero-75802-0","",""
