"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","Un loc de dormit","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","Garda însetată","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Vânătoare de necrofagi","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Căutarea lui Jorik","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Sesiune de antrenament","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","Primirea din partea lui Diego mi-a oferit puțin confort. O alunecare de teren blochează accesul în vale, iar o bestie-umbră dă târcoale prin apropiere. Trebuie să găsesc un adăpost pentru la noapte","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","O bestie-umbră cutreieră zona de schimb. Trebuie să găsesc un adăpost sigur înainte de căderea nopții.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Ratford mi-a sugerat să-l ajut pe prietenul său Drax să vâneze necrofagi undeva pe lângă poteca văii. Ar putea fi șansa mea de a câștiga un loc la focul lor de tabără pentru la noapte.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Drax are nevoie de ajutor pentru a vâna necrofagi. Dacă mă voi dovedi util, s-ar putea să câștig un loc la focul lor de tabără, ferit de bestia-umbră.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Jorik, un membru al cetei de vânători, a dispărut în canion. Găsirea lui s-ar putea să-mi asigure un loc sigur unde să dorm în noaptea asta.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","Mi-am câștigat un loc lângă focul vânătorilor la fosta așezare a săpătorilor, vizavi de Mina Abandonată. E timpul să-mi revendic locul lângă foc și să mă odihnesc.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","Trebuie să-l găsesc pe Ratford, prietenul lui Drax, și să-l întreb despre Jorik, vânătorul dispărut. Acesta ar putea fi ultimul pas pentru a-mi asigura un loc sigur pentru la noapte.","","False","CH0_APlaceToSleep_6","",""
