"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_818_Ratford.d:27","A kim ty niby jesteś, na Beliara?","În numele lui Beliar, dar cine ești tu?","","","Ratford-CH0-None-Ratford-64245-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:30","Jestem Nyr...","Sunt Nyr-","","","Ratford-CH0-None-Hero-87298","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:31","Nie o imię pytam. Nie wyglądasz mi na członka któregoś obozu. To co, jesteś kopaczem? A może dopiero co cię wrzucili?","Nu numele tău. Nu pari să fi de la nici una din tabere - ești săpător? Sau tocmai ai fost aruncat înăuntru? ","","","Ratford-CH0-None-Ratford-66784","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:35","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Sunt nou, da. Prietenul tău Drax m-a trimis să te ajut, la schimb pentru un loc de dormit la tabăra voastră.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Help","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:40","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","Tocmai m-au aruncat înăuntru. Caut un loc ferit unde să înnoptez.","","False","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Sleep_Place","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:48","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Sunt nou, da. Prietenul tău Drax m-a trimis să te ajut, la schimb pentru un loc de dormit la tabăra voastră.","","","Ratford-CH0-None-Hero-42595","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:49","Czyżby? Nie potrzebuję pomocy, zwłaszcza od takiej pizdy jak ty, a już na pewno nie pozwolę obcemu spać przy naszym ognisku. Zabieraj się stąd. W podskokach.","Chiar așa? Păi, n-am nevoie de ajutor, în special nu de la un vărzălău ca tine, sunt al naibii de sigur că n-o să las un necunoscut să doarmă la focul nostru. Valea de aici.","","","Ratford-CH0-None-Ratford-50882","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:51","Jak chcesz.","Bine.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_If_You_Think_So","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:52","Zamknij już kurwa ten ryj.","Ai grijă la ce căcat spui.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Fuck_You","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:53","Mogę cię jakoś przekonać?","Ce pot să fac să te conving?","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Can_I_Convince_You_Somehow","AI_AddChoice",""
