"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/SVM.d:324","Hej, ty!","Hei, tu!","","","Hero-CH0-None-Hero-17013","",""
"Content/Story/SVM.d:325","Cóż... pora rozpocząć nowe życie...","Bun venit în noua mea viață, bănuiesc...","","","Hero-CH0-None-Hero-12036","",""
"Content/Story/SVM.d:326","To kiepski pomysł. Jeśli znajdą mnie tu śpiącego, to już po mnie.","Asta nu-i o idee bună. Mă vor ucide dacă mă găsesc dormind aici.","","","Hero-CH0-None-Hero-20445","",""
"Content/Story/SVM.d:328","Hmm... to miejsce się nada. Ale ktoś już z niego korzysta. Może jeśli go znajdę...","Hmm... locul ăsta ar merge. Dar cineva a campat deja aici. Poate îi gasesc... ","","","Hero-CH0-None-Hero-62833","",""
"Content/Story/SVM.d:333","Miał przy sobie ten rysunek. Spójrz.","Păi, a avut o schiță. Stai că o am.","","","Drax-CH0-None-Hero-68340","",""
"Content/Story/SVM.d:342","Schowaj tę cholerną broń!","Pune arma aia blestemată jos!","","","Diego-CH0-None-Diego-23432","",""
"Content/Story/SVM.d:343","Prosisz się o lanie? Schowaj to!","Ți-o ceri? Pune chestia aia jos!","","","Diego-CH0-None-Diego-85171","",""
"Content/Story/SVM.d:346","Sam się o to prosiłeś!","Ai cerut-o!","","","Diego-CH0-None-Diego-84477","",""
"Content/Story/SVM.d:346","No i bardzo dobrze.","Iacătă.","","","Diego-CH0-None-Diego-77772","",""
"Content/Story/SVM.d:347","Wybacz, że cię zatrzymałem, jak sytuacja?","Scuze că te rețin. Care-i treaba?","","","Diego-CH0-None-Diego-67078","",""
"Content/Story/SVM.d:348","Tylko trzy? Myślałem, że będzie gorzej.","Doar trei? Aș fi zis că e mai rău.","","","Diego-CH0-None-Diego-78525","",""
"Content/Story/SVM.d:349","Zgadza się. Dokładnie tak jak my dymamy ich.","Exact - la fel cum facem și noi cu ei.","","","Diego-CH0-None-Diego-82774","",""
"Content/Story/SVM.d:350","Zauważyłeś, że beczki z rudą z tego miesiąca miały wyjątkowo grube dno?","Ai observat că butoaiele de minereu din lotul de luna asta au un fund mai gros decât de obicei? ","","","Diego-CH0-None-Diego-71218","",""
