"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Cutie","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Cufar","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Pat","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Usa","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Nicovala","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Galeata cu apa","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Focul Fierarului","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Piatra de ascutit","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Manivela","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Oala","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Tigaie","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Pipa","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Scara","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Levier","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Cristal","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Bellows","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Mumie","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Columna","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Sfaramator de hasis","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Figurina","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Tinta","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Altar al inimii orciilor","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Altar ciudat","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(nimic)","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Baron","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Garda","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Umbra","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Magician de Foc","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Miner","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Magician de Apa","","False","TXT_GUILDS[6]","",""
"Content/Story/Text.d:66","Najemnik","Mercenar","","False","TXT_GUILDS[7]","",""
"Content/Story/Text.d:67","Szkodnik","Bandit","","False","TXT_GUILDS[8]","",""
"Content/Story/Text.d:68","Zbieracz","Fermier","","False","TXT_GUILDS[9]","",""
"Content/Story/Text.d:68","Kret","Sapator","","False","TXT_GUILDS[10]","",""
"Content/Story/Text.d:70","Guru","Guru","","False","TXT_GUILDS[11]","",""
"Content/Story/Text.d:71","Nowicjusz","Novice","","False","TXT_GUILDS[12]","",""
"Content/Story/Text.d:71","Strażnik Świątynny","Templier","","False","TXT_GUILDS[13]","",""
"Content/Story/Text.d:73","Nekromanta","Necromancer","","False","TXT_GUILDS[14]","",""
"Content/Story/Text.d:75","Babka","Gagica","","False","TXT_GUILDS[15]","",""
"Content/Story/Text.d:75","Jaszczur","Soparla","","False","TXT_GUILDS[17]","",""
"Content/Story/Text.d:77","Śniący","Adormitul","","False","TXT_GUILDS[18]","",""
"Content/Story/Text.d:79","Goblin","Goblin","","False","TXT_GUILDS[19]","",""
"Content/Story/Text.d:80","Troll","Troll","","False","TXT_GUILDS[20]","",""
"Content/Story/Text.d:80","Zębacz","Snapper","","False","TXT_GUILDS[21]","",""
"Content/Story/Text.d:81","Pełzacz","Minecrawler","","False","TXT_GUILDS[22]","",""
"Content/Story/Text.d:82","Chrząszcz","Gândac","","False","TXT_GUILDS[23]","",""
"Content/Story/Text.d:83","Ścierwojad","Necrofag","","False","TXT_GUILDS[24]","",""
"Content/Story/Text.d:85","Demon","Demon","","False","TXT_GUILDS[25]","",""
"Content/Story/Text.d:86","Wilk","Lup","","False","TXT_GUILDS[26]","",""
"Content/Story/Text.d:86","Cieniostwór","Bestia Umbrei","","False","TXT_GUILDS[27]","",""
"Content/Story/Text.d:87","Krwiopijca","Viaspa","","False","TXT_GUILDS[28]","",""
"Content/Story/Text.d:88","Wąż błotny","Rechin de mlastina","","False","TXT_GUILDS[29]","",""
"Content/Story/Text.d:90","Zombi","Zombii","","False","TXT_GUILDS[30]","",""
"Content/Story/Text.d:91","Ork-Zombi","Zombii Orc","","False","TXT_GUILDS[31]","",""
"Content/Story/Text.d:92","Szkielet","Schelete","","False","TXT_GUILDS[32]","",""
"Content/Story/Text.d:92","Orkowy pies","Cainele Orcilor","","False","TXT_GUILDS[33]","",""
"Content/Story/Text.d:94","Kretoszczur","Şobocârtiţă","","False","TXT_GUILDS[34]","",""
"Content/Story/Text.d:95","Golem","Golem","","False","TXT_GUILDS[35]","",""
"Content/Story/Text.d:96","Topielec","Crocodilul Lenes","","False","TXT_GUILDS[36]","",""
"Content/Story/Text.d:97","Ork-Szaman","Shaman orc","","False","TXT_GUILDS[38]","",""
"Content/Story/Text.d:98","Ork-Wojownik","Razboinic orc","","False","TXT_GUILDS[39]","",""
"Content/Story/Text.d:99","Ork-Zwiadowca","Cautator orc","","False","TXT_GUILDS[40]","",""
"Content/Story/Text.d:103","Ork-Niewolnik","Sclav orc","","False","TXT_GUILDS[41]","",""
"Content/Story/Text.d:137","Światło","Lumina","","False","TXT_SPELLS[0]","",""
"Content/Story/Text.d:137","Kula ognia","Sfera de foc","","False","TXT_SPELLS[1]","",""
"Content/Story/Text.d:140","Strach","Teama","","False","TXT_SPELLS[3]","",""
"Content/Story/Text.d:140","Uzdrowienie","Tamaduire","","False","TXT_SPELLS[4]","",""
