"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","Погоди-ка! Ты же новенький? Только что к нам свалился? Можешь не отвечать, и так вижу!","","","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","У тебя на лбу написано: «Ни хера себе, куда ж меня занесло?»","","","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","Ты ведь уже знаешь, что мы тут застряли?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","Да, я новенький, но вообще-то меня прислал твой друг Рэтфорд.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","Он разрешил переночевать в вашем лагере и велел помочь тебе на охоте. ","","","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","Рэт? Значит, он нашёл Йорика?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","Йорик погиб.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","Ясно. Очень жаль — но я не удивлён.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","Значит, ты пришёл мне помочь. Ну, славно. Почему бы и нет! Давай поохотимся.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","Ага. Я ищу место для ночлега. Говорят, в долине бродит мракорис.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:54","To prawda. Też go widzieliśmy. Wielki skurwysyn.","Да, бродит. Мы сами его видели… Здоровый, зараза!","","","Drax-CH0-G1RDemo_DraxHunt-Drax-70619","",""
