"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Простые штаны для рудокопа","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Штаны для рудокопа","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Одеяние Призрака","","False","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Доспехи Призрака","","False","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Легкие доспехи стражника","","False","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Доспехи стражника","","False","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Тяжелые доспехи стражника","","False","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Роскошная мантия","","False","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Доспехи Гомеза","","False","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Тяжелые доспехи Барона","","False","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Одеяние рудокопа","","False","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Легкое одеяние вора","","False","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Одеяние вора","","False","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Тяжелое одеяние вора","","False","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","Легкие доспехи наемника","","False","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Доспехи наемника","","False","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Тяжелые доспехи наемника","","False","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Набедренная повязка послушника","","False","NOV_ARMOR_L.name","",""
"Content/Items/Armor.d:655","Lekka zbroja Nowicjusza","Легкие доспехи послушника","","False","NOV_ARMOR_M.name","",""
"Content/Items/Armor.d:687","Zbroja Nowicjusza","Доспехи послушника","","False","NOV_ARMOR_H.name","",""
"Content/Items/Armor.d:721","Lekka zbroja Świątynna","Легкие доспехи Стража","","False","TPL_ARMOR_L.name","",""
"Content/Items/Armor.d:753","Zbroja Świątynna","Доспехи Стража","","False","TPL_ARMOR_M.name","",""
"Content/Items/Armor.d:785","Ciężka zbroja Świątynna","Тяжелые доспехи Стража","","False","TPL_ARMOR_H.name","",""
"Content/Items/Armor.d:821","Szata Guru","Облачение Гуру","","False","GUR_ARMOR_M.name","",""
"Content/Items/Armor.d:852","Zdobiona szata Guru","Облачение высших Гуру","","False","GUR_ARMOR_H.name","",""
"Content/Items/Armor.d:893","Szata Ognia","Облачение магов огня","","False","KDF_ARMOR_L.name","",""
"Content/Items/Armor.d:922","Zdobiona szata Ognia","Облачение высших магов огня","","False","KDF_ARMOR_H.name","",""
"Content/Items/Armor.d:957","Szata Wody","Облачение магов воды","","False","KDW_ARMOR_L.name","",""
"Content/Items/Armor.d:987","Zdobiona szata Wody","Облачение высших магов воды","","False","KDW_ARMOR_H.name","",""
"Content/Items/Armor.d:1020","Szata Mrocznych Sztuk","Облачение темных искусств","","False","DMB_ARMOR_M.name","",""
"Content/Items/Armor.d:1062","Zbroja z pancerzy pełzaczy","Доспехи из пластин ползунов","","False","CRW_ARMOR_H.name","",""
"Content/Items/Armor.d:1096","Starożytna zbroja magiczna","Древние доспехи из руды","","False","ORE_ARMOR_M.name","",""
"Content/Items/Armor.d:1117","Tę starożytną zbroję wykonano z magicznej rudy.","","","","ORE_ARMOR_M.TEXT[0]","",""
"Content/Items/Armor.d:1129","Wzmocniona zbroja magiczna","Улучшенные доспехи из руды","","False","ORE_ARMOR_H.name","",""
"Content/Items/Armor.d:1148","Kowal Stone jeszcze ją ulepszył!","","","","ORE_ARMOR_H.TEXT[0]","",""
"Content/Items/Armor.d:1166","Szata sędziego","Облачение судьи","","False","LAW_ARMOR.name","",""
"Content/Items/Armor.d:1206","Pancerz Straży Królewskiej","Доспехи королевского стражника","","False","GRD_ARMOR_I.name","",""
"Content/Items/Armor.d:1242","Goła babka","Обнаженная девица","","False","BAB_ARMOR_NUDE.name","",""
"Content/Items/Armor.d:1264","Babka w bikini","Девица в бикини","","False","BAB_ARMOR_BIKINI.name","",""
"Content/Items/Food.d:58","Mięso chrząszczy. Smaczne po ugotowaniu, na surowo już nie bardzo.","Мясо мясных жуков. Вкусное, если его приготовить; в сыром виде оставляет желать лучшего.","","","ItAt_Meatbug_01_description","",""
"Content/Items/Food.d:61","Mięso chrząszcza","Мясо жука","","False","ItAt_Meatbug_01.name","",""
"Content/Items/Food.d:85","Te jabłka symbolizują monopol handlowy Starego Obozu.","Яблоки - символ торговой монополии Старого лагеря.","","False","ItFo_Apple_description","",""
"Content/Items/Food.d:88","Jabłko","Яблоко","","False","ItFoApple.name","",""
"Content/Items/Food.d:113","Winogrona","Виноград","","False","ItFo_wineberrys_01.name","",""
"Content/Items/Food.d:135","Podstawa żywienia w Kolonii – stała podaż sprawia, że brzuchy są pełne, co oddala ryzyko buntu.","Основа питания в колонии. Пока хлеб поставляется стабильно, рабочие сыты и не выражают недовольства.","","","ItFo_Loaf_description","",""
"Content/Items/Food.d:136","Podstawa żywienia w Kolonii – stała podaż sprawia,","Основа питания в колонии. Пока хлеб поставляется","","False","ItFo_Loaf_description_1","",""
"Content/Items/Food.d:137","że brzuchy są pełne, co oddala ryzyko buntu.","стабильно, рабочие сыты и не выражают недовольства.","","False","ItFo_Loaf_description_2","",""
"Content/Items/Food.d:142","Chleb","Хлеб","","False","ItFoLoaf.name","",""
"Content/Items/Food.d:165","Smażone mięso","Жареное мясо","","False","ItFo_Mutton_01_name","",""
"Content/Items/Food.d:166","Mięso liźnięte ogniem napełnia brzuch i ogrzewa duszę.","Поджарено на открытом огне. Утоляет голод и согревает душу.","","","ItFo_Mutton_01_description","",""
"Content/Items/Food.d:192","Surowe mięso","Сырое мясо","","","ItFo_Muttonraw","",""
"Content/Items/Food.d:192","Świeża zdobycz czekająca na objęcia płomieni.","Свежедобытое мясо, ждущее жара огня.","","","ItFo_Muttonraw_description","",""
"Content/Items/Food.d:216","Peklowany i pyszny mięsny przysmak.","Вкуснейшее вяленое мясо, настоящее лакомство.","","","ItFo_Mutton_02_description","",""
"Content/Items/Food.d:221","Szynka","Окорок","","False","ItFo_mutton_01.name","",""
"Content/Items/Food.d:242","Myrtański ser, zarezerwowany dla elit Starego Obozu. Jego ostry aromat unosi się w całym zamku.","Миртанский сыр для главных заправил Старого лагеря. Кажется, его резким ароматом пропах весь замок.","","","ItFo_Cheese_description","",""
"Content/Items/Food.d:243","Myrtański ser, zarezerwowany dla elit Starego Obozu.","Миртанский сыр для главных заправил Старого лагеря.","","False","ItFo_Cheese_description_1","",""
"Content/Items/Food.d:244","Jego ostry aromat unosi się w całym zamku.","Кажется, его резким ароматом пропах весь замок.","","False","ItFo_Cheese_description_2","",""
"Content/Items/Food.d:250","Ser","Сыр","","False","ItFoCheese.name","",""
"Content/Items/Food.d:270","Podstawa niezależności Nowego Obozu, starannie uprawiana na strzeżonych polach. Nadwyżki napędzają handel i kształtują relacje z innymi obozami.","Зерновая культура, которая выращивается на тщательно охраняемых плантациях. Составляет основу независимости Нового лагеря. Излишки идут на продажу, что определяет взаимоотношения с другими лагерями.","","","ItFo_Rice_description","",""
