"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:27","Proszę, proszę. Nowa twarz. Dopiero co cię wrzucili?","Гляди-ка, новое лицо. Тебя, поди, только что сюда зашвырнули?","","","Kirgo-CH0-None-Kirgo-13159","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:29","Nie twój interes.","Это не твоё дело.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Not_Your_Business","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:30","Tak.","Ага.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Yes","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:37","Tak.","Ага.","","","Kirgo-CH0-None-Hero-61590","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:38","No to witaj w Kolonii. Jak ci na imię? Mnie nazywają Kirgo.","Ну, добро пожаловать в колонию, что тут ещё скажешь. Как тебя зовут? Я Кирго.","","","Kirgo-CH0-None-Kirgo-72322","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:39","Nyras.","Нирас.","","","Kirgo-CH0-None-Hero-54970","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:40","Miło poznać. Może chwilę porozmawiamy? Powiedz mi, jak się sprawy mają na zewnątrz, a ja zdradzę ci parę rzeczy, które ułatwią ci przeżycie w tej dziurze.","Рад знакомству. Послушай… не хочешь немного поболтать? Ты расскажешь мне, что нового за барьером, а я дам тебе пару советов, как не подохнуть здесь. ","","","Kirgo-CH0-None-Kirgo-53995","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:41","Cały dzień przerzucam ten cholerny gruz. Chciałbym się na chwilę od tego oderwać... To jak, pogadamy?","Я весь день разгребаю эти поганые камни и буду счастлив хоть немного отвлечься. Что скажешь?","","","Kirgo-CH0-None-Kirgo-48505","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:47","Nie mam na to czasu.","У меня нет на это времени.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:48","No trudno.","Ладно.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Too_Bad","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:49","A może opowiem ci w zamian za bezpieczny nocleg?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Story_For_A_Place_To_Sleep","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:50","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Why_Are_You_Interested_In_This","AI_AddChoice",""
