"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","Место для ночлега","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","Слишком трезвый охранник","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Охота на падальщиков","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Исчезновение Йорика","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Учебный бой","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","Встреча c Диего спокойствия не прибавила. Дорогу в долину завалило камнями, a где-то поблизости бродит мракорис. Мне нужно найти укрытие на ночь.","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","Недалеко от зоны обмена бродит мракорис. Мне надо найти укрытие, пока не стемнело.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Рэтфорд предложил мне помочь его приятелю Драксу в охоте на падальщиков. Возможно, это мой шанс обеспечить себе безопасный ночлег.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Драксу нужен напарник для охоты на падальщиков. Если я окажусь полезен, возможно, меня пустят на ночлег к костру, где мракорис не страшен.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Человек по имени Йорик — общий приятель охотников — пропал где-то в ущелье. Если я смогу его найти, возможно, меня пустят переночевать в безопасном месте.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","Охотники предложили мне место у костра в старом лагере рудокопов напротив заброшенной шахты. Пора устроиться там на ночлег и отдохнуть.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","Мне нужно найти приятеля Дракса по имени Рэтфорд и спросить его о пропавшем приятеле — Йорике. Если я смогу его найти, возможно, меня пустят переночевать в безопасном месте.","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","Орри — стражник, который дежурит на воротах, — готов поделиться информацией в обмен на пиво. B этом суровом месте даже спиртное — большая ценность. Если найду выпивку — получу совет по выживанию.","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","В зоне обмена должно быть пиво. Может, стоит поискать там, где хранятся грузы из-за барьера.","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","Я нашёл пиво. Если угощу Орри, дежурящего на воротах зоны обмена, возможно, выведаю у него что-нибудь полезное.","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","Человек из Нового лагеря по имени Йорик пропал в ущелье, и eгo ищут приятели. Если я найду пропавшего первым, возможно, меня пустят переночевать в безопасном месте.","","False","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","Йорик пропал где-то в ущелье. Если я разыщу его или узнаю, что с ним случилось, возможно, охотники пустят меня переночевать в безопасном месте.","","False","CH0_FindJorik_1","",""
"Content/Story/Log_Constants.d:37","Pewien łowca z tak zwanego Nowego Obozu zaoferował pożywienie i schronienie w zamian za pomoc przy polowaniu na ścierwojady. Polowanie wydaje się mało skomplikowane, ale lepiej zachować ostrożność.","Охотник из так называемого Нового лагеря сказал, что я могу рассчитывать на ужин и безопасное место для ночлега, если помогу ему в охоте на падальщиков. Кажется, дело это несложное. Главное — не дать себя обмануть.","","False","CH0_DraxHunt_0","",""
"Content/Story/Log_Constants.d:39","Powinienem powiedzieć Draxowi, że jestem gotów na polowanie. Czeka na mnie w pobliżu wejścia do doliny.","Нужно сказать Драксу, что я готов к охоте на падальщиков. Он ждёт у входа в долину.","","False","CH0_DraxHunt_1","",""
"Content/Story/Log_Constants.d:41","Zanim wyruszę na polowanie z Draxem, muszę znaleźć jakąś broń. Na pewno znajdę coś w okolicy.","Если я хочу поохотиться с Драксом, мне нужно оружие. Думаю, поблизости отыщется что-нибудь подходящее.","","False","CH0_DraxHunt_2","",""
"Content/Story/Log_Constants.d:41","Drax twierdzi, że ścierwojady nie są groźne, ale nie jestem do końca przekonany. Powinienem uważać podczas polowania.","Дракс говорит, что падальщики почти не опасны, но я в этом не уверен. Во время охоты не стоит расслабляться.","","False","CH0_DraxHunt_3","",""
"Content/Story/Log_Constants.d:45","Kirgo, strażnik ze Starego Obozu i wojownik walczący na arenie, zaproponował mi sparing. To dla mnie szansa, by dowieść swojej wartości i nauczyć się cennych umiejętności walki. Jeśli się wykażę, zyskam szacunek.","Кирго — стражник из Старого лагеря, который участвует в боях на арене — предложил мне учебный поединок. Это мой шанс проявить себя и освоить полезные приёмы. Если произведу хорошее впечатление, меня будут уважать здесь немного больше.","","False","CH0_KirgoFight_0","",""
"Content/Story/Log_Constants.d:47","Powinienem powiedzieć Kirgo, że jestem gotowy na sparing. Czeka na mnie w pobliżu zawalonych skał i jest gotów, by sprawdzić moje zdolności.","Нужно сказать Кирго, что я готов к поединку. Он ждёт у каменного завала. Ему не терпится испытать меня в бою.","","False","CH0_KirgoFight_1","",""
"Content/Story/Log_Constants.d:49","Potrzebuję broni do sparingu z Kirgo. W okolicy z pewnością znajdę jakiś oręż.","Мне нужно оружие для поединка с Кирго. Думаю, поблизости найдётся что-нибудь подходящее.","","False","CH0_KirgoFight_2","",""
