"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","","","","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","","","","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","","","","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","","","","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","","","","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","","","","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","","","","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","","","","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","","","","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","","","","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","","","","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","","","","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","","","","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","","","","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","","","","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","","","","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","","","","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","","","","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","","","","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","","","","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","","","","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","","","","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","","","","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","","","","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
"System/MENU/Menu_Defines.d:175","Nyras","","","","MENUITEM_LOADSAVE_CHAPTERSMALL_VALUE_TEXT","",""
"System/MENU/Menu_Defines.d:176","Zapisz czas","","","","MENUITEM_LOADSAVE_DATETIME_TEXT","",""
"System/MENU/Menu_Defines.d:177","Czas gry:","","","","MENUITEM_LOADSAVE_PLAYTIME_TEXT","",""
"System/MENU/Menu_Defines.d:178","Wstecz","","","","MENU_COMMON_BACK_TEXT","",""
"System/MENU/Menu_Defines.d:181","Gra","","","","MENUITEM_OPT_GAME_TEXT_0","",""
"System/MENU/Menu_Defines.d:182","Grafika","","","","MENUITEM_OPT_GRAPHICS_TEXT_0","",""
"System/MENU/Menu_Defines.d:183","Obraz","","","","MENUITEM_OPT_VIDEO_TEXT_0","",""
"System/MENU/Menu_Defines.d:184","Dźwięk","","","","MENUITEM_OPT_AUDIO_TEXT_0","",""
"System/MENU/Menu_Defines.d:185","Klawiatura","","","","MENUITEM_OPT_CONTROLS_TEXT_0","",""
"System/MENU/Menu_Defines.d:186","Wydajność/Jakość","","","","MENUITEM_PERF_TEXT_0","",""
"System/MENU/Menu_Defines.d:187","opcje użytkownika#Orthodox Overdose|średnia jakość|wysoka jakość","","","","MENUITEM_PERF_CHOICE_TEXT_0","",""
"System/MENU/menu_opt.d:19","USTAWIENIA","Настройки","","False","MENUITEM_OPT_HEADING.text[0]","",""
"System/MENU/menu_opt.d:30","Różne ustawienia dotyczące gry.","Настройки игры.","","False","MENUITEM_OPT_GAME.text[1]","",""
"System/MENU/menu_opt.d:41","Szczegółowość obrazu i efekty specjalne.","Видимость, детализация и эффекты.","","False","MENUITEM_OPT_GRAPHICS.text[1]","",""
"System/MENU/menu_opt.d:52","Karta graficzna, rozdzielczość i jasność.","Видеокарта, разрешение и яркость.","","False","MENUITEM_OPT_VIDEO.text[1]","",""
"System/MENU/menu_opt.d:63","Muzyka, mowa i efekty dźwiękowe.","Музыка, язык и звуковые эффекты.","","False","MENUITEM_OPT_AUDIO.text[1]","",""
"System/MENU/menu_opt.d:74","Ustawienia klawiatury.","Настройки управления.","","False","MENUITEM_OPT_CONTROLS.text[1]","",""
"System/MENU/menu_opt.d:85","Dostosowanie wydajności i jakości obrazu.","Настройки качества и производительности.","","False","MENUITEM_PERF.text[1]","",""
"System/MENU/menu_opt.d:119","USTAWIENIA GRY","","","","MENUITEM_FAKE_OPT_HEADING_GAME.text[0]","",""
"System/MENU/menu_opt.d:128","USTAWIENIA GRAFICZNE","","","","MENUITEM_FAKE_OPT_HEADING_GRAPHICS.text[0]","",""
"System/MENU/menu_opt.d:137","USTAWIENIA OBRAZU","","","","MENUITEM_FAKE_OPT_HEADING_VIDEO.text[0]","",""
"System/MENU/menu_opt.d:146","USTAWIENIA DŹWIĘKU","","","","MENUITEM_FAKE_OPT_HEADING_AUDIO.text[0]","",""
"System/MENU/menu_opt.d:155","USTAWIENIA KLAWIATURY","","","","MENUITEM_FAKE_OPT_HEADING_CONTROLS.text[0]","",""
"System/MENU/menu_opt_game.d:26","USTAWIENIA GRY","НАСТРОЙКИ ИГРЫ","","False","MENUITEM_GAME_HEADLINE.text[0]","",""
"System/MENU/menu_opt_game.d:36","Podpisy","Субтитры","","False","MENUITEM_GAME_SUB_TITLES.text[0]","",""
"System/MENU/menu_opt_game.d:37","Wyświetlanie tekstów dialogów.","Визуализация диалогов.","","False","MENUITEM_GAME_SUB_TITLES.text[1]","",""
"System/MENU/menu_opt_game.d:61","Animowane okna","Анимация окон","","False","MENUITEM_GAME_ANIMATE_WINDOWS.text[0]","",""
"System/MENU/menu_opt_game.d:62","Animowane okna dialogowe.","Анимированные окна диалогов.","","False","MENUITEM_GAME_ANIMATE_WINDOWS.text[1]","",""
"System/MENU/menu_opt_game.d:86","Odwrócona kamera","Обратное упр.","","False","MENUITEM_GAME_LOOKAROUND_INVERSE.text[0]","",""
"System/MENU/menu_opt_game.d:87","Odwrócone sterowanie kamerą.","Обратное управление камерой.","","False","MENUITEM_GAME_LOOKAROUND_INVERSE.text[1]","",""
"System/MENU/menu_opt_game.d:111","Mysz","Мышь","","False","MENUITEM_M.text[0]","",""
"System/MENU/menu_opt_game.d:112","Przełącza sterowanie kamerą za pomocą myszy.","Управление при помощи мыши.","","False","MENUITEM_M.text[1]","",""
"System/MENU/menu_opt_game.d:136","Czułość myszy","Чувствительность","","False","MENUITEM_MSENSITIVITY.text[0]","",""
