"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_254_Orry.d:12","To ja już pójdę.","","","","DIA_GRD_254_Orry_Exit.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:22","To ja już pójdę.","Я пойду.","","","Orry-CH0-None-Hero-73692","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:23","Jasne. Powodzenia, żółtodziobie!","Ага. Удачи, свежак.","","","Orry-CH0-None-Orry-52966","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:51","Świeżak, co? Nie wiedziałem, że kogoś wrzucają. Miałeś szczęście.","Новенький, да? Не знал, что у нас пополнение. Ты везунчик.","","","Orry-CH0-None-Orry-35350","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:52","Dlaczego?","В смысле?","","","Orry-CH0-None-Hero-62484","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:53","Gdyby nie lawina skalna, kilku z naszych z pewnością wyszłoby ci na powitanie.","Если бы не оползень, тебя встретили бы наши парни.","","","Orry-CH0-None-Orry-81876","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:54","Obiliby ci ryj zawodowo.","И как следует отметелили бы. ","","","Orry-CH0-None-Orry-50913","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:55","W każdym razie, jeśli zmierzasz do doliny, musisz poczekać, aż oczyszczą drogę. Wspinaczka po urwisku...","В общем, если хочешь попасть в долину, придётся подождать, пока ребята расчистят путь. По скале…","","","Orry-CH0-None-Orry-3202","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:56","Jest zbyt niebezpieczna. Wiem. Diego mi powiedział.","…лезть опасно. Знаю. Диего мне говорил. ","","","Orry-CH0-None-Hero-17889","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:57","To dobrze. Teraz jeszcze znajdź sobie jeszcze miejsce do spania.","Хорошо. Тогда найди себе место для ночлега.","","","Orry-CH0-None-Orry-90220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:70","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","","","","DIA_GRD_254_Orry_What_Did_You_Do.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:84","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","Расскажешь о себе? Как ты сюда попал?","","","Orry-CH0-None-Hero-93802","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:85","Mnie? Nie zrobiłem nic szczególnego.","Я-то? Да так, ничего интересного.","","","Orry-CH0-None-Orry-34664","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:86","Skończyły mi się fundusze, wpadłem w złe towarzystwo, a potem napatoczyłem się na straże, kiedy akurat kogoś obrobiłem.","Остался без гроша, связался с дурной компанией, а потом нарвался на стражников, убегая с украденным кошельком.","","","Orry-CH0-None-Orry-1321","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:87","Szast-prast i jestem tutaj. A ty?","И вот я здесь! А тебя к нам за что?","","","Orry-CH0-None-Orry-45461","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:89","Nie chcę o tym gadać.","","","","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_No_More_About_It","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:93","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","","","","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_Wrong_Place_And_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:96","Zabiłem człowieka.","","","","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_I_Killed_Someone","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:104","Zabiłem człowieka.","За убийство.","","","Orry-CH0-None-Caption-85953-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:105","Ty? A nie wyglądasz.","Да ладно? На убийцу ты не похож.","","","Orry-CH0-None-Orry-24602","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:106","Tylko nie mów o tym komu popadnie. Ogranicz się do tych, których to może zaciekawić.","Лучше не рассказывай об этом всем подряд. Оставь для тех, кому это может быть важно.","","","Orry-CH0-None-Orry-37552","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:110","Jasne.","Понял.","","","Orry-CH0-None-Hero-17139","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:115","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","Оказался не в то время не в том месте.","","","Orry-CH0-None-Caption-7105-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:117","Gdzieś to już słyszałem.","Да, такое я уже слышал.","","","Orry-CH0-None-Orry-97807","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie chcę o tym gadać.","Не хочу об этом говорить.","","","Orry-CH0-None-Caption-16021-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie będziemy się sobie zwierzać? W porządku.","О, не хочешь откровенничать? Я не настаиваю.","","","Orry-CH0-None-Orry-84803","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:128","I tak wszyscy zawsze mówią to samo.","Всё равно истории у всех похожие.","","","Orry-CH0-None-Orry-50138","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:143","Chciałbym o coś zapytać.","","","","DIA_GRD_254_Orry_Let_Me_Ask_You_Something.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Chciałbym o coś zapytać.","Я хочу кое-что узнать.","","","Orry-CH0-G1RDemo_OrryBeer-Hero-57035","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Czyżby? A mnie strasznie zaschło w gardle.","Да неужели? А я хочу промочить горло. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-74214","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:155","Zróbmy tak: znajdź mi coś mocniejszego, a jak zwilżę gardełko to możesz pytać, jakby jutra miało nie być.","Давай так: найди мне выпить — и спрашивай хоть до посинения. ","","","Orry-CH0-G1RDemo_OrryBeer-Orry-3732","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:158","Rączka rączkę myje.","Ты — мне, я — тебе.","","","Orry-CH0-G1RDemo_OrryBeer-Orry-31914","",""
