"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","Місце для сну","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","Спраглий вартовий","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Полювання на стервожерів","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Знайти Йоріка","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Тренувальний спаринг","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","Прийом Дієґо був не надто втішним. Обвал перекрив доступ до долини, а неподалік блукає Тіньоствор. Треба знайти притулок на ніч.","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","Тіньоствор блукає зоною обміну. Треба знайти безпечний сховок, поки не настала ніч.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Ретфорд запропонував мені допомогти його другові Драксу полювати на стервожерів біля стежки в долині. Це могло б стати моїм шансом заробити місце біля їхнього вогнища на ніч.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Драксу потрібна допомога в полюванні на стервожерів. Якщо я буду корисним, то, можливо, отримаю місце біля вогнища, де мене не дістане Тіньоствор.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Йорік, один з мисливців, пропав в ущелині. Його пошук може забезпечити мені безпечне місце для ночівлі.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","Я заробив місце біля багаття мисливців у старому таборі копачів навпроти покинутої шахти. Час зайняти своє місце біля вогнища і трохи відпочити.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","Мені потрібно знайти друга Дракса, Ретфорда, і розпитати про Йоріка, їхнього зниклого товариша. Це може бути моїм єдиним шансом знайти безпечне місце для ночівлі.","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","Оррі, вартовий біля воріт, може поділитися інформацією за пиво. У цьому суворому місці навіть алкоголь цінний. Знайшовши його, я зможу дізнатися, як тут вижити.","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","Десь у зоні обміну має бути пиво... може, там, де зберігають подачки ззовні?","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","Я знайшов пиво. Треба віднести його Оррі біля воріт обміну, подивимося, якою інформацією він поділиться за це пиво.","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","В ущелині пропав член Нового табору на ім'я Йорік. Його компанія шукає його. Якщо я знайду Йоріка, то зможу отримати безпечне місце для ночівлі.","","False","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","Йорік зник в ущелині. Знайти його або з'ясувати його долю могло б забезпечити мені прихильність мисливців і безпечне місце для ночівлі.","","False","CH0_FindJorik_1","",""
"Content/Story/Log_Constants.d:37","Pewien łowca z tak zwanego Nowego Obozu zaoferował pożywienie i schronienie w zamian za pomoc przy polowaniu na ścierwojady. Polowanie wydaje się mało skomplikowane, ale lepiej zachować ostrożność.","Мисливець з так званого Нового табору запропонував їжу і прихисток в обмін на допомогу зі стервожерами. Полювання здається простим, але слід остерігатися будь-яких хитрощів.","","False","CH0_DraxHunt_0","",""
"Content/Story/Log_Constants.d:39","Powinienem powiedzieć Draxowi, że jestem gotów na polowanie. Czeka na mnie w pobliżu wejścia do doliny.","Треба сказати Драксу, що я готовий почати полювання на стервожерів. Він чекає біля входу в долину.","","False","CH0_DraxHunt_1","",""
"Content/Story/Log_Constants.d:41","Zanim wyruszę na polowanie z Draxem, muszę znaleźć jakąś broń. Na pewno znajdę coś w okolicy.","Потрібна зброя перед полюванням з Драксом. Тут повинно бути щось, що я зможу використати.","","False","CH0_DraxHunt_2","",""
"Content/Story/Log_Constants.d:41","Drax twierdzi, że ścierwojady nie są groźne, ale nie jestem do końca przekonany. Powinienem uważać podczas polowania.","Дракс каже, що стервожери не такі вже й небезпечні, але я в цьому не впевнений. Під час полювання треба бути напоготові.","","False","CH0_DraxHunt_3","",""
"Content/Story/Log_Constants.d:45","Kirgo, strażnik ze Starego Obozu i wojownik walczący na arenie, zaproponował mi sparing. To dla mnie szansa, by dowieść swojej wartości i nauczyć się cennych umiejętności walki. Jeśli się wykażę, zyskam szacunek.","Кірґо, вартовий Старого Табору і боєць на арені, запропонував спаринг. Це шанс показати себе і навчитися цінних бойових навичок. Гарний бій може принести мені повагу.","","False","CH0_KirgoFight_0","",""
"Content/Story/Log_Constants.d:47","Powinienem powiedzieć Kirgo, że jestem gotowy na sparing. Czeka na mnie w pobliżu zawalonych skał i jest gotów, by sprawdzić moje zdolności.","Треба сказати Кірґо, що я готовий до двобою. Він чекає біля обриву, бажаючи перевірити мої навички.","","False","CH0_KirgoFight_1","",""
"Content/Story/Log_Constants.d:49","Potrzebuję broni do sparingu z Kirgo. W okolicy z pewnością znajdę jakiś oręż.","Потрібна зброя, щоб битися з Кірґо. Тут має бути щось, що я можу використати.","","False","CH0_KirgoFight_2","",""
