"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","Так","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","Ні","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","Ні|Так","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","вимк.|увімк.","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","DEL - видалити, ENTER - призначити клавішу.","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","Натисніть потрібну клавішу.","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","Нова гра","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","Вирушайте назустріч новим пригодам.","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","Завантажити гру","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","Завантажте збережену гру.","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","Зберегти гру","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","Зберегти поточну гру.","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","Продовжити","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","Продовжити поточну гру.","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","Налаштування","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","Налаштування звуку, графіки та клавіатури.","","False","MENU_MAIN_OPTS_TEXT","",""
"System/MENU/Menu_Defines.d:161","Menu główne","Головне меню","","False","MENU_MAIN_QUITSESSION_TITLE","",""
"System/MENU/Menu_Defines.d:162","Powrót do menu głównego","Повернутися до головного меню","","False","MENU_MAIN_QUITSESSION_TEXT","",""
"System/MENU/Menu_Defines.d:164","Zamknij","Вийти","","False","MENU_MAIN_QUIT_TITLE","",""
"System/MENU/Menu_Defines.d:165","Powrót do otchłani systemu Windows.","Назад у безодню вашої ОС.","","False","MENU_MAIN_QUIT_TEXT","",""
"System/MENU/Menu_Defines.d:167","Czy na pewno chcesz opuścić grę?","Дійсно хочете вийти?","","False","MENUITEM_LEAVE_GAME_TEXT1","",""
"System/MENU/Menu_Defines.d:170","Wymagane ponowne uruchomienie gry!","Потрібно перезапустити гру!","","False","MENU_TEXT_NEEDS_RESTART","",""
"System/MENU/Menu_Defines.d:172","WITAMY W KOLONII!","ЛАСКАВО ПРОСИМО У КОЛОНІЮ!","","False","MENUITEM_LOADSAVE_THUMBPICFIXED_CHAPTER_TEXT","",""
"System/MENU/Menu_Defines.d:174","Rozdział:","Розділ:","","False","MENUITEM_LOADSAVE_CHAPTERSMALL_TEXT","",""
