"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_254_Orry.d:12","To ja już pójdę.","Мені пора.","","False","DIA_GRD_254_Orry_Exit.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:22","To ja już pójdę.","Мені пора.","","False","Orry-CH0-None-Hero-73692","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:23","Jasne. Powodzenia, żółtodziobie!","Звісно. Щасти тобі, хлопче.","","False","Orry-CH0-None-Orry-52966","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:51","Świeżak, co? Nie wiedziałem, że kogoś wrzucają. Miałeś szczęście.","Новенький, так? Не знав, що хтось прийде. Тобі пощастило.","","False","Orry-CH0-None-Orry-35350","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:52","Dlaczego?","Навіщо?","","False","Orry-CH0-None-Hero-62484","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:53","Gdyby nie lawina skalna, kilku z naszych z pewnością wyszłoby ci na powitanie.","Ну, якби не обвал, деякі з хлопців були б тут, щоб привітати тебе.","","False","Orry-CH0-None-Orry-81876","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:54","Obiliby ci ryj zawodowo.","Якщо добре потупотіти..","","False","Orry-CH0-None-Orry-50913","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:55","W każdym razie, jeśli zmierzasz do doliny, musisz poczekać, aż oczyszczą drogę. Wspinaczka po urwisku...","Хай там як. Якщо йдеш у долину, почекай, поки наші люди розчистять шлях, в ущелині-","","False","Orry-CH0-None-Orry-3202","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:56","Jest zbyt niebezpieczna. Wiem. Diego mi powiedział.","- надто небезпечно, щоб туди лізти. Знаю, Дієґо мені казав.","","False","Orry-CH0-None-Hero-17889","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:57","To dobrze. Teraz jeszcze znajdź sobie jeszcze miejsce do spania.","Добре. Тоді краще знайди собі якесь місце для ночівлі.","","False","Orry-CH0-None-Orry-90220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:70","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","Яка твоя історія? Чому вони тебе кинули?","","False","DIA_GRD_254_Orry_What_Did_You_Do.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:84","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","Яка твоя історія? Чому вони тебе кинули?","","False","Orry-CH0-None-Hero-93802","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:85","Mnie? Nie zrobiłem nic szczególnego.","Хто, я? Нічого розповідати про дім.","","False","Orry-CH0-None-Orry-34664","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:86","Skończyły mi się fundusze, wpadłem w złe towarzystwo, a potem napatoczyłem się na straże, kiedy akurat kogoś obrobiłem.","У мене закінчилося золото, потрапив не в ту компанію, а потім прямісінько до вартових після того, як когось пограбував.","","False","Orry-CH0-None-Orry-1321","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:87","Szast-prast i jestem tutaj. A ty?","Так і потрапив. Ну а ти?","","False","Orry-CH0-None-Orry-45461","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:89","Nie chcę o tym gadać.","Я не хочу говорити про це.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_No_More_About_It","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:93","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","Я опинився не в тому місці і не в той час.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_Wrong_Place_And_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:96","Zabiłem człowieka.","Декого вбив.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_I_Killed_Someone","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:104","Zabiłem człowieka.","Декого вбив.","","False","Orry-CH0-None-Caption-85953-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:105","Ty? A nie wyglądasz.","Ти? Не думав, що ти такий.","","False","Orry-CH0-None-Orry-24602","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:106","Tylko nie mów o tym komu popadnie. Ogranicz się do tych, których to może zaciekawić.","Не варто казати про це всім - або принаймні тільки тим, хто, на твою думку, захоче це почути.","","False","Orry-CH0-None-Orry-37552","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:110","Jasne.","Не буду.","","False","Orry-CH0-None-Hero-17139","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:115","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","Я опинився не в тому місці і не в той час.","","False","Orry-CH0-None-Caption-7105-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:117","Gdzieś to już słyszałem.","Це я вже чув.","","False","Orry-CH0-None-Orry-97807","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie chcę o tym gadać.","Я не хочу говорити про це.","","False","Orry-CH0-None-Caption-16021-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:125","Nie będziemy się sobie zwierzać? W porządku.","Що, ніяких відвертих розмов? Я не проти.","","False","Orry-CH0-None-Orry-84803","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:128","I tak wszyscy zawsze mówią to samo.","Так чи інакше, це завжди одна й та ж історія.","","False","Orry-CH0-None-Orry-50138","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:143","Chciałbym o coś zapytać.","У мене є кілька запитань.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Chciałbym o coś zapytać.","У мене є кілька запитань.","","False","Orry-CH0-G1RDemo_OrryBeer-Hero-57035","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:154","Czyżby? A mnie strasznie zaschło w gardle.","Справді? Ну, у мене пересохло в горлі.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-74214","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:155","Zróbmy tak: znajdź mi coś mocniejszego, a jak zwilżę gardełko to możesz pytać, jakby jutra miało nie być.","Як тобі таке: знайдеш мені пивко, а потім можеш просити так, наче завтра не настане.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-3732","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:158","Rączka rączkę myje.","Рука руку миє.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-31914","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:158","Nie mam czasu na bzdury.","У мене немає часу на це.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:159","Niech będzie.","Домовилися.","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Agree","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:160","O jakim napitku mówimy?","Який напій ти хочеш?","","False","DIA_GRD_254_Orry_Let_Me_Ask_You_Something_Info.DIA_GRD_254_Orry_Let_Me_Ask_You_Something.DIA_GRD_254_Orry_Let_Me_Ask_You_Something_About_Beer","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:167","O jakim napitku mówimy?","Який напій ти хочеш?","","False","Orry-CH0-G1RDemo_OrryBeer-Hero-67257","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:167","Oo napiłbym się varanckiego czerwonego, rocznik ’82. I przydałaby się cycata, ruda dziewka, która będzie mi polewać.","Хочу варантіанське червоне, вінтажне 82-го і руду лисичку, яка б мені його наливала.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-96594","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:168","Ale niestety to Kolonia, więc wystarczy mi butelczyna tej berbeluchy, która uchodzi tu za piwo.","Сумно, але це колонія, тож пляшка гидоти, яку король продає нам як ""пиво"", не може не радувати.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-2862","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:179","Niech będzie.","Домовилися.","","False","Orry-CH0-G1RDemo_OrryBeer-Hero-28969","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:181","Dzięki niech będą Innosowi. Wiesz, gdzie mnie szukać.","Хвала Інносу. Ти знаєш, де мене знайти.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-103","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:192","Nie mam czasu na bzdury.","У мене немає часу на це.","","False","Orry-CH0-G1RDemo_OrryBeer-Hero-42210","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:193","Co, jesteś ponad to?","Це було б нижче твого достоїнства, так?","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-28733","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:195","Oj, chłopcze, czeka cię nie lada niespodzianka.","О, хлопчику, тебе чекає неприємне пробудження","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-31985-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:214","Muszę ci coś powiedzieć. Kirgo nie żyje.","Мені треба дещо сказати. Кірґо мертвий.","","False","DIA_GRD_254_Orry_About_Kirgo_Death.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:223","Muszę ci coś powiedzieć. Kirgo nie żyje.","Мені треба дещо сказати. Кірґо мертвий.","","False","Orry-CH0-None-Hero-88403","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:225","...Co?! Jak? Dlaczego?","... Що? Чому? Як??","","False","Orry-CH0-None-Orry-44358","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:225","To był wypadek. Trenowaliśmy walkę i... nadział mi się na miecz.","То був нещасний випадок. Ми тренувалися в бою, і мій меч вислизнув.","","False","DIA_GRD_254_Orry_About_Kirgo_Death_Info.DIA_GRD_254_Orry_About_Kirgo_Death.DIA_GRD_254_Orry_About_Kirgo_Death_Truth","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:229","To chyba sprawka cieniostwora.","Думаю, це був тіньоствор.","","False","DIA_GRD_254_Orry_About_Kirgo_Death_Info.DIA_GRD_254_Orry_About_Kirgo_Death.DIA_GRD_254_Orry_About_Kirgo_Death_Lie","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:233","To chyba sprawka cieniostwora.","Думаю, це був тіньоствор.","","False","Orry-CH0-None-Caption-88176-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:234","Przecież widziałem go dziś rano... Kurwa... KURWA MAĆ!","Але я бачив його сьогодні вранці! Зараза... ОТ ЛАЙНО!","","False","Orry-CH0-None-Orry-51220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:235","Nie mogę teraz opuścić posterunku, ale poszukam go jutro z samego rana.","Не можу залишити свій пост прямо зараз, але завтра я пошукаю його першим ділом.","","False","Orry-CH0-None-Orry-45442","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:240","Przekonamy się, kto to zrobił. W każdym razie... dzięki za informację.","Розберемось, хто це зробив. У будь-якому випадку ... дякую, що сказав.","","False","Orry-CH0-None-Orry-22759","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:244","To był wypadek. Trenowaliśmy walkę i... nadział mi się na miecz.","То був нещасний випадок. Ми тренувалися в бою, і мій меч вислизнув.","","False","Orry-CH0-None-Caption-12927-0","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:245","...Wypadek?","Нещасний випадок?","","False","Orry-CH0-None-Orry-36012","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:246","Nie, nie, nie kupuję tego. Kirgo był jednym z najlepszych zabijaków na arenie.","Ні. Я на це не куплюся, Кірґо був одним з найкращих бійців на арені.","","False","Orry-CH0-None-Orry-21384","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:250","Ty to zrobiłeś. I to celowo. Powalony gnój... Zapierdolę cię!","Ти це зробив, і зробив це навмисно. Виродок... Я тебе прикінчу!","","False","Orry-CH0-None-Orry-10752","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:274","Masz. Twoje piwo.","Ось пиво.","","False","DIA_GRD_254_Orry_Your_Beer.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:287","Masz. Twoje piwo.","Ось пиво.","","False","Orry-CH0-G1RDemo_OrryBeer-Hero-22970","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:291","Zbawco!","Мій рятівник!","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-69058","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:292","Uech. Smakuje jak fermentowany szczoch.","Фу... на смак як піт яєць.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-30075","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:294","No, ale chciałeś przecież o coś zapytać. Wal śmiało.","Одним словом. У тебе були питання, так? Задавай.","","False","Orry-CH0-G1RDemo_OrryBeer-Orry-62196","",""
