"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/SVM.d:324","Hej, ty!","Гей, ти!","","False","Hero-CH0-None-Hero-17013","",""
"Content/Story/SVM.d:325","Cóż... pora rozpocząć nowe życie...","Ласкаво просимо в моє нове життя. ...","","False","Hero-CH0-None-Hero-12036","",""
"Content/Story/SVM.d:326","To kiepski pomysł. Jeśli znajdą mnie tu śpiącego, to już po mnie.","Це погана ідея. Вони вб'ють мене, якщо побачать, що я тут сплю.","","False","Hero-CH0-None-Hero-20445","",""
"Content/Story/SVM.d:328","Hmm... to miejsce się nada. Ale ktoś już z niego korzysta. Może jeśli go znajdę...","Хм... це місце підійде. Але хтось вже тут побував. Може пошукати їх ...","","False","Hero-CH0-None-Hero-62833","",""
"Content/Story/SVM.d:333","Miał przy sobie ten rysunek. Spójrz.","Ну, у нього був цей малюнок. Зачекай, він у мене.","","False","Drax-CH0-None-Hero-68340","",""
"Content/Story/SVM.d:342","Schowaj tę cholerną broń!","Опусти кляту зброю!","","False","Diego-CH0-None-Diego-23432","",""
"Content/Story/SVM.d:343","Prosisz się o lanie? Schowaj to!","Ти цього хочеш? Поклади цю штуку!","","False","Diego-CH0-None-Diego-85171","",""
"Content/Story/SVM.d:346","Sam się o to prosiłeś!","Ти сам напросився!","","False","Diego-CH0-None-Diego-84477","",""
"Content/Story/SVM.d:346","No i bardzo dobrze.","Ось так.","","False","Diego-CH0-None-Diego-77772","",""
"Content/Story/SVM.d:347","Wybacz, że cię zatrzymałem, jak sytuacja?","Вибач, що затримав. Що тут у нас?","","False","Diego-CH0-None-Diego-67078","",""
"Content/Story/SVM.d:348","Tylko trzy? Myślałem, że będzie gorzej.","Лише три? Я думав, буде гірше.","","False","Diego-CH0-None-Diego-78525","",""
"Content/Story/SVM.d:349","Zgadza się. Dokładnie tak jak my dymamy ich.","Саме так - так само як ми робимо з ними.","","False","Diego-CH0-None-Diego-82774","",""
"Content/Story/SVM.d:350","Zauważyłeś, że beczki z rudą z tego miesiąca miały wyjątkowo grube dno?","Ти помітив, що бочки з рудою з партії цього місяця мали надто товсте дно?","","False","Diego-CH0-None-Diego-71218","",""
"Content/Story/SVM.d:352","...że beczki miały wyjątkowo grube dno.","... що у бочок було дуже товсте дно.","","False","Diego-CH0-None-Diego-18638","",""
"Content/Story/SVM.d:352","Tylko tyle wiem.","Це все, що мені відомо.","","False","Diego-CH0-None-Diego-23669","",""
"Content/Story/SVM.d:353","To wszystko gierki, Świstak. Oni dymają nas, a my ich – i tak to się toczy, dopóki bogowie nie odwalą kity.","Це все гра, Вістлере - вони обманюють нас, ми обманюємо їх, і так триває доти, доки боги не розвіються в прах.","","False","Diego-CH0-None-Diego-5000","",""
"Content/Story/SVM.d:360","Dobra. Dzięki, Świstak!","Добре. Будьмо, Вістлере..","","False","Diego-CH0-None-Diego-38791","",""
"Content/Story/SVM.d:366","Odłoż broń, kretynie!","Опустити зброю, ти, дивак!","","False","Whistler-CH0-None-Whistler-17469","",""
"Content/Story/SVM.d:368","Odłóż broń albo cię załatwię!","Поклади на місце, або я покладу тебе!","","False","Whistler-CH0-None-Whistler-31444","",""
"Content/Story/SVM.d:374","No. Masz szczęście.","Добре. Для тебе.","","False","Whistler-CH0-None-Whistler-7791","",""
"Content/Story/SVM.d:375","Spieprzaj!","Відвали.","","False","Whistler-CH0-None-Whistler-53621-0","",""
"Content/Story/SVM.d:375","Znowu próbowali nas okantować na zbożu, suczesyny.","Ці придурки знову намагалися надурити нас на зерні.","","False","Diego-CH0-None-Whistler-93885","",""
"Content/Story/SVM.d:376","Na dnie są trzy zarobaczone worki... Założę się o dziesięć bryłek rudy, że będą udawali zdziwionych.","На дні три мішки з черв'яками... Ставлю десять ,брилок на те, що вони скажуть, що не знали про це.","","False","Diego-CH0-None-Whistler-25347","",""
"Content/Story/SVM.d:378","Więc pozwolimy im dalej dymać nas bez mydła?","То ми просто дозволимо їм і далі нас дурити?","","False","Diego-CH0-None-Whistler-46374","",""
"Content/Story/SVM.d:379","Więc chcesz mi powiedzieć, że...","Хочеш сказати...","","False","Diego-CH0-None-Whistler-58295","",""
"Content/Story/SVM.d:380","Ale z ciebie poeta. Dobra, jebać to.","Ти справжній поет. Ах, в сраку все.","","False","Diego-CH0-None-Whistler-36003","",""
"Content/Story/SVM.d:384","Sprawdzę tę partię i przygotuję ją do transportu.","Ще раз перевірю партію і підготую її для конвою.","","False","Diego-CH0-None-Whistler-46247","",""
"Content/Story/SVM.d:389","Jasne.","Звісно.","","False","Diego-CH0-None-Whistler-2972","",""
"Content/Story/SVM.d:393","Co ty, kurwa, wyprawiasz?","Якого хріна ти витворяєш?","","False","Orry-CH0-None-Orry-1075","",""
"Content/Story/SVM.d:395","Odłóż to. Natychmiast.","Поклади. Ось так. Вниз.","","False","Orry-CH0-None-Orry-37151","",""
"Content/Story/SVM.d:395","No dobra!","Ну, добре!","","False","Orry-CH0-None-Orry-22114","",""
"Content/Story/SVM.d:399","I nie waż się znowu tym machać.","Ніколи більше не розмахуй цією штукою переді мною.","","False","Orry-CH0-None-Orry-24165","",""
"Content/Story/SVM.d:404","Zabieraj się. Miałeś już okazję się wykazać.","Іди. У тебе був шанс.","","False","Orry-CH0-None-Orry-21502","",""
"Content/Story/SVM.d:407","Nie celuj we mnie tym gównem.","Не наводь на мене цю довбану штуку.","","False","Ratford-CH0-None-Ratford-42075","",""
"Content/Story/SVM.d:408","Głuchy czy głupi? Odłóż to!","Ти глухий чи просто дурний? Прибери це!","","False","Ratford-CH0-None-Ratford-48468","",""
"Content/Story/SVM.d:410","Sam się o to prosiłeś!","Ти сам напросився!","","False","Ratford-CH0-None-Ratford-71391","",""
"Content/Story/SVM.d:411","Nie jesteś tak głupi, na jakiego wyglądasz.","Не такий дурний, як виглядаєш.","","False","Ratford-CH0-None-Ratford-97616","",""
"Content/Story/SVM.d:412","Odwal się.","Відвали.","","False","TEXT_WIP_JNJMDGE_20240715_153503","",""
"Content/Story/SVM.d:415","Nie teraz.","Не зараз.","","False","Ratford-CH0-None-Ratford-44688","",""
"Content/Story/SVM.d:417","Odwal się. Masz coś na obiad?","Відвали. Ти приніс нашу вечерю.?","","False","Drax-CH0-None-Ratford-71939","",""
"Content/Story/SVM.d:417","To prawdopodobnie ten cieniostwór. Musimy być uważniejsi w nocy.","Напевно, це тіньствор. Нам треба бути обережними вночі.","","False","Drax-CH0-None-Ratford-33049","",""
"Content/Story/SVM.d:418","Nie pokazuj tego gówna ludziom i przestań pleść bzdury. Jorik za dużo jarał i mu odwaliło – koniec tematu.","Тримай той папірець у штанах і не говори про це лайно. Йорік забагато курив і з'їхав з глузду, кінець історії.","","False","Drax-CH0-None-Ratford-90529","",""
"Content/Story/SVM.d:419","Przez ciebie wyglądamy jak panienki gotowe wskoczyć mu w ramiona.","Ти говориш так, ніби ми зграя жінок, які тільки й чекають, щоб кинути в нього свої спідниці.","","False","Drax-CH0-None-Ratford-52326","",""
"Content/Story/SVM.d:420","No ale Drax ma rację. Przydadzą nam się nowi ludzie, a ty nieźle sobie radzisz. Tylko pamiętaj, że jeśli nie chcesz skończyć zgięty w pół na polu ryżowym, to musisz się postarać.","Дракс правий, нам потрібні нові люди, і ти, можливо, підходиш для цього. Але, якщо не хочеш закінчити життя збиранням рису, доведеться добре попрацювати.","","False","Drax-CH0-None-Ratford-68439","",""
"Content/Story/SVM.d:421","Jeśli nadal myślisz, że ten gówniany pomysł wysadzenia kopca niebieskiej rudy zadziała, to jesteś równie powalony, co tamte świry.","Якщо досі думаєш, що дурня накштал, давайте підірвемо купу руди, спрацює, ти так само далеко від фей, як і від гагар.","","False","Drax-CH0-None-Ratford-70406","",""
"Content/Story/SVM.d:422","No bo kurde. Mają już tyle rudy, że mogliby kupić cały Varant! A jakimś sposobem zawsze, gdy pytam Najemników, kiedy Magowie będą mieli jej wystarczająco, to odpowiadają, że „jeszcze trochę”.","Ну і скільки руди вони вже викопали? Вистачить, щоб купити всі пустелі Варанту. Але чомусь, коли запитуєш у найманців, коли ж магам нарешті вистачить, то завжди чуєш - ще трохи.","","False","Drax-CH0-None-Ratford-94638","",""
"Content/Story/SVM.d:431","Zaczynam się poważnie zastanawiać, czy z nami nie pogrywają, tak jak ten cały Y’Berion ze swoimi owieczkami. Nie zdziwiłoby mnie...","Серйозно, я починаю сумніватися, чи не грають вони з нами в ігри, як той І'Беріон зі своїми ягнятами. Я не здивуюся...","","False","Drax-CH0-None-Ratford-61772","",""
"Content/Story/SVM.d:437","Odłóż broń. Nie żartuję.","Опустити зброю. Я не жартую.","","False","Drax-CH0-None-Drax-94813","",""
"Content/Story/SVM.d:438","Na pewno tego chcesz, kolego? Przegrasz.","Впевнений, що хочеш це зробити, приятелю? Ти програєш.","","False","Drax-CH0-None-Drax-1574","",""
"Content/Story/SVM.d:438","Koniec z tym!","Ось так!","","False","Drax-CH0-None-Drax-15907","",""
"Content/Story/SVM.d:439","Rozsądnie.","Розумний хлопчик.","","False","Drax-CH0-None-Drax-71298","",""
"Content/Story/SVM.d:441","Nie mam czasu, kolego.","Не зараз, друже.","","False","Drax-CH0-None-Drax-32109","",""
"Content/Story/SVM.d:441","Hm? Znajdź Rata. Powinien być gdzieś w kanionie.","Хм? Знайди Рета. Він має бути десь в ущелині","","False","Drax-CH0-G1RDemo_FindJorik-Drax-96572","",""
"Content/Story/SVM.d:442","Hej! Ciszej tam, wystraszysz...","Гей! Стій, ти налякаєш...","","False","Drax-CH0-G1RDemo_DraxHunt-Drax-83832","",""
"Content/Story/SVM.d:443","A więc dorobiłeś się kumpla, Rat? Myślałem, że nie dożyję tego dnia.","То ти знайшов собі друга, Рете! Не думав, що доживу до цього дня..","","False","Drax-CH0-None-Drax-54567","",""
"Content/Story/SVM.d:444","Ta, nowy mi pomógł. Znalazłeś Jorika, hm? Co go zabiło?","Так, новий хлопець допоміг мені. Ти знайшов Йоріка, так? Від чого він помер?","","False","Drax-CH0-None-Drax-85556","",""
"Content/Story/SVM.d:445","Powiedz mi, świeżak, gdy znalazłeś Jorika, dowiedziałeś się może, dlaczego się oddalił? Nadal tego nie rozumiem.","Скажи, новенький, коли ти знайшов Йоріка, з'ясував, чому він теж заблукав? Чесно кажучи, я так і не зрозумів.","","False","Drax-CH0-None-Drax-88422","",""
"Content/Story/SVM.d:446","Kopcę jak piec, a jakoś żaden bóg nic mi jeszcze nie „wyszeptał w snach”.","Я викурив більше самокруток, ніж піч, і жоден бог ще не прошепотів мені уві сні.","","False","Drax-CH0-None-Drax-95327","",""
"Content/Story/SVM.d:447","Na jajca Beliara, weź się uspokój. Tylko zapytałem.","Яйця Беліара, заспокойся, хлопче. Я просто запитав.","","False","Drax-CH0-None-Drax-44226","",""
"Content/Story/SVM.d:448","To może pogadamy o czymś innym. Pewnie już się zorientowałeś, że w Kolonii są trzy obozy.","Тоді щось інше. Ти, напевно, вже здогадався, що в колонії є три табори.","","False","Drax-CH0-None-Drax-54188","",""
"Content/Story/SVM.d:448","Będę szczery: nie jesteś tak bezużyteczny, jak większość, których tu wrzucają. Powinieneś spróbować dołączyć do naszego obozu.","Скажу відверто, якщо ти хоча б наполовину не такий марний, як більшість людей, яких сюди закидають, тобі варто спробувати приєднатися до нас.","","False","Drax-CH0-None-Drax-73206","",""
"Content/Story/SVM.d:457","To akurat tyczy się każdego obozu. Ale my przynajmniej mamy sensowny plan ucieczki. Prawdziwy plan, a nie jakieś sekciarskie bzdury o śpiących bogach.","Це правда, куди б не йшов. Принаймні, у нас є план, який виведе нас звідси, і це справжній план, а не якась культова маячня про сплячих богів.","","False","Drax-CH0-None-Drax-15941","",""
"Content/Story/SVM.d:464","Schowaj broń, idioto.","Опусти це!","","False","Kirgo-CH0-None-Kirgo-48070","",""
"Content/Story/SVM.d:464","Nie każ mi się powtarzać.","Не змушуй мене повторювати","","False","Kirgo-CH0-None-Kirgo-75830","",""
"Content/Story/SVM.d:469","Ostrzegałem cię.","Тебе попереджали..","","False","Kirgo-CH0-None-Kirgo-27709","",""
"Content/Story/SVM.d:476","Mądry wybór.","Правильний вибір.","","False","Kirgo-CH0-None-Kirgo-836","",""
"Content/Story/SVM.d:476","Miło się gawędziło.","Приємно було побалакати.","","False","Kirgo-CH0-G1RDemo_KirgoFight-Kirgo-97338","",""
"Content/Story/SVM.d:476","Dobra. Zatańczmy.","Добре. Потанцюймо.","","False","Kirgo-CH0-G1RDemo_KirgoFight-Kirgo-65948-6","",""
