"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Скриня","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Скриня","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Ліжко","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Двері","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Ковадло","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Відро з водою","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Горнило","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Точило","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Лебідка","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Казан","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Пательня","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Водна файка","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Драбина","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Перемикач","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Брилка руди","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Міхи","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Мумія","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Колона","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Розпушувач","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Статуетка","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Ціль","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Каплиця сердець","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Загадковий камінь","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(нема)","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Рудний барон","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Страж","","False","TXT_GUILDS[2]","",""
