"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","等一下。你是刚被他们扔进来的人，对吧？不，你不用说什么，我能明白。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","你脸上一副“我他妈到底陷入了什么麻烦”的表情。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","我想你应该已经知道，我们被困在这里了吧？","","","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","我确实是新来的——不过，其实是你的朋友拉特福德派我来的。","","","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","他说我可以在你们的营地里睡觉，并让我帮你打猎。 ","","","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","拉特是这么说的？那么他找到乔里克了吗？","","","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","他死了。","","","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","……这样啊。很遗憾，但也不怎么觉得意外了。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","也就是说，你来这里是为了帮我打猎……你真是好心。好啊。那咱们开始吧。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","有。我正在找一个能露营的地方——这附近好像有一只暗影兽。","","","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:54","To prawda. Też go widzieliśmy. Wielki skurwysyn.","确实有。我们也看到了……那混蛋的个头可真不小。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-70619","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:55","Co powiesz na układ? Pomożesz mi upolować to stado ścierwojadów, a my podzielimy się z tobą jadłem i będziesz mógł się przespać przy naszym ognisku.","嗯……嘿，咱们做个交易怎么样？你帮我捕猎那群食尸鸟，作为回报，会分食物给你，而且你还可以在我们的营火旁睡觉。","","","Drax-CH0-G1RDemo_DraxHunt-Drax-49351","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:56","Jest w starym obozie górniczym naprzeciwko zalanej kopalni. Nieźle osłonięte miejsce. Co ty na to?","它在淹水矿井对面的旧矿工营地里，很安全。你觉得怎么样？","","","Drax-CH0-G1RDemo_DraxHunt-Drax-43533","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:58","Nie jestem zainteresowany.","","","","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_No","AI_AddChoice",""
