"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:27","Proszę, proszę. Nowa twarz. Dopiero co cię wrzucili?","我瞧瞧，来了位新面孔。他们刚把你扔进来的吧？","","","Kirgo-CH0-None-Kirgo-13159","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:29","Nie twój interes.","不关你事。","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Not_Your_Business","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:30","Tak.","是啊。","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Yes","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:37","Tak.","是啊。","","","Kirgo-CH0-None-Hero-61590","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:38","No to witaj w Kolonii. Jak ci na imię? Mnie nazywają Kirgo.","那么，或许我该说一声，欢迎来到殖民地。你叫什么名字？我叫科尔戈。","","","Kirgo-CH0-None-Kirgo-72322","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:39","Nyras.","尼拉斯。","","","Kirgo-CH0-None-Hero-54970","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:40","Miło poznać. Może chwilę porozmawiamy? Powiedz mi, jak się sprawy mają na zewnątrz, a ja zdradzę ci parę rzeczy, które ułatwią ci przeżycie w tej dziurze.","幸会。嘿，我说，咱们要不要聊会儿天？你可以把外面的近况告诉我，而我会给你一些建议，能帮你在这里活下去。 ","","","Kirgo-CH0-None-Kirgo-53995","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:41","Cały dzień przerzucam ten cholerny gruz. Chciałbym się na chwilę od tego oderwać... To jak, pogadamy?","我铲那堆破石头已经铲了一整天了，说什么我也想要消遣一下。你觉得怎么样？","","","Kirgo-CH0-None-Kirgo-48505","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:47","Nie mam na to czasu.","我没时间聊这个。","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:48","No trudno.","好吧。","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Too_Bad","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:49","A może opowiem ci w zamian za bezpieczny nocleg?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Story_For_A_Place_To_Sleep","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:50","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz?","","","","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Why_Are_You_Interested_In_This","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:56","Dlaczego w ogóle obchodzi cię, co się dzieje na zewnątrz? Przecież i tak się stąd nie wydostaniemy.","说到底，何必关心外面的事呢？咱们不是永远也出不去了吗？","","","Kirgo-CH0-None-Hero-5576","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:57","Ludzie z Nowego Obozu i typy żyjące na bagnie twierdzą inaczej. Ale masz rację, pewnie spędzimy tu resztę życia.","这个嘛，新营地的人和沼泽地的那群家伙恐怕不会认同你的说法。不过确实，你说得对，我们估计是出不去了。 ","","","Kirgo-CH0-None-Kirgo-48595","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:58","Ja tam uważam, że warto sobie czasem przypomnieć, że świat nie kończy się na tej zasranej, niebieskiej kopule. Inaczej bym zwariował.","即便如此，我认为这样时不时地提醒自己，世界并不是自始至终只在这一小片蓝天之下还是有好处的。不然的话我会疯掉的。","","","Kirgo-CH0-None-Kirgo-58994","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:64","A może ci opowiem w zamian za bezpieczny nocleg?","我告诉你的话，作为交换，能不能给我提供一个安全睡觉的地方？ ","","","Kirgo-CH0-None-Hero-57845","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:65","Może jedna z tych waszych chatek?","比如从你们那儿借一间小屋？","","","Kirgo-CH0-None-Hero-75065","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:66","Boisz się cieniostwora, co? Pozwoliłbym ci, gdyby to zależało ode mnie, ale tak nie jest. Przykro mi.","是因为那只暗影兽吧？如果可以的话，我肯定会让你在那里睡觉，但这事我做不了主。抱歉，朋友。","","","Kirgo-CH0-None-Kirgo-5289","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:73","No trudno.","好吧。","","","Kirgo-CH0-None-Hero-75802-0","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:73","Szczerze, to nawet nie ma co tu dużo opowiadać. Każdy sra w gacie z powodu wojny, a wszystkie chore historie o orkach też nie pomagają.","其实，说真的，也没什么可说的。战乱搞得每个人都快要崩溃了，而流传的那些有关兽人的恐怖故事更是没什么帮助。 ","","","Kirgo-CH0-None-Hero-49599-0","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:74","Krąży jednak plotka, że Nordmarczycy odnieśli kilka małych zwycięstw. I tyle.","不过，传闻那群诺马人取得了一些小规模的胜利，差不多就是这样。 ","","","Kirgo-CH0-None-Hero-7847","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:75","Chwała Innosowi. Miejmy nadzieję, że uda im się odzyskać część kopalń. Nie ma znaczenia, ilu więźniów wyśle tu król – na dłuższą metę nie ma szans, żebyśmy nadążyli za popytem.","伊诺斯保佑。但愿他们能收复一些采矿区——否则长此以往，无论国王送多少囚犯进来，我们也不可能跟得上产量需求。","","","Kirgo-CH0-None-Kirgo-86946","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:76","A co z Khorinis? Miałeś szansę zobaczyć miasto, gdy cię tu przewozili?","克里尼斯城怎么样了？在被运来的路上有没有趁机瞧一眼？","","","Kirgo-CH0-None-Kirgo-51889","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:78","Niestety nie. Przez cały czas byłem zamknięty.","没能看到。他们把我一直关着。","","","Kirgo-CH0-None-Hero-69630","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:78","Szkoda. Brakuje mi tego miasta. Mieszkałem tam przez kilka lat po opuszczeniu Varantu. Miałem nawet kobietę... Rosę.","可惜。天哪，我真的很想念那里……离开梵伦之后，我在那里住了几年。我在那里有个女人……罗莎。","","","Kirgo-CH0-None-Kirgo-15646","",""
