"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","安眠之处","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","口渴的守卫","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","狩猎食尸鸟","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","寻找乔里克","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","对打课程","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","迪亚哥的欢迎并没有给我带来多少安慰。一场山体滑坡阻断了通往山谷的道路，与此同时，有一只暗影兽在附近出没。我必须找个安全的地方过夜","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","有一只暗影兽在交易区徘徊。我必须在夜幕降临之前找一个安全的庇护所。","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","拉特福德建议我去帮他的朋友德拉克斯在山谷小路附近捕猎食尸鸟。这或许是个在他们的营火旁争取一席之地的机会。","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","德拉克斯需要有人帮他捕猎食尸鸟。如果我能证明自己派得上用场，或许就能在他们的营火旁获得一席之地，那里能免受暗影兽的威胁。","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","猎人小队的成员乔里克在峡谷失踪了。若能找到他，我今晚也许就能有个安全的地方睡觉了。","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","猎人们在废弃矿井对面的旧矿工营地里，我赢得了他们营火旁边的一席之地。是时候在营火边坐下来休息一下了。","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","我需要找到德拉克斯的朋友拉特福德，并向他们询问失踪的成员乔里克的情况。这或许就是最后一步，之后我就能获得一个能安全过夜的地方。","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","门卫奥利可能愿意用他的情报换取一瓶啤酒。在这个严酷的地方，就连酒也十分珍稀。帮他找点啤酒有助于让我了解这里的生存方式。","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","这个交易区的某个地方肯定有啤酒……或许就在他们储存来自外界的货物的地方？","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","我找到了一些啤酒。该去把酒带给位于交易区大门的奥利了，看看这啤酒能从他那儿换来些什么情报。","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","一名叫做乔里克的新营地成员在峡谷失踪了。他的队友们正在寻找他。找到乔里克可以让我找到一个安全的地方过夜。","","False","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","乔里克在峡谷中消失了。找到他，或者查清楚他的遭遇，能让我赢得猎人们的好感，并获得一个安全睡觉的地方。","","False","CH0_FindJorik_1","",""
