"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/SVM.d:324","Hej, ty!","嘿，你！（NPC转身，玩家开始对话）","","","Hero-CH0-None-Hero-17013","",""
"Content/Story/SVM.d:325","Cóż... pora rozpocząć nowe życie...","看来这就是我的新生活了……","","","Hero-CH0-None-Hero-12036","",""
"Content/Story/SVM.d:326","To kiepski pomysł. Jeśli znajdą mnie tu śpiącego, to już po mnie.","这可不是个好主意。如果他们发现我在这里睡觉，会宰了我的。","","","Hero-CH0-None-Hero-20445","",""
"Content/Story/SVM.d:328","Hmm... to miejsce się nada. Ale ktoś już z niego korzysta. Może jeśli go znajdę...","嗯……那地方倒是可以。不过已经有人住在这儿了。如果我能找到他们的话…… ","","","Hero-CH0-None-Hero-62833","",""
"Content/Story/SVM.d:333","Miał przy sobie ten rysunek. Spójrz.","这个嘛，他身上倒是带着一幅画。对了，就在我这儿呢。","","","Drax-CH0-None-Hero-68340","",""
"Content/Story/SVM.d:342","Schowaj tę cholerną broń!","把那该死的武器放下！","","","Diego-CH0-None-Diego-23432","",""
"Content/Story/SVM.d:343","Prosisz się o lanie? Schowaj to!","想要自讨苦吃吗？把那玩意儿放下！","","","Diego-CH0-None-Diego-85171","",""
"Content/Story/SVM.d:346","Sam się o to prosiłeś!","这是你自找的！","","","Diego-CH0-None-Diego-84477","",""
"Content/Story/SVM.d:346","No i bardzo dobrze.","这就对了。","","","Diego-CH0-None-Diego-77772","",""
"Content/Story/SVM.d:347","Wybacz, że cię zatrzymałem, jak sytuacja?","抱歉，久等了。出什么状况了？","","","Diego-CH0-None-Diego-67078","",""
"Content/Story/SVM.d:348","Tylko trzy? Myślałem, że będzie gorzej.","就三袋？我还以为情况有多糟呢。","","","Diego-CH0-None-Diego-78525","",""
"Content/Story/SVM.d:349","Zgadza się. Dokładnie tak jak my dymamy ich.","没错——咱们也是这样对待他们的。","","","Diego-CH0-None-Diego-82774","",""
"Content/Story/SVM.d:350","Zauważyłeś, że beczki z rudą z tego miesiąca miały wyjątkowo grube dno?","你注没注意到，这个月那批装矿石的桶底部特别厚？ ","","","Diego-CH0-None-Diego-71218","",""
"Content/Story/SVM.d:352","...że beczki miały wyjątkowo grube dno.","……桶的底部特别厚。","","","Diego-CH0-None-Diego-18638","",""
"Content/Story/SVM.d:352","Tylko tyle wiem.","我只知道这些。","","","Diego-CH0-None-Diego-23669","",""
"Content/Story/SVM.d:353","To wszystko gierki, Świstak. Oni dymają nas, a my ich – i tak to się toczy, dopóki bogowie nie odwalą kity.","这就是一场博弈，惠斯勒——他们骗我们，我们也骗他们，就这样循环往复，直到众神都嗝屁为止。 ","","","Diego-CH0-None-Diego-5000","",""
"Content/Story/SVM.d:360","Dobra. Dzięki, Świstak!","不错。回见，惠斯勒。","","","Diego-CH0-None-Diego-38791","",""
"Content/Story/SVM.d:366","Odłoż broń, kretynie!","放下武器，你这蠢货！","","","Whistler-CH0-None-Whistler-17469","",""
"Content/Story/SVM.d:368","Odłóż broń albo cię załatwię!","给我放下，不然我就放倒你！","","","Whistler-CH0-None-Whistler-31444","",""
"Content/Story/SVM.d:374","No. Masz szczęście.","不错。对你而言。","","","Whistler-CH0-None-Whistler-7791","",""
"Content/Story/SVM.d:375","Spieprzaj!","滚。","","","Whistler-CH0-None-Whistler-53621-0","",""
"Content/Story/SVM.d:375","Znowu próbowali nas okantować na zbożu, suczesyny.","这些混蛋又在给我们的粮食上耍花招。 ","","","Diego-CH0-None-Whistler-93885","",""
"Content/Story/SVM.d:376","Na dnie są trzy zarobaczone worki... Założę się o dziesięć bryłek rudy, że będą udawali zdziwionych.","底下的三个袋子里面有虫子……我敢赌十块矿石，他们肯定会装作不知道。 ","","","Diego-CH0-None-Whistler-25347","",""
"Content/Story/SVM.d:378","Więc pozwolimy im dalej dymać nas bez mydła?","难道就任由他们继续这样搞咱们吗？","","","Diego-CH0-None-Whistler-46374","",""
"Content/Story/SVM.d:379","Więc chcesz mi powiedzieć, że...","你是说…… ","","","Diego-CH0-None-Whistler-58295","",""
"Content/Story/SVM.d:380","Ale z ciebie poeta. Dobra, jebać to.","你跟个诗人似的。行吧，去他的。 ","","","Diego-CH0-None-Whistler-36003","",""
"Content/Story/SVM.d:384","Sprawdzę tę partię i przygotuję ją do transportu.","我一会儿去仔细检查一下这批货，做好准备让车队来运。","","","Diego-CH0-None-Whistler-46247","",""
"Content/Story/SVM.d:389","Jasne.","好。","","","Diego-CH0-None-Whistler-2972","",""
"Content/Story/SVM.d:393","Co ty, kurwa, wyprawiasz?","你他妈的干什么呢？","","","Orry-CH0-None-Orry-1075","",""
"Content/Story/SVM.d:395","Odłóż to. Natychmiast.","把它。给我。放下。","","","Orry-CH0-None-Orry-37151","",""
"Content/Story/SVM.d:395","No dobra!","那好吧！","","","Orry-CH0-None-Orry-22114","",""
"Content/Story/SVM.d:399","I nie waż się znowu tym machać.","不许再冲着我比划那玩意儿。","","","Orry-CH0-None-Orry-24165","",""
"Content/Story/SVM.d:404","Zabieraj się. Miałeś już okazję się wykazać.","开始吧。我给过你机会。","","","Orry-CH0-None-Orry-21502","",""
"Content/Story/SVM.d:407","Nie celuj we mnie tym gównem.","别用那破玩意儿对着我。","","","Ratford-CH0-None-Ratford-42075","",""
"Content/Story/SVM.d:408","Głuchy czy głupi? Odłóż to!","你是聋还是傻？把它拿开！ ","","","Ratford-CH0-None-Ratford-48468","",""
"Content/Story/SVM.d:410","Sam się o to prosiłeś!","这是你自找的！","","","Ratford-CH0-None-Ratford-71391","",""
"Content/Story/SVM.d:411","Nie jesteś tak głupi, na jakiego wyglądasz.","你还没看上去那么蠢。 ","","","Ratford-CH0-None-Ratford-97616","",""
"Content/Story/SVM.d:412","Odwal się.","滚开。","","","TEXT_WIP_JNJMDGE_20240715_153503","",""
"Content/Story/SVM.d:415","Nie teraz.","现在没空。","","","Ratford-CH0-None-Ratford-44688","",""
"Content/Story/SVM.d:417","Odwal się. Masz coś na obiad?","滚。你把晚饭搞定了？","","","Drax-CH0-None-Ratford-71939","",""
"Content/Story/SVM.d:417","To prawdopodobnie ten cieniostwór. Musimy być uważniejsi w nocy.","可能是那只暗影兽害的吧。今晚我们一定要多加小心。","","","Drax-CH0-None-Ratford-33049","",""
