"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","板 条 箱","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","板 条 箱","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","床","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","门","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","铁 砧","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","水 桶","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","铁匠的炉火","","False","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","磨石","","False","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","绞盘","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","大 锅","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","平底锅","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","水烟筒","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","梯子","","False","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","开 关","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","矿石","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","风箱","","False","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","木乃伊","","False","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","圆柱","","False","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","沼泽草捣碎器","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","雕像","","False","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","靶子","","False","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","兽人之心神殿","","False","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","奇特祭台","","False","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","（没有任何）","","False","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","矿石男爵","","False","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","守卫","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","影子","","False","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","火法师","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","矿工","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","水法师","","False","TXT_GUILDS[6]","",""
"Content/Story/Text.d:66","Najemnik","雇佣兵","","False","TXT_GUILDS[7]","",""
"Content/Story/Text.d:67","Szkodnik","强盗","","False","TXT_GUILDS[8]","",""
"Content/Story/Text.d:68","Zbieracz","农民","","False","TXT_GUILDS[9]","",""
"Content/Story/Text.d:68","Kret","矿工","","False","TXT_GUILDS[10]","",""
"Content/Story/Text.d:70","Guru","古鲁","","False","TXT_GUILDS[11]","",""
"Content/Story/Text.d:71","Nowicjusz","新信徒","","False","TXT_GUILDS[12]","",""
"Content/Story/Text.d:71","Strażnik Świątynny","圣殿骑士","","False","TXT_GUILDS[13]","",""
"Content/Story/Text.d:73","Nekromanta","亡灵法师","","False","TXT_GUILDS[14]","",""
"Content/Story/Text.d:75","Babka","女孩","","False","TXT_GUILDS[15]","",""
"Content/Story/Text.d:75","Jaszczur","蜥蜴","","False","TXT_GUILDS[17]","",""
"Content/Story/Text.d:77","Śniący","沉睡者","","False","TXT_GUILDS[18]","",""
"Content/Story/Text.d:79","Goblin","哥布林","","False","TXT_GUILDS[19]","",""
"Content/Story/Text.d:80","Troll","巨魔","","False","TXT_GUILDS[20]","",""
"Content/Story/Text.d:80","Zębacz","暴龙","","False","TXT_GUILDS[21]","",""
"Content/Story/Text.d:81","Pełzacz","矿井爬行者","","False","TXT_GUILDS[22]","",""
"Content/Story/Text.d:82","Chrząszcz","肉虫","","False","TXT_GUILDS[23]","",""
"Content/Story/Text.d:83","Ścierwojad","尖嘴鸟","","False","TXT_GUILDS[24]","",""
"Content/Story/Text.d:85","Demon","魔鬼","","False","TXT_GUILDS[25]","",""
"Content/Story/Text.d:86","Wilk","狼","","False","TXT_GUILDS[26]","",""
"Content/Story/Text.d:86","Cieniostwór","暗影兽","","False","TXT_GUILDS[27]","",""
"Content/Story/Text.d:87","Krwiopijca","血蝇","","False","TXT_GUILDS[28]","",""
"Content/Story/Text.d:88","Wąż błotny","沼泽鲨","","False","TXT_GUILDS[29]","",""
